temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,13.5186,12.997,7.47526,6.987,4.01362,0.488264,5.05232,0.623264
200,20.9582,21.338,19.7218,19.144,-1.78003,0.577814,-0.514681,0.847814
250,22.2685,23.084,24.5532,24.108,-3.53276,0.445222,-2.07071,0.782722
298.15,23.0128,24.209,28.5443,28.275,-4.941,0.269332,-3.27838,0.671834
300,23.0351,24.247,28.6868,28.425,-4.99818,0.261752,-3.32787,0.666752
350,23.5176,25.113,32.2765,32.231,-6.35289,0.0455229,-4.47139,0.518023
400,23.8393,25.784,35.4392,35.63,-7.54209,-0.190779,-5.44777,0.349221
450,24.064,26.335,38.2608,38.699,-8.62364,-0.438194,-6.31682,0.169306
500,24.2267,26.842,40.8051,41.501,-9.74336,-0.695944,-7.22864,-0.0209443
600,24.4413,27.886,45.2428,46.485,-12.3529,-1.24219,-9.44821,-0.432194
