temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,12.9022,12.997,6.88222,6.987,-0.729518,-0.104782,0.309183,0.0302182
200,20.6509,21.338,18.801,19.144,-3.22029,-0.343,-1.95494,-0.0729996
250,22.0517,23.084,23.5743,24.108,-4.47181,-0.53367,-3.00975,-0.19617
298.15,22.8521,24.209,27.5324,28.275,-5.60474,-0.742604,-3.94213,-0.340102
300,22.8761,24.247,27.6738,28.425,-5.65376,-0.751172,-3.98345,-0.346172
350,23.3968,25.113,31.2422,32.231,-6.83373,-0.988843,-4.95223,-0.516343
400,23.7448,25.784,34.3905,35.63,-7.90861,-1.23945,-5.81428,-0.699452
450,23.9882,26.335,37.2021,38.699,-8.9115,-1.49686,-6.60468,-0.889359
500,24.1646,26.842,39.7391,41.501,-9.97463,-1.76185,-7.45991,-1.08685
600,24.3975,27.886,44.1673,46.485,-12.5097,-2.31765,-9.60502,-1.50765
