temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,3.6908756,3.6908756,0,0,0,0
10,3.6908664,3.6909154,0.0048923708,0.019112462,0.0048923894,0.019112529
20,3.690618,3.691781,0.058153414,0.20049519,0.058153617,0.20049589
30,3.6892825,3.6964403,0.23859466,0.83252069,0.2385955,0.83252358
40,3.6851128,3.7105754,0.63656326,2.0942603,0.63656541,2.0942669
50,3.6757114,3.739933,1.2844318,3.8355469,1.2844359,3.8355578
60,3.6586767,3.7880253,2.1558101,5.8007555,2.1558165,5.8007705
70,3.6320198,3.8560048,3.1997855,7.7857628,3.1997945,7.7857811
80,3.5942819,3.9433827,4.3637602,9.6655384,4.3637718,9.6655594
90,3.5444953,4.0487536,5.6028692,11.378046,5.6028835,11.37807
100,3.4820914,4.1703133,6.8822182,12.902184,6.8822349,12.902209
110,3.4068033,4.3061757,8.1761124,14.240223,8.1761316,14.240249
120,3.318582,4.4545434,9.4663451,15.406125,9.4663666,15.406152
130,3.2175307,4.6137866,10.74043,16.418561,10.740453,16.418589
140,3.1038552,4.7824683,11.990094,17.297058,11.99012,17.297086
150,2.9778279,4.959343,13.210101,18.060079,13.210128,18.060107
160,2.8397625,5.1433405,14.397363,18.724198,14.397392,18.724226
170,2.6899952,5.3335457,15.550297,19.303863,15.550328,19.303892
180,2.5288728,5.5291777,16.66836,19.811459,16.668393,19.811488
190,2.3567437,5.7295699,17.751716,20.257497,17.751751,20.257527
200,2.1739521,5.9341522,18.801,20.650855,18.801037,20.650884
210,1.9808342,6.1424364,19.817153,20.99901,19.817191,20.99904
220,1.7777157,6.3540029,20.801305,21.308263,20.801344,21.308293
230,1.5649106,6.5684898,21.754692,21.583924,21.754732,21.583954
240,1.3427202,6.7855844,22.678601,21.830479,22.678642,21.830509
250,1.1114326,7.0050151,23.57433,22.051728,23.574373,22.051758
260,0.87132321,7.2265454,24.443162,22.250897,24.443206,22.250927
270,0.6226548,7.4499687,25.286348,22.430735,25.286393,22.430765
280,0.36567772,7.6751035,26.105092,22.593591,26.105138,22.593621
290,0.10063056,7.9017906,26.900552,22.741479,26.900599,22.741508
298.15,-0.12119351,8.0875903,27.532396,22.852148,27.532444,22.852178
300,-0.17225938,8.129889,27.673828,22.876132,27.673876,22.876162
310,-0.45277555,8.3592741,28.425967,22.999048,28.426016,22.999077
320,-0.74071157,8.5898352,29.157959,23.111521,29.158009,23.11155
330,-1.0358707,8.8214735,29.87074,23.214678,29.870791,23.214707
340,-1.3380653,9.054101,30.565195,23.3095,30.565247,23.30953
350,-1.6471163,9.2876386,31.242157,23.396846,31.24221,23.396876
360,-1.9628527,9.5220155,31.902412,23.477468,31.902465,23.477498
370,-2.2851113,9.7571678,32.5467,23.552028,32.546755,23.552058
380,-2.6137358,9.9930378,33.17572,23.62111,33.175775,23.62114
390,-2.948577,10.229573,33.790129,23.68523,33.790185,23.685259
400,-3.2894918,10.466727,34.390548,23.744845,34.390605,23.744875
410,-3.6363433,10.704457,34.977561,23.800363,34.977618,23.800393
420,-3.9890002,10.942722,35.55172,23.852146,35.551778,23.852176
430,-4.3473366,11.181488,36.113546,23.900518,36.113605,23.900547
440,-4.7112316,11.420722,36.663531,23.945768,36.663591,23.945798
450,-5.0805693,11.660394,37.202141,23.988157,37.202201,23.988187
460,-5.455238,11.900477,37.729814,24.027919,37.729875,24.027948
470,-5.8351305,12.140944,38.246968,24.065264,38.247029,24.065293
480,-6.2201436,12.381774,38.753996,24.100382,38.754058,24.100412
490,-6.6101779,12.622945,39.251272,24.133446,39.251334,24.133475
500,-7.0051377,12.864437,39.739149,24.164611,39.739213,24.16464
510,-7.4049307,13.106232,40.217965,24.194018,40.218029,24.194048
520,-7.8094679,13.348312,40.688038,24.221797,40.688103,24.221827
530,-8.2186633,13.590662,41.149671,24.248065,41.149736,24.248095
540,-8.6324341,13.833269,41.603153,24.272928,41.603219,24.272958
550,-9.0507001,14.076117,42.048758,24.296484,42.048824,24.296514
560,-9.4733839,14.319194,42.486747,24.318823,42.486813,24.318852
570,-9.9004105,14.562489,42.917368,24.340026,42.917435,24.340056
580,-10.331708,14.805991,43.34086,24.360169,43.340927,24.360198
590,-10.767205,15.049689,43.757448,24.37932,43.757516,24.37935
600,-11.206834,15.293574,44.167348,24.397544,44.167416,24.397574
610,-11.65053,15.537637,44.570766,24.414899,44.570835,24.414929
620,-12.098229,15.78187,44.9679,24.431439,44.96797,24.431469
630,-12.549868,16.026264,45.358939,24.447214,45.359009,24.447244
640,-13.005388,16.270812,45.744061,24.462271,45.744132,24.4623
650,-13.46473,16.515507,46.123441,24.476651,46.123512,24.476681
660,-13.927838,16.760343,46.497243,24.490395,46.497314,24.490425
670,-14.394657,17.005313,46.865626,24.50354,46.865698,24.50357
680,-14.865133,17.250411,47.228742,24.51612,47.228814,24.516149
690,-15.339214,17.495633,47.586736,24.528166,47.586809,24.528195
700,-15.816851,17.740973,47.939749,24.539708,47.939822,24.539737
710,-16.297993,17.986426,48.287914,24.550774,48.287988,24.550803
720,-16.782593,18.231987,48.631362,24.561389,48.631436,24.561419
730,-17.270605,18.477652,48.970216,24.571578,48.97029,24.571608
740,-17.761983,18.723417,49.304595,24.581363,49.30467,24.581393
750,-18.256682,18.969278,49.634614,24.590765,49.63469,24.590795
760,-18.754661,19.215231,49.960385,24.599804,49.96046,24.599833
770,-19.255876,19.461273,50.282012,24.608498,50.282088,24.608527
780,-19.760288,19.7074,50.5996,24.616864,50.599676,24.616893
790,-20.267855,19.953609,50.913246,24.624918,50.913323,24.624948
800,-20.77854,20.199898,51.223047,24.632676,51.223124,24.632706
810,-21.292304,20.446262,51.529093,24.640153,51.529171,24.640182
820,-21.80911,20.6927,51.831475,24.647361,51.831553,24.64739
830,-22.328921,20.939208,52.130277,24.654313,52.130355,24.654342
840,-22.851703,21.185785,52.425582,24.661021,52.42566,24.661051
850,-23.377421,21.432428,52.71747,24.667497,52.717549,24.667526
860,-23.906042,21.679134,53.006019,24.67375,53.006098,24.67378
870,-24.437531,21.925902,53.291303,24.679792,53.291382,24.679821
880,-24.971857,22.17273,53.573394,24.685631,53.573474,24.68566
890,-25.508988,22.419614,53.852363,24.691276,53.852443,24.691306
900,-26.048894,22.666554,54.128276,24.696736,54.128357,24.696766
910,-26.591544,22.913548,54.4012,24.702019,54.401281,24.702049
920,-27.136908,23.160594,54.671199,24.707132,54.67128,24.707162
930,-27.684958,23.407691,54.938332,24.712083,54.938414,24.712113
940,-28.235666,23.654835,55.202661,24.716878,55.202743,24.716908
950,-28.789002,23.902028,55.464242,24.721524,55.464324,24.721554
960,-29.344942,24.149265,55.723132,24.726027,55.723215,24.726056
970,-29.903456,24.396548,55.979386,24.730392,55.979468,24.730422
980,-30.464521,24.643873,56.233055,24.734626,56.233138,24.734656
990,-31.028109,24.89124,56.484191,24.738733,56.484274,24.738763
1000,-31.594196,25.138647,56.732843,24.742719,56.732927,24.742748
