temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,3.5346524,3.5346524,0,0,0,0
10,3.5346411,3.5347003,0.0059206276,0.022696216,0.0059206498,0.022696295
20,3.5343457,3.5357262,0.069023597,0.2381407,0.069023838,0.23814154
30,3.5327617,3.5412332,0.28238277,0.97709603,0.28238376,0.97709937
40,3.5278648,3.5575713,0.74266218,2.392763,0.74266466,2.3927704
50,3.5170008,3.5906574,1.4731326,4.2776752,1.4731372,4.277687
60,3.4976286,3.6437317,2.4350519,6.347706,2.435059,6.3477218
70,3.4677284,3.7175242,3.5685118,8.3946511,3.5685217,8.3946703
80,3.4258801,3.8111465,4.8158297,10.300308,4.8158423,10.30033
90,3.3711907,3.9228807,6.1298889,12.012357,6.1299042,12.012381
100,3.3031791,4.0507055,7.4752641,13.51865,7.475282,13.518675
110,3.2216662,4.1925977,8.8266493,14.828441,8.8266697,14.828467
120,3.1266847,4.3466821,10.166645,15.960658,10.166668,15.960686
130,3.0184102,4.5112922,11.483708,16.937281,11.483733,16.937309
140,2.8971118,4.6849814,12.770497,17.779927,12.770524,17.779955
150,2.7631161,4.8665102,14.022627,18.50831,14.022656,18.508339
160,2.6167827,5.0548245,15.237761,19.139693,15.237792,19.139722
170,2.4584874,5.2490302,16.414958,19.688854,16.41499,19.688884
180,2.2886101,5.4483694,17.554218,20.168285,17.554253,20.168314
190,2.1075275,5.6521986,18.656164,20.588469,18.6562,20.588498
200,1.9156078,5.8599707,19.721814,20.958177,19.721852,20.958207
210,1.713208,6.0712185,20.752431,21.284746,20.75247,21.284775
220,1.5006713,6.2855423,21.749414,21.574311,21.749454,21.574341
230,1.2783269,6.5025986,22.714225,21.83202,22.714266,21.83205
240,1.0464891,6.722091,23.648341,22.0622,23.648384,22.062229
250,0.80545756,6.9437631,24.553222,22.268498,24.553266,22.268528
260,0.55551741,7.1673918,25.430286,22.454003,25.430331,22.454033
270,0.29694,7.3927826,26.280899,22.621337,26.280945,22.621367
280,0.029983255,7.6197654,27.106365,22.772734,27.106412,22.772763
290,-0.24510762,7.8481906,27.907925,22.910105,27.907973,22.910134
298.15,-0.47516061,8.0353319,28.544332,23.012834,28.544381,23.012864
300,-0.52809947,8.0779262,28.686752,23.03509,28.686802,23.03512
310,-0.81877059,8.3088558,29.443956,23.149105,29.444007,23.149134
320,-1.11691,8.5408759,30.180581,23.253369,30.180632,23.253399
330,-1.4223169,8.7738943,30.89761,23.348944,30.897662,23.348974
340,-1.7348,9.0078289,31.595967,23.436753,31.59602,23.436782
350,-2.0541769,9.2426061,32.276523,23.5176,32.276577,23.51763
