temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,20.9051,12.855,7.60251,4.295,62.6227,3.30751
200,64.8238,51.12,36.3522,24.88,26.8072,11.4722
298.15,89.7744,79.015,67.4377,50.95,13.6169,16.4877
300,90.1019,79.416,67.994,51.44,13.4557,16.554
400,102.999,96.086,95.8792,76.779,7.19488,19.1002
500,110.039,106.131,119.692,99.388,3.68221,20.3042
600,114.205,112.545,140.154,119.345,1.47493,20.8086
700,116.845,116.926,157.971,137.041,-0.068869,20.93
800,118.614,120.135,173.696,152.873,-1.2659,20.8234
900,119.853,122.662,187.743,167.174,-2.29018,20.5687
1000,120.752,124.771,200.419,180.21,-3.22103,20.2094
1100,121.425,126.608,211.961,192.189,-4.09396,19.7724
1200,121.941,128.252,222.55,203.277,-4.92116,19.2728
1300,122.344,129.737,232.327,213.602,-5.69809,18.7248
1400,122.667,131.081,241.406,223.267,-6.41926,18.1387
1500,122.927,132.29,249.878,232.353,-7.07727,17.525
1600,123.142,133.361,257.819,240.925,-7.66289,16.8936
