temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,36.94698,36.94698,0,0,0,0
10,36.946975,36.947003,0.0027905951,0.010700439,0.0027906055,0.010700476
20,36.946836,36.947478,0.032078534,0.10886476,0.032078645,0.10886514
30,36.946106,36.950028,0.1307331,0.46610767,0.13073356,0.46610938
40,36.943753,36.958566,0.37033713,1.3497132,0.37033848,1.3497181
50,36.937965,36.979437,0.82943831,2.9527688,0.82944127,2.9527789
60,36.926235,37.020213,1.5663062,5.3299785,1.5663117,5.3299959
70,36.905606,37.088466,2.6122805,8.4339228,2.6122893,8.4339489
80,36.87293,37.190957,3.9753333,12.15655,3.9753462,12.156586
90,36.825073,37.333204,5.6458951,16.361097,5.6459128,16.361143
100,36.759058,37.51931,7.6025138,20.905149,7.6025368,20.905205
110,36.672164,37.751992,9.8166203,25.655522,9.816649,25.655588
120,36.561974,38.032719,12.25621,30.496373,12.256245,30.496448
130,36.426398,38.361901,14.88849,35.332423,14.888532,35.332507
140,36.263668,38.739101,17.681661,40.08902,17.681709,40.089112
150,36.072328,39.163229,20.606012,44.710406,20.606067,44.710504
160,35.851201,39.632725,23.634525,49.157119,23.634586,49.157224
170,35.59937,40.145702,26.743125,53.403158,26.743192,53.403269
180,35.316142,40.700068,29.910696,57.433246,29.91077,57.433361
190,35.001021,41.293623,33.118956,61.240392,33.119036,61.240512
200,34.65368,41.924129,36.352246,64.823825,36.352332,64.823948
210,34.273937,42.589366,39.597278,68.187286,39.59737,68.187413
220,33.861733,43.287165,42.842871,71.337678,42.84297,71.337808
230,33.417109,44.015439,46.079694,74.284009,46.079798,74.284141
240,32.940194,44.772199,49.300019,77.036585,49.300129,77.036718
250,32.431185,45.555561,52.497505,79.606408,52.49762,79.606544
260,31.890338,46.363755,55.666991,82.004735,55.667112,82.004873
270,31.317953,47.195122,58.80433,84.242762,58.804456,84.242901
280,30.714369,48.048113,61.906227,86.331402,61.906358,86.331542
