temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,6.88151,5.678,2.62879,2.164,21.1961,0.46479
200,21.4614,19.332,11.9281,10.267,11.0149,1.66112
298.15,31.9243,30.097,22.6166,20.142,6.07135,2.47463
300,32.0744,30.254,22.8146,20.329,6.017,2.48557
400,38.2553,36.692,32.9706,29.987,4.26058,2.98356
500,41.8553,40.799,41.9281,38.647,2.58914,3.28114
600,44.0622,43.538,49.7697,46.341,1.20393,3.42872
700,45.4905,45.434,56.6767,53.201,0.124457,3.47568
800,46.4603,46.791,62.8183,59.361,-0.706858,3.45733
900,47.1455,47.792,68.3323,64.932,-1.35272,3.40033
1000,47.6462,48.55,73.3268,70.008,-1.86153,3.31884
1100,48.0225,49.136,77.8865,74.664,-2.26612,3.22247
1200,48.3121,49.598,82.0779,78.96,-2.59266,3.11792
1300,48.5395,49.97,85.9543,82.945,-2.86273,3.00928
1400,48.7212,50.272,89.5583,86.66,-3.08478,2.89833
1500,48.8687,50.521,92.9249,90.137,-3.2706,2.78795
