temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,17.463003,17.463003,0,0,0,0
10,17.463001,17.463014,0.0013356075,0.0048298277,0.0013356123,0.0048298443
20,17.462939,17.463219,0.014033108,0.045702316,0.014033155,0.045702468
30,17.462634,17.464219,0.052834121,0.17571327,0.052834301,0.17571388
40,17.46172,17.467341,0.14052068,0.48743764,0.14052117,0.48743938
50,17.459564,17.474849,0.30569437,1.0606117,0.30569544,1.0606154
60,17.455276,17.489449,0.56955721,1.900653,0.56955915,1.9006591
70,17.447818,17.513587,0.93955731,2.9579257,0.9395604,2.9579346
80,17.436141,17.549125,1.4122958,4.1709309,1.4123003,4.1709427
90,17.419259,17.597358,1.9788683,5.4900041,1.9788744,5.4900188
100,17.396286,17.659165,2.6287904,6.8815148,2.6287981,6.8815324
110,17.366439,17.735155,3.3519634,8.3235289,3.3519729,8.3235495
120,17.329033,17.825752,4.139322,9.8003993,4.1393335,9.8004228
130,17.283466,17.931236,4.9828473,11.299078,4.9828607,11.299104
140,17.229213,18.051765,5.8753744,12.807371,5.87539,12.8074
150,17.165817,18.187376,6.8103957,14.313499,6.8104134,14.313531
160,17.092883,18.337991,7.7819212,15.806294,7.781941,15.806329
170,17.010075,18.503424,8.7844017,17.275578,8.7844237,17.275615
180,16.917109,18.683394,9.812694,18.712492,9.8127182,18.712532
190,16.813751,18.877541,10.862051,20.109691,10.862077,20.109732
200,16.699813,19.085436,11.928118,21.461393,11.928146,21.461436
210,16.575146,19.306603,13.006935,22.763325,13.006965,22.76337
220,16.439643,19.540527,14.094926,24.012583,14.094958,24.012629
230,16.293228,19.786673,15.188891,25.207461,15.188926,25.207509
240,16.135855,20.044493,16.285989,26.347263,16.286026,26.347313
250,15.967506,20.313435,17.383715,27.432116,17.383754,27.432166
260,15.788186,20.592954,18.479877,28.462799,18.479918,28.46285
270,15.59792,20.882515,19.572572,29.440593,19.572615,29.440645
280,15.396752,21.181595,20.660156,30.367149,20.6602,30.367202
290,15.184739,21.489693,21.741222,31.244384,21.741268,31.244437
298.15,15.003977,21.747126,22.616634,31.924296,22.616683,31.92435
300,14.961953,21.806325,22.814575,32.074384,22.814623,32.074438
310,14.728476,22.131031,23.879207,32.85934,23.879258,32.859395
320,14.484401,22.46337,24.934278,33.601491,24.93433,33.601546
330,14.229825,22.802925,25.979092,34.303074,25.979145,34.30313
340,13.964855,23.149303,27.013083,34.966301,27.013138,34.966357
350,13.689601,23.502131,28.035799,35.593325,28.035856,35.593382
360,13.404178,23.861056,29.046884,36.186232,29.046943,36.186288
