temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,15.7856,15.762,9.69448,9.505,0.149481,0.189476,0.948872,0.315476
200,22.029,22.724,23.1154,23.143,-3.05853,-0.0275728,-1.94957,0.224427
250,23.0163,24.018,28.1482,28.364,-4.17063,-0.215815,-2.85911,0.0991853
298.15,23.5642,24.869,32.253,32.671,-5.24664,-0.41802,-3.73605,-0.0423514
300,23.5805,24.897,32.3988,32.825,-5.28797,-0.426208,-3.76971,-0.0482076
350,23.9306,25.568,36.062,36.715,-6.40397,-0.652988,-4.67916,-0.211988
400,24.1621,26.144,39.2736,40.167,-7.58081,-0.893395,-5.65302,-0.389395
450,24.3227,26.668,42.1293,43.277,-8.7945,-1.1477,-6.66836,-0.580699
500,24.4385,27.171,44.6983,46.113,-10.0565,-1.41474,-7.73787,-0.784738
600,24.5907,28.184,49.1686,51.156,-12.7494,-1.98737,-10.067,-1.23137
