temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,2.9832005,2.9832005,0,0,0,0
10,2.9831759,2.9832854,0.010948305,0.036542624,0.010948343,0.036542747
20,2.9826964,2.9848927,0.1098147,0.37516437,0.10981508,0.3751657
30,2.9801915,2.9935204,0.44429777,1.5116184,0.44429931,1.5116235
40,2.972602,3.0180452,1.1360795,3.5070439,1.1360832,3.5070542
50,2.9562996,3.0651235,2.1764777,5.9434227,2.1764843,5.9434381
60,2.928194,3.1370085,3.4802417,8.4147105,3.4802514,8.4147301
70,2.8861387,3.232744,4.9515047,10.688684,4.9515177,10.688707
80,2.8288696,3.3498165,6.5118361,12.675529,6.5118523,12.675554
90,2.755794,3.485262,8.1052,14.365701,8.1052192,14.365727
100,2.6667807,3.6362283,9.6944758,15.785561,9.6944979,15.785589
110,2.5619967,3.8001989,11.256384,16.973129,11.256409,16.973157
120,2.441791,3.975045,12.777116,17.966759,12.777143,17.966788
130,2.3066173,4.1590024,14.249116,18.800677,14.249145,18.800706
140,2.1569832,4.350623,15.668856,19.503768,15.668887,19.503797
150,1.9934178,4.5487212,17.035356,20.099746,17.035389,20.099775
160,1.8164516,4.7523253,18.34921,20.607823,18.349246,20.607852
170,1.626604,4.9606366,19.611956,21.043479,19.611993,21.043508
180,1.424376,5.1729953,20.825663,21.419176,20.825702,21.419206
190,1.2102464,5.3888539,21.992671,21.744966,21.992712,21.744995
200,0.98467008,5.6077555,23.115427,22.028981,23.115469,22.02901
210,0.74807723,5.8293165,24.196377,22.277834,24.196421,22.277863
220,0.50087393,6.0532131,25.237905,22.496927,25.23795,22.496957
230,0.2434429,6.2791707,26.242295,22.690697,26.242341,22.690727
240,-0.023855396,6.5069549,27.21171,22.862807,27.211757,22.862837
250,-0.30068151,6.7363648,28.148185,23.016298,28.148234,23.016328
260,-0.58671567,6.9672273,29.053627,23.153709,29.053677,23.153739
270,-0.88165653,7.1993925,29.929811,23.277168,29.929862,23.277197
280,-1.1852199,7.4327302,30.778393,23.388469,30.778445,23.388499
290,-1.4971375,7.6671265,31.60091,23.489134,31.600964,23.489163
298.15,-1.757353,7.8588729,32.25298,23.564212,32.253034,23.564242
300,-1.817156,7.9024817,32.398792,23.580455,32.398847,23.580484
310,-2.1450357,8.1387081,33.173367,23.663538,33.173422,23.663568
320,-2.4805498,8.3757282,33.925869,23.739333,33.925925,23.739362
330,-2.8234833,8.6134732,34.657444,23.808657,34.657501,23.808687
340,-3.1736325,8.8518821,35.369161,23.872218,35.369219,23.872248
350,-3.5308037,9.0909005,36.062012,23.930632,36.06207,23.930662
360,-3.8948129,9.3304794,36.736923,23.984434,36.736983,23.984463
370,-4.2654852,9.5705753,37.394758,24.034091,37.394819,24.034121
380,-4.6426538,9.8111488,38.036323,24.080017,38.036384,24.080046
390,-5.0261599,10.052164,38.66237,24.122571,38.662432,24.1226
400,-5.4158519,10.29359,39.273605,24.162074,39.273668,24.162103
410,-5.8115849,10.535397,39.870687,24.198808,39.87075,24.198837
420,-6.2132205,10.777558,40.454234,24.233024,40.454298,24.233054
430,-6.6206264,11.02005,41.024828,24.264946,41.024892,24.264976
440,-7.0336757,11.26285,41.583012,24.294773,41.583078,24.294802
450,-7.452247,11.505939,42.129301,24.322682,42.129367,24.322712
460,-7.8762237,11.749298,42.664177,24.348835,42.664243,24.348865
470,-8.305494,11.99291,43.188093,24.373375,43.188161,24.373404
480,-8.7399505,12.23676,43.70148,24.39643,43.701548,24.396459
490,-9.1794898,12.480834,44.204742,24.418118,44.204811,24.418147
500,-9.6240128,12.725118,44.698262,24.438543,44.698331,24.438573
510,-10.073424,12.969601,45.182401,24.457803,45.182471,24.457832
520,-10.527631,13.214271,45.657503,24.475982,45.657573,24.476012
530,-10.986545,13.459117,46.123891,24.493161,46.123962,24.493191
540,-11.450081,13.704131,46.581873,24.509411,46.581944,24.509441
550,-11.918155,13.949303,47.031741,24.524798,47.031814,24.524827
560,-12.390689,14.194624,47.473774,24.539381,47.473846,24.53941
570,-12.867605,14.440088,47.908234,24.553215,47.908307,24.553244
580,-13.34883,14.685686,48.335372,24.56635,48.335445,24.56638
590,-13.834289,14.931413,48.755427,24.578833,48.755501,24.578863
600,-14.323915,15.177261,49.168626,24.590706,49.168701,24.590735
610,-14.81764,15.423225,49.575188,24.602007,49.575263,24.602037
620,-15.315398,15.669299,49.975317,24.612774,49.975393,24.612803
630,-15.817125,15.915479,50.369212,24.623038,50.369289,24.623068
640,-16.322762,16.161758,50.757062,24.632831,50.757139,24.63286
650,-16.832247,16.408134,51.139047,24.642181,51.139124,24.64221
660,-17.345524,16.6546,51.515339,24.651114,51.515417,24.651143
670,-17.862535,16.901155,51.886104,24.659654,51.886182,24.659684
680,-18.383228,17.147792,52.2515,24.667825,52.251579,24.667854
690,-18.907548,17.39451,52.611678,24.675646,52.611757,24.675676
700,-19.435444,17.641304,52.966784,24.683139,52.966863,24.683168
710,-19.966867,17.888172,53.316956,24.69032,53.317036,24.69035
720,-20.501768,18.13511,53.662329,24.697207,53.662409,24.697237
730,-21.040098,18.382115,54.003032,24.703816,54.003112,24.703845
740,-21.581813,18.629185,54.339187,24.710161,54.339267,24.71019
750,-22.126867,18.876317,54.670913,24.716256,54.670994,24.716285
760,-22.675217,19.123509,54.998324,24.722114,54.998406,24.722144
770,-23.22682,19.370759,55.32153,24.727747,55.321613,24.727777
780,-23.781634,19.618064,55.640638,24.733167,55.64072,24.733197
790,-24.339619,19.865421,55.955748,24.738385,55.95583,24.738414
800,-24.900736,20.112831,56.266958,24.743409,56.267041,24.743438
810,-25.464946,20.360289,56.574364,24.74825,56.574447,24.748279
820,-26.032211,20.607795,56.878056,24.752916,56.87814,24.752945
830,-26.602495,20.855347,57.178122,24.757416,57.178206,24.757445
840,-27.175761,21.102943,57.474648,24.761757,57.474732,24.761786
850,-27.751976,21.350581,57.767715,24.765947,57.7678,24.765976
860,-28.331104,21.598261,58.057402,24.769992,58.057487,24.770022
870,-28.913113,21.845981,58.343786,24.7739,58.343872,24.77393
880,-29.497969,22.093739,58.626941,24.777676,58.627027,24.777706
890,-30.085641,22.341534,58.906938,24.781327,58.907025,24.781356
900,-30.676098,22.589365,59.183847,24.784857,59.183934,24.784886
910,-31.269308,22.837231,59.457735,24.788272,59.457822,24.788302
920,-31.865243,23.08513,59.728666,24.791577,59.728753,24.791607
930,-32.463872,23.333062,59.996703,24.794777,59.996791,24.794806
940,-33.065167,23.581025,60.261907,24.797876,60.261995,24.797905
950,-33.669101,23.829019,60.524337,24.800878,60.524425,24.800907
960,-34.275645,24.077042,60.784049,24.803787,60.784138,24.803816
970,-34.884773,24.325095,61.0411,24.806607,61.041189,24.806636
980,-35.496458,24.573174,61.295543,24.809341,61.295633,24.809371
990,-36.110675,24.821281,61.547431,24.811994,61.54752,24.812024
1000,-36.727398,25.069414,61.796812,24.814568,61.796902,24.814598
