temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,16.9324,7.802,6.97495,2.548,117.027,4.42695
200,36.1053,26.681,25.6809,14.096,35.322,11.5849
298.15,42.8746,37.106,41.571,26.924,15.5462,14.647
300,42.9518,37.244,41.8365,27.154,15.3254,14.6825
400,45.7992,42.561,54.6352,38.678,7.60849,15.9572
500,47.2113,45.544,65.0231,48.523,3.66088,16.5001
600,48.0052,47.43,73.7072,57.006,1.21269,16.7012
700,48.4933,48.748,81.1467,64.42,-0.522433,16.7267
800,48.814,49.74,87.6444,70.996,-1.86159,16.6484
900,49.0357,50.539,93.4074,76.902,-2.97447,16.5054
1000,49.1952,51.208,98.5826,82.262,-3.93063,16.3206
1100,49.3137,51.794,103.277,87.171,-4.7888,16.1062
1200,49.4041,52.325,107.572,91.701,-5.58226,15.8711
1300,49.4746,52.81,111.529,95.908,-6.31585,15.6214
1400,49.5307,53.262,115.198,99.839,-7.00564,15.359
1500,49.5759,53.693,118.617,103.528,-7.66776,15.0889
1600,49.6131,54.107,121.818,107.007,-8.30565,14.8107
1700,49.6439,54.509,124.826,110.299,-8.9254,14.5274
1800,49.6697,54.898,127.665,113.426,-9.52371,14.2387
1900,49.6915,55.278,130.351,116.404,-10.1061,13.9468
2000,49.7102,55.651,132.9,119.249,-10.675,13.6511
2100,49.7263,56.019,135.326,121.973,-11.2331,13.3529
