temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,18.4329,7.802,7.87267,2.548,136.258,5.32467
200,37.1818,26.681,27.5487,14.096,39.3568,13.4527
298.15,43.4891,37.106,43.7725,26.924,17.2022,16.8485
300,43.5602,37.244,44.0417,27.154,16.959,16.8877
400,46.1732,42.561,56.9796,38.678,8.48722,18.3016
500,47.4609,45.544,67.4363,48.523,4.20895,18.9133
600,48.1826,47.43,76.1589,57.006,1.58667,19.1529
700,48.6255,48.748,83.6221,64.42,-0.251333,19.2021
800,48.9162,49.74,90.1354,70.996,-1.6563,19.1394
900,49.1169,50.539,95.9092,76.902,-2.81384,19.0072
1000,49.2613,51.208,101.092,82.262,-3.80163,18.83
1100,49.3685,51.794,105.792,87.171,-4.68305,18.6214
1200,49.4502,52.325,110.092,91.701,-5.49408,18.3907
1300,49.514,52.81,114.052,95.908,-6.24126,18.1444
1400,49.5647,53.262,117.724,99.839,-6.94177,17.8847
1500,49.6056,53.693,121.145,103.528,-7.6125,17.6168
1600,49.6392,54.107,124.347,107.007,-8.2574,17.3403
1700,49.667,54.509,127.358,110.299,-8.88294,17.0586
1800,49.6903,54.898,130.197,113.426,-9.48608,16.7711
1900,49.7101,55.278,132.884,116.404,-10.0725,16.4803
2000,49.727,55.651,135.435,119.249,-10.6449,16.1855
2100,49.7415,56.019,137.861,121.973,-11.206,15.8881
