temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,9.3780815,9.3780815,0,0,0,0
10,9.3780751,9.378111,0.0035884983,0.014655387,0.0035885123,0.014655439
20,9.3778863,9.3787663,0.043997205,0.14832304,0.043997356,0.14832355
30,9.3768989,9.3821416,0.17475716,0.60707277,0.17475777,0.60707495
40,9.3738074,9.3930295,0.48055347,1.6950432,0.48055517,1.6950492
50,9.3664235,9.418626,1.0440485,3.5495163,1.0440521,3.5495279
60,9.3519281,9.4662554,1.9054553,6.0706171,1.9054616,6.0706355
70,9.327335,9.5415134,3.0596909,9.033992,3.0597006,9.0340172
80,9.2898737,9.6476084,4.4716844,12.200992,4.4716978,12.201024
90,9.237204,9.7855596,6.0928403,15.378038,6.0928578,15.378076
100,9.1674885,9.9547557,7.8726717,18.432875,7.8726933,18.432917
110,9.0793757,10.153547,9.7651912,21.287962,9.765217,21.288007
120,8.9719395,10.379723,11.731532,23.906437,11.731561,23.906485
130,8.8446042,10.630852,13.740369,26.278439,13.740403,26.27849
140,8.6970725,10.904491,15.767276,28.410447,15.767313,28.4105
150,8.5292609,11.198312,17.793674,30.317858,17.793715,30.317912
160,8.3412472,11.510165,19.805733,32.020197,19.805778,32.020252
170,8.133228,11.838102,21.793374,33.538197,21.793422,33.538253
180,7.9054853,12.180382,23.749425,34.892128,23.749476,34.892185
190,7.6583614,12.535461,25.668943,36.100925,25.668997,36.100982
200,7.3922392,12.901974,27.548674,37.181788,27.548732,37.181846
210,7.1075273,13.278721,29.386638,38.150076,29.386698,38.150135
220,6.8046492,13.664646,31.181802,39.019351,31.181865,39.019409
230,6.484035,14.058818,32.933839,39.801503,32.933905,39.801562
240,6.1461156,14.46042,34.642935,40.506916,34.643004,40.506975
250,5.7913176,14.868731,36.309653,41.144633,36.309723,41.144692
260,5.4200611,15.283113,37.934817,41.722524,37.93489,41.722583
270,5.0327565,15.703005,39.519438,42.247437,39.519513,42.247496
280,4.6298037,16.127906,41.06465,42.725336,41.064727,42.725395
290,4.2115908,16.557372,42.57166,43.161417,42.571739,43.161477
298.15,3.859722,16.910489,43.772487,43.489064,43.772568,43.489123
300,3.7784936,16.99101,44.04172,43.56022,44.041802,43.560279
310,3.3308753,17.428466,45.476098,43.925713,45.476181,43.925772
320,2.8690864,17.869425,46.876057,44.261373,46.876142,44.261433
330,2.3934648,18.313604,48.242846,44.570256,48.242933,44.570315
340,1.904336,18.760749,49.577687,44.855048,49.577775,44.855107
350,1.4020136,19.210632,50.881768,45.11812,50.881859,45.118179
360,0.8867993,19.663046,52.156242,45.361566,52.156334,45.361626
370,0.35898371,20.117805,53.402219,45.587243,53.402312,45.587302
380,-0.18115364,20.574738,54.620766,45.796798,54.620862,45.796857
390,-0.73334362,21.033692,55.812911,45.991696,55.813008,45.991755
400,-1.2973271,21.494527,56.979635,46.173245,56.979734,46.173304
410,-1.8728547,21.957116,58.12188,46.342612,58.12198,46.342672
420,-2.4596861,22.421342,59.240544,46.500843,59.240645,46.500903
430,-3.0575899,22.887099,60.336485,46.648876,60.336588,46.648935
440,-3.6663428,23.354288,61.410526,46.787553,61.41063,46.787613
450,-4.28573,23.822821,62.463447,46.917635,62.463553,46.917694
460,-4.9155439,24.292615,63.495997,47.039805,63.496104,47.039865
470,-5.5555844,24.763593,64.508888,47.154684,64.508996,47.154743
480,-6.2056584,25.235686,65.502801,47.262832,65.50291,47.262891
490,-6.8655793,25.708829,66.478384,47.364758,66.478495,47.364817
500,-7.535167,26.182962,67.436258,47.460924,67.43637,47.460983
510,-8.2142474,26.65803,68.377014,47.55175,68.377127,47.551809
520,-8.9026522,27.133981,69.301217,47.637621,69.301331,47.63768
530,-9.6002184,27.610767,70.209406,47.718885,70.209521,47.718944
540,-10.306789,28.088344,71.102097,47.795864,71.102214,47.795923
550,-11.02221,28.566671,71.979784,47.868849,71.979901,47.868909
560,-11.746336,29.045709,72.842936,47.938111,72.843055,47.93817
570,-12.479022,29.525421,73.692006,48.003894,73.692125,48.003954
580,-13.22013,30.005776,74.527424,48.066427,74.527545,48.066487
590,-13.969526,30.48674,75.349604,48.125918,75.349725,48.125977
600,-14.72708,30.968284,76.15894,48.182559,76.159063,48.182619
610,-15.492664,31.450382,76.955813,48.236529,76.955936,48.236588
