temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,9.8687538,9.8687538,0,0,0,0
10,9.8687489,9.8687769,0.0027912923,0.011866081,0.0027913036,0.011866124
20,9.8685944,9.8693227,0.036414869,0.12408296,0.036414995,0.12408338
30,9.867773,9.8721391,0.14553449,0.50578931,0.145535,0.50579113
40,9.8651962,9.881239,0.40106932,1.4226358,0.40107074,1.4226408
50,9.8590097,9.9029081,0.87796684,3.0269894,0.8779699,3.0269995
60,9.8467504,9.9439174,1.6194505,5.2688105,1.6194559,5.2688268
70,9.8257202,10.00983,2.6301356,7.9733164,2.6301441,7.9733392
80,9.7933279,10.10423,3.8862807,10.932762,3.8862926,10.932791
90,9.7473054,10.228719,5.3490451,13.964237,5.3490608,13.964272
100,9.6858034,10.383299,6.9749524,16.932425,6.974972,16.932464
110,9.6074019,10.566862,8.7223635,19.750103,8.7223871,19.750147
120,9.5110738,10.777635,10.554676,22.368985,10.554704,22.369032
130,9.3961277,11.013509,12.441392,24.768597,12.441424,24.768646
140,9.2621469,11.272267,14.358001,26.946625,14.358036,26.946676
150,9.1089325,11.551731,16.285321,28.911658,16.285359,28.911711
160,8.9364542,11.849838,18.208651,30.678187,18.208693,30.678241
170,8.7448099,12.16469,20.11694,32.263348,20.116985,32.263403
180,8.534193,12.49456,22.002039,33.684923,22.002088,33.684979
190,8.3048662,12.837901,23.858076,34.960181,23.858127,34.960237
200,8.0571422,13.19333,25.680939,36.105252,25.680993,36.105309
210,7.7913673,13.559621,27.467874,37.134849,27.467931,37.134906
220,7.5079103,13.935686,29.217163,38.062181,29.217223,38.062239
230,7.2071527,14.320563,30.92787,38.898991,30.927933,38.89905
240,6.8894827,14.713399,32.599651,39.65565,32.599716,39.655708
250,6.5552892,15.113439,34.2326,40.341275,34.232668,40.341334
260,6.2049587,15.520014,35.827137,40.963869,35.827207,40.963928
270,5.8388723,15.93253,37.383917,41.530443,37.383989,41.530502
280,5.4574035,16.350457,38.903763,42.047142,38.903837,42.047201
290,5.060917,16.773325,40.387612,42.519349,40.387689,42.519408
298.15,4.72692,17.121322,41.571028,42.874589,41.571106,42.874648
300,4.6497679,17.200712,41.836479,42.951789,41.836557,42.951848
310,4.2243005,17.632242,43.251423,43.34861,43.251503,43.34867
320,3.7848489,18.067577,44.633526,43.713464,44.633608,43.713523
330,3.3317359,18.506415,45.983877,44.049566,45.983961,44.049625
340,2.8652736,18.948482,47.303555,44.359755,47.303641,44.359815
350,2.3857634,19.393532,48.593625,44.646543,48.593713,44.646603
360,1.8934963,19.841343,49.855129,44.912155,49.855218,44.912215
370,1.3887527,20.291711,51.089078,45.158567,51.089168,45.158626
380,0.87180331,20.744456,52.296454,45.387536,52.296546,45.387595
390,0.34290905,21.199409,53.478206,45.60063,53.4783,45.600689
400,-0.19767843,21.65642,54.635247,45.799248,54.635342,45.799308
410,-0.74971645,22.11535,55.768455,45.984644,55.768552,45.984703
420,-1.3129709,22.576073,56.878675,46.157941,56.878774,46.158
430,-1.887216,23.038472,57.966716,46.320147,57.966816,46.320207
440,-2.4722339,23.502442,59.033354,46.472172,59.033455,46.472232
450,-3.0678142,23.967884,60.07933,46.614835,60.079432,46.614895
460,-3.673754,24.43471,61.105356,46.748876,61.10546,46.748935
470,-4.2898571,24.902835,62.112112,46.874964,62.112216,46.875024
480,-4.9159342,25.372185,63.100247,46.993707,63.100353,46.993766
490,-5.5518021,25.842687,64.070385,47.105655,64.070493,47.105714
500,-6.1972839,26.314277,65.023121,47.21131,65.02323,47.211369
510,-6.8522084,26.786894,65.959023,47.311128,65.959133,47.311187
520,-7.51641,27.260481,66.878637,47.405526,66.878748,47.405585
530,-8.1897286,27.734987,67.782483,47.494884,67.782595,47.494943
540,-8.8720088,28.210363,68.671059,47.579551,68.671172,47.57961
550,-9.5631005,28.686564,69.544844,47.659844,69.544958,47.659904
560,-10.262858,29.163546,70.404294,47.736058,70.404409,47.736117
570,-10.97114,29.641272,71.249846,47.80846,71.249962,47.80852
580,-11.68781,30.119704,72.08192,47.877299,72.082038,47.877358
590,-12.412735,30.598807,72.900918,47.942801,72.901037,47.94286
600,-13.145786,31.078549,73.707226,48.005177,73.707345,48.005236
610,-13.886838,31.558901,74.501212,48.064621,74.501332,48.06468
620,-14.63577,32.039833,75.283231,48.121312,75.283352,48.121371
630,-15.392464,32.521318,76.053623,48.175416,76.053745,48.175475
640,-16.156805,33.003333,76.812716,48.227086,76.812839,48.227145
650,-16.928682,33.485852,77.560822,48.276466,77.560946,48.276525
660,-17.707986,33.968855,78.298244,48.323687,78.298369,48.323747
670,-18.494612,34.452319,79.025271,48.368873,79.025397,48.368933
680,-19.288458,34.936226,79.742182,48.412138,79.742309,48.412198
690,-20.089423,35.420556,80.449245,48.453589,80.449373,48.453648
700,-20.897411,35.905292,81.146718,48.493324,81.146847,48.493384
710,-21.712326,36.390417,81.83485,48.531438,81.834979,48.531497
720,-22.534077,36.875916,82.513879,48.568015,82.514009,48.568074
730,-23.362574,37.361773,83.184037,48.603137,83.184168,48.603197
740,-24.197729,37.847974,83.845545,48.636881,83.845676,48.63694
750,-25.039457,38.334506,84.498617,48.669315,84.49875,48.669375
760,-25.887674,38.821356,85.143461,48.700508,85.143594,48.700567
770,-26.742299,39.308512,85.780275,48.730521,85.780409,48.73058
780,-27.603253,39.795963,86.409251,48.759412,86.409386,48.759472
790,-28.470459,40.283697,87.030577,48.787237,87.030713,48.787297
800,-29.34384,40.771704,87.64443,48.814047,87.644567,48.814107
810,-30.223323,41.259975,88.250985,48.839891,88.251122,48.83995
820,-31.108836,41.748499,88.850408,48.864814,88.850546,48.864873
830,-32.000308,42.237268,89.442863,48.888859,89.443001,48.888918
840,-32.89767,42.726273,90.028504,48.912067,90.028644,48.912126
850,-33.800856,43.215507,90.607485,48.934476,90.607625,48.934535
860,-34.709798,43.70496,91.179952,48.956121,91.180093,48.956181
870,-35.624434,44.194627,91.746046,48.977039,91.746188,48.977098
880,-36.544699,44.684499,92.305906,48.997259,92.306048,48.997318
890,-37.470532,45.17457,92.859664,49.016814,92.859807,49.016873
900,-38.401872,45.664833,93.40745,49.035731,93.407593,49.03579
910,-39.338661,46.155282,93.949388,49.054038,93.949532,49.054097
920,-40.280841,46.645912,94.4856,49.071761,94.485745,49.07182
930,-41.228354,47.136715,95.016204,49.088924,95.01635,49.088983
940,-42.181146,47.627688,95.541314,49.105551,95.54146,49.10561
950,-43.139163,48.118825,96.061039,49.121663,96.061186,49.121722
960,-44.10235,48.61012,96.575489,49.137282,96.575636,49.137341
970,-45.070655,49.101569,97.084767,49.152427,97.084915,49.152486
980,-46.044028,49.593167,97.588975,49.167117,97.589123,49.167176
990,-47.022418,50.08491,98.08821,49.181371,98.088359,49.18143
1000,-48.005776,50.576793,98.582569,49.195205,98.582719,49.195264
1010,-48.994054,51.068812,99.072145,49.208635,99.072295,49.208695
1020,-49.987203,51.560964,99.557027,49.221678,99.557178,49.221737
1030,-50.985179,52.053245,100.0373,49.234347,100.03746,49.234407
1040,-51.987934,52.54565,100.51306,49.246658,100.51321,49.246717
1050,-52.995425,53.038177,100.98438,49.258622,100.98454,49.258681
1060,-54.007607,53.530821,101.45135,49.270254,101.4515,49.270313
1070,-55.024438,54.023581,101.91404,49.281565,101.91419,49.281624
1080,-56.045874,54.516452,102.37252,49.292566,102.37268,49.292626
1090,-57.071875,55.009431,102.82689,49.30327,102.82704,49.303329
1100,-58.102398,55.502516,103.2772,49.313687,103.27735,49.313746
1110,-59.137405,55.995704,103.72352,49.323826,103.72368,49.323885
1120,-60.176856,56.488992,104.16594,49.333698,104.16609,49.333757
1130,-61.220711,56.982377,104.6045,49.343312,104.60466,49.343371
1140,-62.268933,57.475857,105.03929,49.352676,105.03945,49.352735
1150,-63.321485,57.96943,105.47036,49.3618,105.47052,49.361859
1160,-64.378328,58.463092,105.89778,49.370691,105.89793,49.37075
1170,-65.439428,58.956843,106.3216,49.379358,106.32176,49.379417
1180,-66.504748,59.450679,106.74189,49.387807,106.74205,49.387866
1190,-67.574254,59.944598,107.1587,49.396046,107.15886,49.396105
1200,-68.647911,60.438599,107.57209,49.404082,107.57225,49.404141
1210,-69.725685,60.932679,107.98212,49.411921,107.98228,49.41198
1220,-70.807542,61.426837,108.38884,49.41957,108.389,49.41963
1230,-71.893451,61.92107,108.79229,49.427035,108.79246,49.427095
1240,-72.983378,62.415377,109.19254,49.434322,109.19271,49.434381
1250,-74.077291,62.909756,109.58964,49.441436,109.5898,49.441495
1260,-75.17516,63.404205,109.98362,49.448383,109.98379,49.448442
1270,-76.276953,63.898723,110.37455,49.455168,110.37471,49.455227
1280,-77.382641,64.393308,110.76246,49.461795,110.76262,49.461855
1290,-78.492193,64.887958,111.1474,49.468271,111.14757,49.46833
1300,-79.605579,65.382673,111.52942,49.474598,111.52959,49.474658
