temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.0769981,5.0769981,0,0,0,0
10,5.0769,5.0773456,0.044559913,0.15131244,0.044560067,0.15131296
20,5.0748527,5.0843544,0.47508385,1.6167854,0.4750855,1.6167908
30,5.064426,5.1177864,1.7786801,5.4314444,1.7786858,5.4314605
40,5.0360043,5.1981674,4.0540784,10.793399,4.0540904,10.793427
50,4.9808481,5.3346868,7.0767727,16.483035,7.0767921,16.483073
60,4.8929569,5.5262682,10.555188,21.7214,10.555215,21.721446
70,4.7690294,5.7665839,14.250779,26.209392,14.250813,26.209442
80,4.6077653,6.047867,18.001272,29.924103,18.001313,29.924156
90,4.409158,6.3627846,21.706962,32.95514,21.70701,32.955195
100,4.1739673,6.7050835,25.311162,35.419968,25.311215,35.420025
110,3.9033727,7.0696676,28.784499,37.429286,28.784558,37.429343
120,3.5987571,7.4524637,32.114221,39.076315,32.114285,39.076373
130,3.2615775,7.8502374,35.297384,40.435853,35.297453,40.435911
140,2.8932894,8.2604197,38.336645,41.566649,38.336718,41.566708
150,2.4953054,8.6809616,41.237708,42.514483,41.237785,42.514542
160,2.0689719,9.1102191,44.007795,43.314994,44.007876,43.315054
170,1.61556,9.5468639,46.654729,43.996016,46.654813,43.996075
180,1.1362615,9.9898145,49.186405,44.579396,49.186493,44.579455
190,0.63219048,10.438184,51.610493,45.082394,51.610585,45.082454
200,0.10438597,10.89124,53.934273,45.518741,53.934367,45.5188
210,-0.44618339,11.348374,56.164558,45.899437,56.164655,45.899497
220,-1.0186147,11.809074,58.307674,46.233361,58.307774,46.23342
230,-1.6120658,12.272909,60.369457,46.527726,60.36956,46.527785
240,-2.2257507,12.739516,62.355278,46.788435,62.355383,46.788494
250,-2.8589346,13.208582,64.270067,47.020348,64.270174,47.020407
260,-3.5109303,13.67984,66.118349,47.227493,66.118459,47.227553
270,-4.1810938,14.153061,67.904276,47.413229,67.904388,47.413289
280,-4.8688207,14.628043,69.631657,47.580371,69.631771,47.580431
290,-5.5735435,15.104614,71.303991,47.731292,71.304108,47.731351
298.15,-6.1600911,15.494088,72.628473,47.8437,72.628591,47.84376
300,-6.2947278,15.582622,72.924498,47.868002,72.924617,47.868061
310,-7.0318706,16.061932,74.496139,47.992214,74.496259,47.992273
320,-7.7844969,16.542429,76.021644,48.10539,76.021766,48.10545
330,-8.5521581,17.024008,77.503533,48.208791,77.503657,48.20885
340,-9.3344299,17.506576,78.944135,48.303499,78.944261,48.303559
350,-10.13091,17.990052,80.345606,48.390456,80.345734,48.390516
360,-10.941218,18.474362,81.709945,48.470479,81.710074,48.470538
370,-11.764992,18.959441,83.039006,48.54428,83.039137,48.54434
380,-12.601887,19.445229,84.334515,48.612485,84.334647,48.612544
390,-13.451575,19.931674,85.598075,48.675641,85.598208,48.6757
400,-14.313747,20.418727,86.831183,48.734231,86.831318,48.73429
410,-15.188102,20.906344,88.035236,48.788684,88.035373,48.788743
420,-16.074359,21.394488,89.211539,48.839377,89.211678,48.839436
430,-16.972245,21.883121,90.361314,48.886647,90.361454,48.886706
440,-17.8815,22.37221,91.485706,48.930794,91.485847,48.930853
450,-18.801878,22.861727,92.585788,48.972086,92.585931,48.972145
460,-19.733139,23.351643,93.662569,49.010762,93.662713,49.010821
470,-20.675055,23.841934,94.716997,49.047039,94.717142,49.047098
480,-21.627407,24.332577,95.749966,49.081109,95.750112,49.081168
490,-22.589985,24.82355,96.762316,49.113148,96.762463,49.113207
500,-23.562587,25.314833,97.754841,49.143313,97.75499,49.143372
510,-24.545018,25.80641,98.728291,49.171747,98.728441,49.171806
520,-25.537092,26.298263,99.683375,49.198579,99.683526,49.198638
530,-26.538627,26.790377,100.62076,49.223927,100.62091,49.223987
540,-27.54945,27.282737,101.54109,49.247899,101.54124,49.247958
550,-28.569394,27.77533,102.44495,49.270592,102.44511,49.270651
560,-29.598296,28.268145,103.33293,49.292094,103.33309,49.292153
570,-30.636001,28.761169,104.20556,49.312488,104.20572,49.312547
580,-31.682358,29.254391,105.06336,49.331848,105.06352,49.331907
590,-32.737221,29.747802,105.90682,49.350243,105.90698,49.350302
600,-33.800448,30.241393,106.7364,49.367736,106.73656,49.367795
610,-34.871904,30.735154,107.55255,49.384384,107.55271,49.384443
620,-35.951456,31.229078,108.3557,49.400241,108.35586,49.4003
630,-37.038976,31.723157,109.14624,49.415356,109.1464,49.415415
640,-38.13434,32.217383,109.92457,49.429775,109.92473,49.429834
650,-39.237428,32.71175,110.69104,49.44354,110.69121,49.443599
660,-40.348123,33.206252,111.44602,49.456689,111.44619,49.456748
670,-41.466311,33.700882,112.18984,49.469258,112.19001,49.469318
680,-42.591883,34.195635,112.92282,49.481282,112.92299,49.481341
690,-43.724732,34.690506,113.64527,49.492791,113.64544,49.49285
700,-44.864755,35.185489,114.35749,49.503814,114.35766,49.503874
710,-46.011849,35.68058,115.05976,49.514379,115.05993,49.514438
720,-47.165918,36.175775,115.75235,49.524509,115.75252,49.524568
730,-48.326865,36.671069,116.43553,49.534229,116.4357,49.534288
740,-49.494598,37.166458,117.10954,49.54356,117.10971,49.543619
750,-50.669026,37.661939,117.77462,49.552523,117.77479,49.552582
760,-51.850061,38.157508,118.43101,49.561137,118.43119,49.561196
770,-53.037618,38.653161,119.07893,49.56942,119.07911,49.569479
780,-54.231612,39.148895,119.7186,49.577388,119.71877,49.577447
790,-55.431963,39.644708,120.35022,49.585057,120.35039,49.585116
800,-56.63859,40.140595,120.97398,49.592442,120.97416,49.592501
810,-57.851417,40.636556,121.59009,49.599557,121.59027,49.599616
820,-59.070367,41.132586,122.19872,49.606415,122.1989,49.606474
830,-60.295367,41.628683,122.80006,49.613028,122.80024,49.613087
840,-61.526345,42.124845,123.39427,49.619407,123.39445,49.619466
850,-62.763229,42.62107,123.98153,49.625563,123.98171,49.625623
860,-64.005953,43.117356,124.56199,49.631508,124.56217,49.631567
870,-65.254447,43.6137,125.1358,49.637249,125.13598,49.637308
880,-66.508647,44.1101,125.70312,49.642797,125.7033,49.642856
890,-67.768488,44.606555,126.26409,49.64816,126.26428,49.648219
900,-69.033908,45.103063,126.81886,49.653345,126.81904,49.653405
