temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,4.6349291,4.6349291,0,0,0,0
10,4.6348114,4.635341,0.052960836,0.17889897,0.052961018,0.17889958
20,4.6323732,4.6437309,0.56788284,1.9468497,0.56788481,1.9468563
30,4.6198384,4.6841257,2.1429087,6.5535841,2.1429156,6.5536033
40,4.5856529,4.7801453,4.8623103,12.761811,4.8623246,12.761843
50,4.5199102,4.9392222,8.3862396,18.960771,8.3862622,18.960813
60,4.4165254,5.1566255,12.335001,24.359646,12.335032,24.359695
70,4.2727195,5.4231448,16.434648,28.78537,16.434686,28.785423
80,4.0878931,5.7293799,20.518586,32.327078,20.518632,32.327134
90,3.8627107,6.067271,24.495114,35.143826,24.495166,35.143883
100,3.598504,6.4303572,28.318532,37.389843,28.31859,37.389901
110,3.2969155,6.8135951,31.969815,39.193082,31.969879,39.19314
120,2.959696,7.2130789,35.444857,40.653551,35.444926,40.65361
130,2.5885931,7.6257801,38.747592,41.847596,38.747666,41.847655
140,2.185292,8.0493371,41.886036,42.833075,41.886115,42.833134
150,1.7513873,8.4818938,44.870044,43.653878,44.870126,43.653937
160,1.2883712,8.9219782,47.710044,44.343472,47.71013,44.343531
170,0.79763196,9.3684122,50.416354,44.927561,50.416444,44.92762
180,0.28045683,9.8202445,52.998821,45.426054,52.998914,45.426113
190,-0.26196239,10.2767,55.466645,45.854507,55.466741,45.854566
200,-0.82852233,10.737142,57.828323,46.225182,57.828423,46.225241
210,-1.4182011,11.201044,60.091643,46.547826,60.091745,46.547886
220,-2.0300511,11.667965,62.263709,46.830256,62.263815,46.830315
230,-2.6631927,12.137536,64.350995,47.078785,64.351103,47.078844
240,-3.3168081,12.609445,66.359388,47.298554,66.359498,47.298614
250,-3.9901354,13.083426,68.294244,47.49378,68.294356,47.493839
260,-4.6824641,13.55925,70.16044,47.667942,70.160555,47.668001
270,-5.3931302,14.036724,71.962422,47.823933,71.96254,47.823992
280,-6.1215121,14.515677,73.704245,47.96417,73.704365,47.964229
290,-6.867027,14.995962,75.389616,48.090685,75.389737,48.090744
298.15,-7.4869125,15.388289,76.723803,48.184847,76.723926,48.184907
300,-7.6291276,15.47745,77.021926,48.205197,77.02205,48.205256
310,-8.407299,15.96003,78.604288,48.309164,78.604414,48.309223
320,-9.2010564,16.443603,80.139559,48.403833,80.139687,48.403893
330,-10.009942,16.92808,81.630369,48.490273,81.630498,48.490333
340,-10.833524,17.413384,83.079139,48.569404,83.07927,48.569464
350,-11.671392,17.899446,84.488109,48.642023,84.488242,48.642082
360,-12.52316,18.386205,85.859347,48.708819,85.859481,48.708879
370,-13.38846,18.873605,87.19477,48.770397,87.194905,48.770456
380,-14.266942,19.361597,88.496156,48.827283,88.496293,48.827342
390,-15.158275,19.850137,89.765158,48.879939,89.765297,48.879998
400,-16.062142,20.339183,91.003314,48.928772,91.003454,48.928832
410,-16.978243,20.8287,92.212058,48.974143,92.2122,48.974202
420,-17.90629,21.318656,93.392727,49.016369,93.392871,49.016428
430,-18.846008,21.809018,94.546573,49.055734,94.546718,49.055793
440,-19.797136,22.299761,95.674767,49.092488,95.674913,49.092547
450,-20.759422,22.79086,96.778404,49.126857,96.778552,49.126917
460,-21.732626,23.282291,97.858515,49.159043,97.858664,49.159102
470,-22.716517,23.774034,98.916066,49.189225,98.916216,49.189285
480,-23.710875,24.26607,99.951968,49.217567,99.952119,49.217626
490,-24.715487,24.75838,100.96708,49.244213,100.96723,49.244272
500,-25.73015,25.250949,101.9622,49.269297,101.96235,49.269356
510,-26.754667,25.743761,102.93809,49.292938,102.93825,49.292997
520,-27.78885,26.236803,103.89549,49.315243,103.89564,49.315303
530,-28.832517,26.730062,104.83505,49.336313,104.83521,49.336372
540,-29.885494,27.223526,105.75744,49.356235,105.7576,49.356294
550,-30.947611,27.717183,106.66326,49.375092,106.66342,49.375151
560,-32.018706,28.211024,107.55309,49.392957,107.55325,49.393017
570,-33.098621,28.705039,108.42747,49.4099,108.42764,49.409959
