temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,7.7370898,7.7370898,0,0,0,0
10,7.7370621,7.7371961,0.013395429,0.047119743,0.013395477,0.0471199
20,7.7364713,7.7391165,0.13226002,0.42646707,0.13226046,0.4264685
30,7.7336211,7.7483172,0.48986995,1.5739735,0.48987158,1.5739787
40,7.7254444,7.7739831,1.2134668,3.7244757,1.2134708,3.7244871
50,7.7079477,7.8257359,2.3557646,6.7471225,2.3557719,6.7471417
60,7.6769989,7.9107356,3.8956114,10.312344,3.8956229,10.312371
70,7.6289294,8.0326042,5.7667832,14.067101,5.7667994,14.067135
80,7.5608336,8.1917946,7.8870128,17.740667,7.887034,17.740707
90,7.4706234,8.3865896,10.177402,21.16875,10.177428,21.168795
100,7.3569417,8.6140863,12.571446,24.273704,12.571477,24.273752
110,7.2190237,8.8709143,15.017188,27.034905,15.017224,27.034956
120,7.0565556,9.1536763,17.476006,29.464178,17.476046,29.464231
130,6.8695531,9.4591831,19.920231,31.589213,19.920276,31.589268
140,6.6582643,9.7845585,22.330673,33.44363,22.330722,33.443686
150,6.4230956,10.127268,24.69448,35.061526,24.694533,35.061583
160,6.1645579,10.485107,27.003433,36.47478,27.00349,36.474837
170,5.8832263,10.856177,29.252648,37.711922,29.252708,37.71198
180,5.5797126,11.238842,31.439608,38.79786,31.439671,38.797918
190,5.2546447,11.631702,33.563457,39.754017,33.563523,39.754075
200,4.908653,12.033551,35.62449,40.598667,35.62456,40.598726
210,4.5423607,12.443355,37.623783,41.347328,37.623855,41.347387
220,4.1563778,12.860222,39.562926,42.013151,39.563001,42.01321
230,3.7512963,13.283379,41.443839,42.60728,41.443917,42.607339
240,3.3276881,13.71216,43.268633,43.139169,43.268713,43.139228
250,2.8861034,14.145982,45.039515,43.61685,45.039598,43.61691
260,2.42707,14.584339,46.758727,44.047167,46.758812,44.047226
270,1.9510936,15.026787,48.428495,44.435961,48.428582,44.43602
280,1.4586577,15.472937,50.050997,44.788238,50.051086,44.788297
290,0.95022421,15.922445,51.628346,45.108298,51.628438,45.108357
298.15,0.52432585,16.291066,52.881905,45.347907,52.881998,45.347967
300,0.42623448,16.375008,53.162577,45.399847,53.162671,45.399906
310,-0.11289011,16.830357,54.655637,45.666088,54.655732,45.666147
320,-0.66674721,17.288254,56.10938,45.909799,56.109477,45.909858
330,-1.2349526,17.748486,57.525572,46.133398,57.525671,46.133457
340,-1.8171391,18.210862,58.905887,46.338993,58.905987,46.339052
350,-2.412956,18.675212,60.251909,46.528429,60.252012,46.528489
360,-3.022068,19.141383,61.56514,46.703327,61.565244,46.703386
370,-3.6441542,19.609235,62.846998,46.865111,62.847104,46.86517
380,-4.2789078,20.078645,64.098824,47.01504,64.098931,47.015099
390,-4.9260348,20.5495,65.321884,47.154227,65.321993,47.154286
400,-5.5852536,21.021697,66.517377,47.28366,66.517488,47.283719
410,-6.2562943,21.495144,67.686434,47.404216,67.686546,47.404275
420,-6.9388978,21.969755,68.830125,47.516679,68.830238,47.516739
430,-7.6328156,22.445453,69.949461,47.621749,69.949576,47.621809
440,-8.337809,22.922167,71.0454,47.720053,71.045516,47.720112
450,-9.0536486,23.399833,72.118848,47.812151,72.118966,47.812211
460,-9.7801139,23.878391,73.170663,47.898552,73.170782,47.898611
470,-10.516992,24.357787,74.201658,47.979709,74.201778,47.979769
480,-11.26408,24.837969,75.212603,48.056036,75.212724,48.056095
490,-12.02118,25.318892,76.20423,48.127904,76.204352,48.127963
500,-12.788103,25.800514,77.177233,48.195651,77.177356,48.19571
510,-13.564665,26.282793,78.13227,48.259583,78.132395,48.259643
520,-14.35069,26.765693,79.069969,48.31998,79.070095,48.320039
530,-15.146008,27.249181,79.990924,48.377094,79.991052,48.377154
540,-15.950455,27.733225,80.895704,48.431159,80.895832,48.431218
550,-16.76387,28.217795,81.784847,48.482385,81.784976,48.482444
560,-17.586101,28.702864,82.658867,48.530967,82.658997,48.531026
570,-18.416999,29.188406,83.518255,48.577082,83.518386,48.577141
580,-19.256419,29.674398,84.363478,48.620893,84.363611,48.620952
590,-20.104223,30.160817,85.194983,48.66255,85.195116,48.66261
600,-20.960275,30.647642,86.013195,48.702192,86.013329,48.702252
610,-21.824444,31.134855,86.818522,48.739946,86.818657,48.740005
620,-22.696603,31.622435,87.611353,48.775928,87.611489,48.775987
630,-23.57663,32.110368,88.39206,48.810248,88.392198,48.810307
640,-24.464405,32.598635,89.161001,48.843005,89.161139,48.843065
650,-25.359812,33.087223,89.918516,48.874294,89.918655,48.874353
660,-26.262739,33.576116,90.664932,48.904199,90.665072,48.904258
670,-27.173075,34.065302,91.400563,48.9328,91.400704,48.93286
680,-28.090715,34.554768,92.125711,48.960173,92.125853,48.960232
690,-29.015555,35.044502,92.840663,48.986386,92.840805,48.986445
700,-29.947495,35.534492,93.545696,49.011503,93.54584,49.011562
710,-30.886437,36.024729,94.241078,49.035585,94.241223,49.035644
720,-31.832285,36.515201,94.927064,49.058687,94.927209,49.058746
730,-32.784948,37.005899,95.6039,49.080861,95.604046,49.08092
740,-33.744334,37.496815,96.271823,49.102157,96.27197,49.102216
750,-34.710355,37.98794,96.93106,49.12262,96.931208,49.122679
760,-35.682927,38.479265,97.581831,49.142292,97.581979,49.142351
770,-36.661964,38.970783,98.224347,49.161214,98.224496,49.161273
780,-37.647387,39.462487,98.858812,49.179424,98.858962,49.179483
790,-38.639114,39.954369,99.485422,49.196955,99.485573,49.197015
800,-39.63707,40.446424,100.10437,49.213843,100.10452,49.213902
810,-40.641177,40.938644,100.71583,49.230117,100.71598,49.230176
820,-41.651362,41.431024,101.31998,49.245807,101.32014,49.245866
830,-42.667553,41.923558,101.917,49.26094,101.91715,49.261
840,-43.689679,42.416241,102.50705,49.275543,102.5072,49.275602
850,-44.717671,42.909067,103.09028,49.28964,103.09044,49.289699
860,-45.751462,43.402032,103.66685,49.303253,103.66701,49.303313
870,-46.790986,43.895131,104.23692,49.316406,104.23707,49.316465
880,-47.836179,44.388359,104.80061,49.329117,104.80077,49.329176
890,-48.886978,44.881712,105.35808,49.341407,105.35824,49.341466
900,-49.943321,45.375186,105.90945,49.353294,105.90961,49.353353
910,-51.005147,45.868776,106.45486,49.364795,106.45502,49.364854
920,-52.072398,46.36248,106.99443,49.375928,106.99459,49.375987
930,-53.145017,46.856294,107.52829,49.386706,107.52845,49.386765
940,-54.222945,47.350213,108.05655,49.397146,108.05671,49.397205
950,-55.306129,47.844236,108.57933,49.407261,108.57949,49.40732
960,-56.394514,48.338358,109.09674,49.417065,109.0969,49.417124
970,-57.488047,48.832576,109.60889,49.426569,109.60905,49.426629
980,-58.586675,49.326888,110.11588,49.435787,110.11604,49.435847
990,-59.690347,49.821291,110.61782,49.44473,110.61798,49.444789
1000,-60.799015,50.315782,111.1148,49.453408,111.11496,49.453467
1010,-61.912627,50.810358,111.60692,49.461831,111.60708,49.46189
1020,-63.031137,51.305018,112.09427,49.47001,112.09444,49.47007
1030,-64.154497,51.799758,112.57695,49.477954,112.57711,49.478014
1040,-65.282661,52.294576,113.05504,49.485672,113.0552,49.485731
1050,-66.415583,52.78947,113.52862,49.493172,113.52879,49.493231
1060,-67.553218,53.284439,113.99779,49.500463,113.99796,49.500522
1070,-68.695524,53.779479,114.46262,49.507551,114.46279,49.50761
1080,-69.842457,54.274589,114.92319,49.514445,114.92336,49.514504
1090,-70.993974,54.769767,115.37958,49.521152,115.37975,49.521211
1100,-72.150034,55.265011,115.83186,49.527678,115.83203,49.527737
1110,-73.310598,55.76032,116.28011,49.534029,116.28028,49.534088
1120,-74.475623,56.255691,116.72439,49.540212,116.72456,49.540271
1130,-75.645072,56.751124,117.16478,49.546233,117.16495,49.546292
1140,-76.818906,57.246616,117.60133,49.552097,117.60151,49.552157
1150,-77.997087,57.742165,118.03413,49.55781,118.0343,49.557869
1160,-79.179576,58.237771,118.46323,49.563377,118.4634,49.563436
1170,-80.366339,58.733432,118.88869,49.568803,118.88887,49.568862
1180,-81.557338,59.229147,119.31058,49.574092,119.31076,49.574151
1190,-82.752539,59.724914,119.72895,49.579249,119.72913,49.579308
1200,-83.951906,60.220731,120.14386,49.584278,120.14404,49.584337
1210,-85.155405,60.716599,120.55537,49.589184,120.55555,49.589244
1220,-86.363002,61.212515,120.96354,49.593971,120.96371,49.59403
1230,-87.574665,61.708478,121.36841,49.598642,121.36859,49.598701
1240,-88.79036,62.204487,121.77004,49.603201,121.77022,49.60326
1250,-90.010055,62.700542,122.16848,49.607652,122.16865,49.607711
1260,-91.233719,63.19664,122.56378,49.611998,122.56395,49.612057
1270,-92.46132,63.692781,122.95599,49.616242,122.95616,49.616301
1280,-93.692828,64.188964,123.34515,49.620387,123.34533,49.620446
1290,-94.928213,64.685189,123.73132,49.624437,123.7315,49.624496
1300,-96.167445,65.181453,124.11454,49.628394,124.11472,49.628454
