temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,6.9612941,6.9612941,0,0,0,0
10,6.9612623,6.9614159,0.015357876,0.054026052,0.01535793,0.054026233
20,6.9605763,6.9636771,0.15503933,0.50982911,0.15503986,0.50983085
30,6.9571696,6.9749493,0.59265677,1.9546008,0.59265877,1.9546074
40,6.9471409,7.0071599,1.500476,4.6938452,1.5004809,4.6938597
50,6.9253865,7.0722038,2.9363453,8.4383107,2.9363544,8.4383343
60,6.886837,7.1774507,4.8435611,12.643882,4.8435753,12.643914
70,6.8273161,7.3250478,7.1104527,16.846017,7.1104723,16.846056
80,6.7438219,7.5134075,9.6198203,20.764346,9.6198456,20.764391
90,6.6344451,7.7389601,12.272389,24.273439,12.272419,24.273487
100,6.4981511,7.9974111,14.9926,27.344573,14.992636,27.344624
110,6.3345495,8.2844615,17.726473,29.999351,17.726514,29.999404
120,6.1437005,8.5961536,20.437109,32.280929,20.437155,32.280985
130,5.9259666,8.9289999,23.100257,34.238395,23.100307,34.238451
140,5.6819051,9.2799997,25.700675,35.919159,25.70073,35.919216
150,5.4121925,9.6466033,28.229405,37.365773,28.229463,37.365831
160,5.1175718,10.026658,30.681787,38.614997,30.681849,38.615055
170,4.7988173,10.418349,33.056072,39.697933,33.056137,39.697991
180,4.4567103,10.820149,35.35244,40.640605,35.352509,40.640663
190,4.0920235,11.230767,37.572332,41.464666,37.572404,41.464725
200,3.7055111,11.649108,39.717982,42.188099,39.718058,42.188158
210,3.2979023,12.074243,41.792099,42.825841,41.792178,42.8259
220,2.8698977,12.50538,43.797649,43.390324,43.79773,43.390383
230,2.4221677,12.94184,45.737707,43.891916,45.73779,43.891975
240,1.9553516,13.383038,47.615361,44.339298,47.615447,44.339357
250,1.4700583,13.82847,49.433646,44.739763,49.433735,44.739822
260,0.96686675,14.277698,51.195504,45.099458,51.195594,45.099518
270,0.44632693,14.730341,52.903754,45.423591,52.903848,45.42365
280,-0.091038629,15.186066,54.561087,45.716584,54.561182,45.716643
290,-0.6447336,15.644581,56.170051,45.982213,56.170148,45.982273
298.15,-1.1077444,16.020155,57.447258,46.180722,57.447357,46.180781
300,-1.2142865,16.10563,57.733054,46.223713,57.733153,46.223772
310,-1.7992491,16.568984,59.252366,46.443862,59.252467,46.443921
320,-2.3991953,17.034444,60.730122,46.645059,60.730225,46.645119
330,-3.0137197,17.501829,62.16833,46.829384,62.168435,46.829443
340,-3.6424363,17.970981,63.568875,46.99864,63.568982,46.9987
350,-4.2849776,18.441757,64.933528,47.154404,64.933636,47.154463
360,-4.9409928,18.914029,66.263949,47.29805,66.264059,47.298109
370,-5.6101477,19.387682,67.561701,47.430788,67.561813,47.430848
380,-6.2921228,19.862612,68.828249,47.553682,68.828363,47.553741
390,-6.9866132,20.338726,70.064972,47.667669,70.065087,47.667729
400,-7.6933272,20.815938,71.273164,47.773581,71.27328,47.773641
410,-8.4119855,21.294173,72.454045,47.872155,72.454163,47.872214
420,-9.1423209,21.773359,73.608762,47.964045,73.608881,47.964104
430,-9.8840771,22.253433,74.738397,48.049838,74.738517,48.049897
440,-10.637009,22.734337,75.843968,48.130056,75.84409,48.130115
450,-11.400879,23.216018,76.926438,48.205167,76.926561,48.205227
460,-12.175463,23.698425,77.986714,48.275593,77.986839,48.275652
470,-12.960543,24.181515,79.025655,48.341712,79.025781,48.341771
480,-13.755908,24.665246,80.044071,48.403866,80.044198,48.403925
490,-14.561358,25.14958,81.042732,48.462362,81.04286,48.462422
500,-15.376699,25.634482,82.022363,48.517481,82.022492,48.517541
510,-16.201744,26.119919,82.983655,48.569476,82.983785,48.569535
520,-17.036313,26.605862,83.92726,48.618577,83.927392,48.618636
530,-17.880233,27.092282,84.853801,48.664993,84.853934,48.665052
540,-18.733335,27.579154,85.763867,48.708916,85.764001,48.708975
550,-19.595457,28.066453,86.658017,48.75052,86.658153,48.750579
560,-20.466444,28.554157,87.536786,48.789964,87.536923,48.790023
570,-21.346143,29.042245,88.400681,48.827395,88.400819,48.827454
580,-22.234409,29.530698,89.250186,48.862946,89.250324,48.863005
590,-23.1311,30.019498,90.08576,48.896741,90.0859,48.8968
600,-24.03608,30.508628,90.907845,48.928893,90.907986,48.928952
610,-24.949214,30.998071,91.71686,48.959506,91.717002,48.959565
