temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,7.417,7.268,3.68486,3.833,2.05007,-0.148137
200,16.0637,15.636,11.7738,11.665,2.73513,0.108758
298.15,20.0905,20,19.0445,18.82,0.452359,0.224524
300,20.14,20.05,19.169,18.943,0.448736,0.225952
400,22.0255,22.142,25.253,25.032,-0.526058,0.220959
500,23.0048,23.33,30.2838,30.11,-1.3937,0.17382
600,23.5687,24.154,34.5323,34.44,-2.42319,0.092264
700,23.9202,24.803,38.1938,38.212,-3.55914,-0.0182345
800,24.1532,25.359,41.4041,41.562,-4.75492,-0.15793
900,24.3152,25.874,44.2588,44.579,-6.0247,-0.320198
1000,24.4322,26.338,46.827,47.329,-7.23607,-0.501968
1100,24.5193,26.778,49.1599,49.86,-8.43475,-0.700052
