supercell_atoms,mesh,min_frequency_THz,S_100,Cv_100,S_298.15,Cv_298.15,S_1000,Cv_1000
8,8,0,4.15969,7.82352,19.7148,20.1132,47.4863,24.4116
8,12,0,4.19543,7.84066,19.7693,20.1304,47.5615,24.4287
8,16,0,4.20571,7.84483,19.7841,20.1345,47.5813,24.4329
8,20,0,4.20976,7.84632,19.7898,20.136,47.5888,24.4344
8,24,0,4.21169,7.84698,19.7924,20.1367,47.5923,24.435
8,32,0,4.21334,7.8475,19.7946,20.1372,47.5951,24.4355
8,40,0,4.21398,7.84768,19.7955,20.1374,47.5962,24.4357
64,8,0,3.65148,7.39579,18.9865,20.0679,46.7417,24.4094
64,12,0,3.68261,7.41293,19.0364,20.0851,46.8122,24.4266
64,16,0,3.69185,7.4171,19.0502,20.0893,46.8311,24.4307
64,20,0,3.69555,7.41859,19.0555,20.0907,46.8382,24.4322
64,24,0,3.69732,7.41925,19.058,20.0914,46.8415,24.4329
64,32,0,3.69884,7.41977,19.0601,20.0919,46.8442,24.4334
64,40,0,3.69943,7.41995,19.0609,20.0921,46.8452,24.4336
216,8,0,3.64152,7.3942,18.9763,20.0677,46.7312,24.4094
216,12,0,3.67205,7.41134,19.0255,20.0848,46.8012,24.4265
216,16,0,3.68119,7.41551,19.0392,20.089,46.8199,24.4307
216,20,0,3.68486,7.417,19.0445,20.0905,46.827,24.4322
216,24,0,3.68662,7.41766,19.047,20.0911,46.8303,24.4328
216,32,0,3.68814,7.41818,19.0491,20.0917,46.833,24.4333
216,40,0,3.68873,7.41836,19.0499,20.0918,46.834,24.4335
512,8,0,3.64103,7.39404,18.9757,20.0676,46.7306,24.4094
512,12,0,3.67151,7.41118,19.0249,20.0848,46.8005,24.4265
512,16,0,3.68064,7.41536,19.0386,20.0889,46.8193,24.4307
512,20,0,3.6843,7.41684,19.0439,20.0904,46.8264,24.4322
512,24,0,3.68606,7.4175,19.0463,20.0911,46.8296,24.4328
512,32,0,3.68757,7.41802,19.0484,20.0916,46.8323,24.4333
512,40,0,3.68816,7.41821,19.0492,20.0918,46.8334,24.4335
