temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,7.33538,7.268,3.68877,3.833,0.927015,-0.144227
200,15.8818,15.636,11.6712,11.665,1.57233,0.00619429
298.15,19.9581,20,18.878,18.82,-0.209459,0.0579711
300,20.0086,20.05,19.0016,18.943,-0.206625,0.0585834
400,21.9369,22.142,25.0541,25.032,-0.926215,0.0220929
500,22.943,23.33,30.0683,30.11,-1.65864,-0.0416995
600,23.5237,24.154,34.3071,34.44,-2.60954,-0.132926
700,23.8862,24.803,37.9625,38.212,-3.69636,-0.249482
800,24.1266,25.359,41.1688,41.562,-4.85962,-0.393203
900,24.2939,25.874,44.0207,44.579,-6.10684,-0.558276
1000,24.4148,26.338,46.5869,47.329,-7.30204,-0.742074
1100,24.5049,26.778,48.9183,49.86,-8.48874,-0.941671
