temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.879138,5.879138,0,0,0,0
10,5.8791346,5.879153,0.0018416988,0.0074010265,0.0018417059,0.007401053
20,5.8790355,5.8795135,0.02390099,0.087480008,0.023901076,0.087480335
30,5.8784459,5.8817469,0.11003281,0.41827491,0.11003322,0.41827644
40,5.8764262,5.8891048,0.31696446,1.107366,0.31696558,1.1073695
50,5.8716451,5.9047017,0.66113198,2.0388127,0.66113412,2.0388184
60,5.8628095,5.93021,1.1233428,3.0716902,1.1233461,3.071698
70,5.8488759,5.9662285,1.6764657,4.1340889,1.6764705,4.1340988
80,5.829052,6.0129121,2.2982504,5.2030333,2.2982566,5.2030452
90,5.8027354,6.0702896,2.9728253,6.2721025,2.972833,6.2721163
100,5.7694579,6.1383352,3.6887731,7.3353754,3.6887824,7.3353912
110,5.7288517,6.2169479,4.4372388,8.3838243,4.4372497,8.3838418
120,5.6806295,6.3059264,5.210807,9.4066994,5.2108195,9.4067187
130,5.6245736,6.4049621,6.0029887,10.393691,6.0030027,10.393711
140,5.5605269,6.5136522,6.8080379,11.336386,6.8080535,11.336408
150,5.4883868,6.6315221,7.620902,12.22886,7.6209192,12.228883
160,5.4080975,6.7580503,8.4372049,13.067659,8.4372236,13.067683
170,5.3196437,6.8926918,9.2532236,13.851453,9.2532439,13.851478
180,5.2230444,7.034897,10.065848,14.580579,10.065869,14.580605
190,5.1183467,7.1841262,10.872524,15.256588,10.872547,15.256614
200,5.0056207,7.3398595,11.671194,15.88185,11.671219,15.881876
210,4.8849549,7.5016036,12.460232,16.459236,12.460257,16.459263
220,4.7564524,7.6688951,13.238376,16.991883,13.238403,16.991911
230,4.6202269,7.8413029,14.004678,17.483016,14.004706,17.483044
240,4.4764006,8.0184277,14.758446,17.935832,14.758476,17.93586
250,4.3251014,8.1999021,15.499203,18.353416,15.499233,18.353445
260,4.166461,8.3853884,16.226644,18.738696,16.226676,18.738724
270,4.0006135,8.5745775,16.940607,19.09441,16.94064,19.094439
280,3.8276939,8.7671865,17.641045,19.4231,17.641079,19.423129
290,3.6478375,8.9629572,18.327999,19.727106,18.328034,19.727135
298.15,3.4962172,9.1246843,18.877971,19.958108,18.878007,19.958137
300,3.4611785,9.1616535,19.001583,20.008572,19.001619,20.008601
310,3.2678498,9.3630601,19.661968,20.269453,19.662005,20.269482
320,3.0679824,9.5669799,20.309367,20.511529,20.309405,20.511558
330,2.861705,9.7732334,20.944025,20.736419,20.944064,20.736449
340,2.6491435,9.9816559,21.566213,20.94559,21.566253,20.945619
350,2.4304213,10.192097,22.176217,21.140372,22.176257,21.140401
360,2.2056588,10.404419,22.774335,21.321971,22.774376,21.322
370,1.9749732,10.618496,23.360873,21.49148,23.360915,21.491509
380,1.7384789,10.834212,23.93614,21.649889,23.936183,21.649918
390,1.496287,11.05146,24.500444,21.798096,24.500488,21.798126
400,1.2485055,11.270143,25.054093,21.936918,25.054137,21.936947
410,0.99523961,11.49017,25.59739,22.067093,25.597435,22.067122
420,0.73659123,11.711458,26.130635,22.189295,26.130681,22.189324
430,0.47265944,11.933931,26.65412,22.304135,26.654166,22.304164
440,0.20354041,12.157518,27.168131,22.41217,27.168178,22.4122
450,-0.070672531,12.382153,27.672947,22.513909,27.672994,22.513939
460,-0.34988878,12.607777,28.168838,22.609815,28.168887,22.609844
470,-0.63402042,12.834332,28.656068,22.70031,28.656117,22.700339
480,-0.92298213,13.061766,29.134892,22.785781,29.134942,22.785811
490,-1.2166911,13.290032,29.605557,22.866583,29.605607,22.866613
500,-1.5150669,13.519083,30.0683,22.94304,30.068351,22.94307
510,-1.8180314,13.748879,30.523354,23.01545,30.523406,23.01548
520,-2.125509,13.97938,30.97094,23.084086,30.970992,23.084115
530,-2.4374261,14.210549,31.411274,23.149199,31.411327,23.149229
540,-2.753711,14.442353,31.844563,23.211021,31.844616,23.211051
550,-3.0742945,14.674759,32.271007,23.269765,32.271061,23.269795
560,-3.399109,14.907739,32.690799,23.325628,32.690853,23.325657
570,-3.7280889,15.141263,33.104126,23.37879,33.104181,23.37882
580,-4.0611706,15.375306,33.511166,23.42942,33.511222,23.42945
590,-4.3982919,15.609843,33.912093,23.477673,33.912149,23.477703
600,-4.7393926,15.844852,34.307074,23.523693,34.307131,23.523723
610,-5.0844141,16.08031,34.696269,23.567613,34.696326,23.567642
620,-5.4332992,16.316198,35.079834,23.609556,35.079891,23.609586
630,-5.7859925,16.552495,35.457917,23.649638,35.457975,23.649667
640,-6.1424398,16.789184,35.830663,23.687965,35.830721,23.687994
650,-6.5025884,17.026249,36.198211,23.724636,36.19827,23.724666
660,-6.8663871,17.263672,36.560696,23.759745,36.560755,23.759774
670,-7.2337859,17.501439,36.918246,23.793377,36.918305,23.793407
680,-7.604736,17.739535,37.270987,23.825613,37.271047,23.825643
690,-7.97919,17.977947,37.619039,23.856528,37.619099,23.856558
700,-8.3571015,18.216661,37.962518,23.886192,37.962579,23.886222
710,-8.7384255,18.455667,38.301538,23.914672,38.301599,23.914701
720,-9.1231178,18.694951,38.636207,23.942028,38.636268,23.942057
730,-9.5111355,18.934504,38.966629,23.968318,38.966691,23.968347
740,-9.9024366,19.174314,39.292906,23.993596,39.292969,23.993625
750,-10.29698,19.414372,39.615136,24.017913,39.615199,24.017942
760,-10.694726,19.654669,39.933415,24.041316,39.933478,24.041345
770,-11.095636,19.895196,40.247833,24.06385,40.247896,24.06388
780,-11.49967,20.135943,40.558479,24.085558,40.558543,24.085587
790,-11.906793,20.376904,40.865439,24.106478,40.865504,24.106507
800,-12.316967,20.61807,41.168797,24.126648,41.168862,24.126677
810,-12.730157,20.859435,41.468632,24.146103,41.468697,24.146132
820,-13.146328,21.10099,41.765022,24.164876,41.765088,24.164906
830,-13.565446,21.34273,42.058044,24.182998,42.05811,24.183028
840,-13.987478,21.584648,42.347769,24.2005,42.347836,24.200529
850,-14.412391,21.826738,42.634269,24.217407,42.634336,24.217437
860,-14.840153,22.068994,42.917613,24.233748,42.91768,24.233778
870,-15.270733,22.311411,43.197867,24.249546,43.197934,24.249576
880,-15.7041,22.553984,43.475095,24.264826,43.475163,24.264856
890,-16.140225,22.796706,43.749361,24.279609,43.749429,24.279639
900,-16.579078,23.039574,44.020724,24.293917,44.020793,24.293947
910,-17.02063,23.282583,44.289245,24.30777,44.289314,24.307799
920,-17.464853,23.525728,44.55498,24.321186,44.555049,24.321215
930,-17.91172,23.769005,44.817985,24.334184,44.818054,24.334213
940,-18.361204,24.01241,45.078313,24.34678,45.078383,24.34681
950,-18.813278,24.25594,45.336018,24.358992,45.336088,24.359021
960,-19.267916,24.499589,45.591151,24.370834,45.591221,24.370863
970,-19.725092,24.743355,45.84376,24.382321,45.843831,24.38235
980,-20.184783,24.987234,46.093895,24.393467,46.093966,24.393496
990,-20.646962,25.231223,46.341602,24.404285,46.341673,24.404315
1000,-21.111607,25.475319,46.586926,24.414788,46.586997,24.414818
1010,-21.578693,25.719518,46.829912,24.424988,46.829984,24.425018
