temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.7943613,5.7943613,0,0,0,0
10,5.794358,5.7943761,0.0018170896,0.0073404901,0.0018170966,0.0073405164
20,5.7942598,5.7947328,0.023652255,0.086172934,0.023652341,0.086173254
30,5.7936795,5.7969194,0.10799443,0.4089227,0.10799483,0.4089242
40,5.7916998,5.804127,0.31068145,1.0871198,0.31068254,1.0871233
50,5.7870074,5.8194926,0.64970438,2.0144491,0.6497065,2.0144548
60,5.7783077,5.8447819,1.107903,3.0541263,1.1079064,3.0541342
70,5.7645386,5.8807031,1.6594924,4.133737,1.6594971,4.133747
80,5.7448796,5.927502,2.2827802,5.2273912,2.2827864,5.2274033
90,5.7186975,5.9852639,2.9618488,6.3249287,2.9618566,6.3249428
100,5.6854964,6.0539826,3.6848627,7.4169992,3.684872,7.4170153
110,5.6448854,6.1335472,4.4423803,8.4920486,4.4423913,8.4920664
120,5.5965606,6.2237259,5.2263771,9.5378197,5.2263897,9.5378392
130,5.5402931,6.3241692,6.0298159,10.543353,6.0298301,10.543374
140,5.4759202,6.4344303,6.8465004,11.500193,6.8465162,11.500216
150,5.4033371,6.5539918,7.6710316,12.402741,7.671049,12.402764
160,5.3224889,6.6822941,8.498782,13.248048,8.4988009,13.248073
170,5.2333638,6.8187593,9.3258559,14.035358,9.3258764,14.035383
180,5.1359849,6.9628108,10.149033,14.765566,10.149054,14.765592
190,5.0304049,7.113887,10.965696,15.440732,10.965719,15.440759
200,4.9166997,7.2714512,11.773758,16.063665,11.773782,16.063692
210,4.7949639,7.434997,12.571586,16.637607,12.571612,16.637634
220,4.6653063,7.6040515,13.357933,17.165996,13.35796,17.166024
230,4.5278466,7.7781767,14.13187,17.652303,14.131898,17.652331
240,4.3827125,7.9569686,14.892734,18.099917,14.892764,18.099946
250,4.230037,8.1400568,15.640079,18.512076,15.64011,18.512104
260,4.0699569,8.3271021,16.373636,18.891822,16.373668,18.891851
270,3.9026107,8.5177947,17.093274,19.241985,17.093307,19.242014
280,3.7281378,8.7118519,17.798979,19.565174,17.799013,19.565203
290,3.5466773,8.9090162,18.490824,19.863776,18.490859,19.863805
298.15,3.3937146,9.0718395,19.044524,20.090472,19.04456,20.090501
300,3.3583671,9.1090528,19.168952,20.139972,19.168989,20.140001
310,3.1633434,9.3117476,19.833562,20.395741,19.833599,20.395771
320,2.9617401,9.5169056,20.484892,20.632882,20.48493,20.632911
330,2.7536889,9.7243486,21.123211,20.853021,21.12325,20.853051
340,2.5393183,9.9339142,21.748812,21.057632,21.748851,21.057661
350,2.318754,10.145454,22.362,21.248045,22.36204,21.248075
360,2.0921186,10.358832,22.963092,21.425466,22.963134,21.425496
370,1.8595314,10.573924,23.552411,21.590984,23.552454,21.591013
380,1.6211086,10.790615,24.13028,21.745585,24.130324,21.745614
390,1.3769629,11.008802,24.697023,21.89016,24.697067,21.89019
400,1.1272041,11.228388,25.252959,22.02552,25.253003,22.02555
410,0.87193871,11.449284,25.798403,22.152397,25.798449,22.152427
420,0.61127001,11.67141,26.333666,22.271456,26.333712,22.271486
430,0.34529833,11.894689,26.859048,22.383303,26.859095,22.383333
440,0.074120989,12.119053,27.374846,22.488487,27.374894,22.488517
450,-0.20216761,12.344438,27.881346,22.58751,27.881395,22.587539
460,-0.48347588,12.570785,28.378827,22.680826,28.378876,22.680856
470,-0.76971498,12.798037,28.867558,22.768854,28.867607,22.768884
480,-1.0607987,13.026145,29.3478,22.851973,29.34785,22.852003
490,-1.3566435,13.255061,29.819806,22.930532,29.819857,22.930562
500,-1.6571682,13.484742,30.28382,23.004849,30.283871,23.004879
510,-1.9622941,13.715145,30.740077,23.075217,30.740129,23.075246
520,-2.2719447,13.946234,31.188805,23.141903,31.188857,23.141932
530,-2.5860458,14.177972,31.630222,23.205154,31.630275,23.205183
540,-2.9045254,14.410326,32.06454,23.265196,32.064594,23.265226
550,-3.2273136,14.643266,32.491963,23.32224,32.492017,23.322269
560,-3.5543424,14.876762,32.912686,23.376475,32.91274,23.376505
570,-3.8855456,15.110787,33.326899,23.428081,33.326954,23.428111
580,-4.2208592,15.345315,33.734783,23.477222,33.734839,23.477252
590,-4.5602208,15.580323,34.136515,23.524049,34.136572,23.524078
600,-4.9035696,15.815789,34.532264,23.568702,34.532321,23.568731
610,-5.2508467,16.051691,34.922192,23.611312,34.922249,23.611341
620,-5.6019946,16.288009,35.306457,23.651999,35.306514,23.652029
630,-5.9569574,16.524724,35.685209,23.690876,35.685268,23.690905
640,-6.3156809,16.76182,36.058596,23.728046,36.058654,23.728076
650,-6.6781119,16.99928,36.426757,23.763608,36.426816,23.763637
660,-7.0441991,17.237088,36.789828,23.79765,36.789888,23.797679
670,-7.413892,17.475228,37.147941,23.830257,37.148001,23.830287
680,-7.7871418,17.713688,37.50122,23.861508,37.501281,23.861537
690,-8.1639007,17.952454,37.84979,23.891475,37.84985,23.891505
700,-8.5441222,18.191514,38.193766,23.920228,38.193827,23.920257
710,-8.9277611,18.430855,38.533262,23.947829,38.533324,23.947859
720,-9.3147729,18.670467,38.868388,23.97434,38.86845,23.974369
730,-9.7051146,18.910338,39.19925,23.999815,39.199313,23.999845
740,-10.098744,19.15046,39.525951,24.024309,39.526014,24.024338
750,-10.49562,19.390821,39.848588,24.047869,39.848652,24.047899
760,-10.895703,19.631414,40.167259,24.070542,40.167322,24.070572
770,-11.298952,19.872229,40.482054,24.092373,40.482118,24.092402
780,-11.705331,20.113259,40.793064,24.113401,40.793128,24.11343
790,-12.114801,20.354495,41.100375,24.133664,41.10044,24.133694
800,-12.527326,20.59593,41.40407,24.153201,41.404135,24.15323
810,-12.942871,20.837556,41.704231,24.172043,41.704297,24.172073
820,-13.3614,21.079368,42.000937,24.190225,42.001002,24.190254
830,-13.782878,21.321359,42.294262,24.207775,42.294328,24.207804
840,-14.207274,21.563522,42.584281,24.224722,42.584347,24.224752
850,-14.634553,21.805851,42.871064,24.241094,42.871131,24.241124
860,-15.064685,22.048342,43.154682,24.256916,43.154749,24.256946
870,-15.497637,22.290988,43.435201,24.272213,43.435268,24.272243
880,-15.933378,22.533784,43.712685,24.287006,43.712753,24.287036
890,-16.37188,22.776726,43.987199,24.301319,43.987267,24.301348
900,-16.813113,23.019809,44.258802,24.31517,44.258871,24.3152
910,-17.257047,23.263028,44.527555,24.32858,44.527624,24.32861
920,-17.703655,23.506379,44.793515,24.341568,44.793585,24.341597
930,-18.152908,23.749858,45.056738,24.354149,45.056808,24.354179
940,-18.60478,23.993461,45.317278,24.366342,45.317348,24.366372
950,-19.059245,24.237184,45.575188,24.378162,45.575259,24.378192
960,-19.516276,24.481023,45.83052,24.389624,45.83059,24.389654
970,-19.975847,24.724975,46.083322,24.400742,46.083393,24.400771
980,-20.437934,24.969037,46.333644,24.411529,46.333715,24.411559
990,-20.902512,25.213205,46.581532,24.421999,46.581603,24.422029
1000,-21.369556,25.457476,46.827032,24.432164,46.827104,24.432193
1010,-21.839044,25.701847,47.07019,24.442035,47.070262,24.442065
1020,-22.310952,25.946316,47.311047,24.451624,47.31112,24.451653
1030,-22.785258,26.190879,47.549647,24.460941,47.54972,24.46097
1040,-23.261938,26.435534,47.78603,24.469996,47.786103,24.470026
1050,-23.740971,26.680278,48.020237,24.478799,48.02031,24.478829
1060,-24.222336,26.925109,48.252306,24.48736,48.25238,24.487389
1070,-24.70601,27.170024,48.482275,24.495686,48.482349,24.495716
1080,-25.191974,27.415022,48.710182,24.503787,48.710256,24.503816
1090,-25.680207,27.660099,48.936061,24.51167,48.936135,24.5117
1100,-26.170689,27.905254,49.159948,24.519343,49.160023,24.519373
1110,-26.6634,28.150485,49.381878,24.526814,49.381953,24.526844
1120,-27.15832,28.39579,49.601884,24.53409,49.601959,24.534119
1130,-27.655431,28.641167,49.819998,24.541176,49.820073,24.541206
1140,-28.154714,28.886613,50.036252,24.54808,50.036327,24.54811
1150,-28.65615,29.132128,50.250676,24.554808,50.250752,24.554838
1160,-29.159721,29.377709,50.463302,24.561366,50.463378,24.561396
1170,-29.66541,29.623354,50.674158,24.56776,50.674234,24.567789
1180,-30.173199,29.869063,50.883273,24.573994,50.88335,24.574023
1190,-30.68307,30.114834,51.090675,24.580074,51.090752,24.580104
1200,-31.195007,30.360664,51.296392,24.586005,51.29647,24.586035
1210,-31.708992,30.606553,51.500451,24.591792,51.500528,24.591822
1220,-32.22501,30.8525,51.702877,24.59744,51.702955,24.59747
1230,-32.743044,31.098502,51.903696,24.602953,51.903774,24.602982
1240,-33.263079,31.344558,52.102933,24.608335,52.103011,24.608364
1250,-33.785098,31.590668,52.300613,24.61359,52.300691,24.613619
1260,-34.309086,31.83683,52.496758,24.618722,52.496837,24.618752
1270,-34.835028,32.083042,52.691394,24.623736,52.691473,24.623765
1280,-35.362909,32.329304,52.884541,24.628634,52.88462,24.628663
1290,-35.892714,32.575614,53.076223,24.63342,53.076303,24.633449
1300,-36.424428,32.821972,53.266462,24.638097,53.266541,24.638127
1310,-36.958038,33.068376,53.455278,24.64267,53.455358,24.642699
1320,-37.493529,33.314825,53.642693,24.64714,53.642773,24.647169
1330,-38.030888,33.561318,53.828726,24.651511,53.828807,24.65154
1340,-38.570099,33.807855,54.013399,24.655786,54.013479,24.655815
1350,-39.111151,34.054434,54.19673,24.659967,54.19681,24.659997
1360,-39.65403,34.301054,54.378738,24.664058,54.378819,24.664088
1370,-40.198721,34.547715,54.559442,24.668061,54.559524,24.66809
1380,-40.745214,34.794415,54.738862,24.671977,54.738943,24.672007
1390,-41.293495,35.041154,54.917013,24.675811,54.917095,24.675841
1400,-41.84355,35.287931,55.093915,24.679564,55.093997,24.679594
1410,-42.395369,35.534745,55.269584,24.683238,55.269666,24.683268
1420,-42.948938,35.781595,55.444037,24.686836,55.44412,24.686866
1430,-43.504245,36.028481,55.617292,24.69036,55.617374,24.690389
1440,-44.06128,36.275402,55.789363,24.693811,55.789445,24.69384
1450,-44.620029,36.522357,55.960266,24.697191,55.960349,24.697221
1460,-45.180481,36.769346,56.130019,24.700504,56.130102,24.700533
1470,-45.742625,37.016367,56.298634,24.703749,56.298718,24.703779
1480,-46.30645,37.263421,56.466129,24.70693,56.466212,24.70696
1490,-46.871944,37.510506,56.632517,24.710048,56.6326,24.710077
1500,-47.439097,37.757621,56.797812,24.713104,56.797896,24.713133
1510,-48.007897,38.004768,56.962029,24.7161,56.962113,24.71613
1520,-48.578334,38.251943,57.125182,24.719038,57.125267,24.719068
1530,-49.150397,38.499148,57.287284,24.721919,57.287369,24.721949
1540,-49.724076,38.746381,57.448349,24.724745,57.448434,24.724774
1550,-50.299361,38.993643,57.608389,24.727516,57.608474,24.727546
1560,-50.876241,39.240932,57.767418,24.730235,57.767503,24.730265
1570,-51.454706,39.488247,57.925448,24.732903,57.925533,24.732933
1580,-52.034746,39.73559,58.082491,24.735521,58.082576,24.735551
1590,-52.616352,39.982958,58.23856,24.73809,58.238645,24.73812
1600,-53.199514,40.230351,58.393666,24.740611,58.393752,24.740641
1610,-53.784222,40.47777,58.547821,24.743086,58.547907,24.743116
1620,-54.370467,40.725213,58.701037,24.745516,58.701123,24.745546
1630,-54.95824,40.97268,58.853325,24.747902,58.853411,24.747931
1640,-55.547531,41.220171,59.004696,24.750244,59.004783,24.750274
1650,-56.138331,41.467685,59.155161,24.752544,59.155248,24.752574
1660,-56.730631,41.715221,59.30473,24.754803,59.304817,24.754833
1670,-57.324423,41.962781,59.453415,24.757023,59.453502,24.757052
1680,-57.919697,42.210362,59.601225,24.759202,59.601312,24.759232
1690,-58.516444,42.457964,59.748171,24.761344,59.748258,24.761374
1700,-59.114657,42.705588,59.894262,24.763448,59.89435,24.763478
