temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,4.70494,4.263,1.55526,1.46,10.3669,0.0952574
200,17.3009,16.301,8.63806,8.033,6.13408,0.60506
298.15,27.7939,26.84,17.6193,16.61,3.55418,1.00931
300,27.9564,27.008,17.7917,16.777,3.51137,1.01474
400,34.9602,34.1,26.8719,25.598,2.52269,1.27385
500,39.3315,38.639,35.1803,33.727,1.79217,1.45332
600,42.1201,41.79,42.616,41.066,0.789799,1.54996
700,43.9697,44.108,49.2569,47.69,-0.31353,1.56693
800,45.2456,45.878,55.2166,53.7,-1.37846,1.51655
900,46.1571,47.283,60.6012,59.188,-2.38121,1.4132
1000,46.8283,48.421,65.5008,64.231,-3.28922,1.26979
1100,47.3356,49.363,69.9889,68.891,-4.10703,1.09788
1200,47.7277,50.158,74.1251,73.221,-4.84519,0.904133
1300,48.0367,50.84,77.9581,77.263,-5.51397,0.695063
1400,48.2842,51.43,81.5274,81.053,-6.11657,0.474351
1500,48.4855,51.944,84.8657,84.619,-6.65809,0.246715
