temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,4.63125,4.263,1.5276,1.46,8.63837,0.0675954
200,17.0118,16.301,8.49427,8.033,4.36017,0.46127
298.15,27.4294,26.84,17.3399,16.61,2.19588,0.729882
300,27.5919,27.008,17.5101,16.777,2.16197,0.733056
400,34.6388,34.1,26.4899,25.598,1.57995,0.891941
500,39.0731,38.639,34.7335,33.727,1.1234,1.0065
600,41.9157,41.79,42.127,41.066,0.300895,1.06099
700,43.807,44.108,48.7397,47.69,-0.682352,1.04975
800,45.1142,45.878,54.6798,53.7,-1.66475,0.97979
900,46.0494,47.283,60.0504,59.188,-2.60894,0.862397
1000,46.7388,48.421,64.9396,64.231,-3.4742,0.708624
1100,47.2601,49.363,69.4199,68.891,-4.25998,0.528861
1200,47.6633,50.158,73.55,73.221,-4.9736,0.329039
1300,47.9812,50.84,77.3782,77.263,-5.6232,0.115177
1400,48.2359,51.43,80.9436,81.053,-6.21056,-0.109378
1500,48.4431,51.944,84.2789,84.619,-6.73977,-0.340141
