temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,20.847602,20.847602,0,0,0,0
10,20.847602,20.847603,0.00010788933,0.00072994881,0.00010788995,0.00072995252
20,20.847588,20.847667,0.0039514727,0.016372787,0.0039514883,0.016372847
30,20.847486,20.84806,0.019139903,0.071619351,0.019139974,0.071619612
40,20.847133,20.849381,0.056181096,0.21200825,0.056181305,0.21200904
50,20.846235,20.852803,0.13134837,0.50245275,0.13134886,0.50245463
60,20.844318,20.86009,0.26286154,0.98938616,0.26286251,0.9893897
70,20.840743,20.873266,0.46461226,1.6778622,0.46461393,1.6778679
80,20.834769,20.894229,0.74325707,2.5406448,0.74325965,2.5406528
90,20.825621,20.924527,1.0989548,3.5378356,1.0989584,3.5378461
100,20.812546,20.965306,1.5275954,4.6312539,1.5276003,4.631267
110,20.794846,21.017371,2.0229488,5.790672,2.022955,5.7906875
120,20.771888,21.081266,2.5781553,6.9944738,2.578163,6.9944918
130,20.743106,21.157358,3.186555,8.2278069,3.1865642,8.2278275
140,20.708,21.245886,3.8420439,9.480236,3.8420548,9.480259
150,20.666126,21.347,4.5391566,10.743824,4.5391691,10.74385
160,20.617094,21.460777,5.2730191,12.011885,5.2730333,12.011913
170,20.560558,21.587232,6.0392587,13.278318,6.0392748,13.278348
180,20.496214,21.726319,6.8339143,14.537354,6.8339321,14.537386
190,20.423797,21.877936,7.6533633,15.783526,7.653383,15.78356
200,20.343076,22.04193,8.4942699,17.011751,8.4942913,17.011787
210,20.253851,22.218096,9.3535498,18.217432,9.3535731,18.21747
220,20.155953,22.40619,10.228349,19.396542,10.228374,19.396583
230,20.049241,22.605927,11.116027,20.545684,11.116054,20.545725
240,19.933598,22.816994,12.014152,21.662096,12.014181,21.66214
250,19.80893,23.039053,12.920489,22.743649,12.92052,22.743694
260,19.675167,23.271746,13.832994,23.788798,13.833026,23.788844
270,19.532256,23.514704,14.749806,24.796536,14.74984,24.796583
280,19.380162,23.76755,15.669241,25.766327,15.669277,25.766375
290,19.218868,24.029903,16.589778,26.698044,16.589816,26.698093
298.15,19.080604,24.25049,17.339882,27.429375,17.339921,27.429425
300,19.048368,24.301385,17.510056,27.591905,17.510095,27.591955
310,18.868671,24.581617,18.428856,28.448411,18.428897,28.448462
320,18.679799,24.870231,19.345098,29.268294,19.345141,29.268346
330,18.481781,25.166864,20.257826,30.052464,20.25787,30.052516
340,18.274657,25.471164,21.166198,30.801967,21.166243,30.802021
350,18.058474,25.782791,22.069478,31.517953,22.069525,31.518007
360,17.833287,26.101416,22.967025,32.201637,22.967074,32.201691
370,17.599155,26.426721,23.858286,32.854278,23.858337,32.854332
380,17.356144,26.758402,24.742786,33.477157,24.742837,33.477213
390,17.104323,27.096169,25.620118,34.071561,25.620171,34.071616
400,16.843766,27.439743,26.489941,34.638764,26.489996,34.63882
410,16.57455,27.788858,27.35197,35.180022,27.352026,35.180078
420,16.296754,28.143261,28.205969,35.696561,28.206027,35.696618
430,16.010458,28.50271,29.05175,36.189573,29.051808,36.18963
440,15.715746,28.866978,29.889162,36.660209,29.889221,36.660266
450,15.412703,29.235844,30.71809,37.109579,30.718152,37.109637
460,15.101413,29.609102,31.538453,37.538747,31.538516,37.538804
470,14.781963,29.986555,32.350196,37.948731,32.350259,37.948788
480,14.454438,30.368016,33.153287,38.340503,33.153352,38.34056
490,14.118926,30.753307,33.947717,38.714989,33.947783,38.715047
500,13.775513,31.142261,34.733496,39.073071,34.733564,39.073129
510,13.424285,31.534717,35.510651,39.415585,35.510719,39.415643
520,13.065328,31.930523,36.279221,39.743326,36.279291,39.743384
530,12.698729,32.329537,37.03926,40.057045,37.039331,40.057103
540,12.324571,32.73162,37.790831,40.357455,37.790902,40.357513
550,11.94294,33.136644,38.534006,40.645231,38.534079,40.645289
560,11.553919,33.544484,39.268867,40.92101,39.268941,40.921069
570,11.15759,33.955026,39.995501,41.185396,39.995576,41.185455
580,10.754036,34.368156,40.714001,41.43896,40.714077,41.439018
590,10.343337,34.783771,41.424464,41.682239,41.424541,41.682298
600,9.9255732,35.201769,42.126992,41.915744,42.12707,41.915803
610,9.5008233,35.622055,42.821691,42.139956,42.82177,42.140014
620,9.0691651,36.044538,43.508666,42.355328,43.508746,42.355387
630,8.6306753,36.469133,44.188028,42.562292,44.188109,42.562351
640,8.1854295,36.895757,44.859887,42.761252,44.859969,42.761311
650,7.7335022,37.324333,45.524355,42.952593,45.524437,42.952652
660,7.2749667,37.754785,46.181543,43.136677,46.181626,43.136736
670,6.8098952,38.187043,46.831564,43.313847,46.831649,43.313906
680,6.3383589,38.62104,47.474531,43.484427,47.474616,43.484486
690,5.8604278,39.056711,48.110555,43.648724,48.110641,43.648783
700,5.3761706,39.493994,48.739748,43.807028,48.739835,43.807087
710,4.8856552,39.932832,49.362221,43.959614,49.362309,43.959673
720,4.3889482,40.373169,49.978084,44.106742,49.978173,44.106801
730,3.8861152,40.81495,50.587445,44.248657,50.587534,44.248716
740,3.3772206,41.258125,51.190411,44.385593,51.190502,44.385652
750,2.8623279,41.702646,51.78709,44.51777,51.787182,44.51783
760,2.3414994,42.148465,52.377587,44.645399,52.377679,44.645458
770,1.8147965,42.595539,52.962004,44.768677,52.962096,44.768736
780,1.2822793,43.043825,53.540443,44.887793,53.540537,44.887852
790,0.74400718,43.493282,54.113006,45.002925,54.1131,45.002985
800,0.20003843,43.943871,54.67979,45.114244,54.679885,45.114303
810,-0.34956969,44.395555,55.240894,45.221909,55.24099,45.221969
820,-0.90476084,44.848297,55.796412,45.326074,55.796509,45.326134
830,-1.4654796,45.302065,56.346439,45.426885,56.346536,45.426944
840,-2.0316716,45.756824,56.891067,45.524479,56.891164,45.524538
850,-2.6032833,46.212544,57.430385,45.618987,57.430484,45.619047
860,-3.1802619,46.669194,57.964484,45.710535,57.964583,45.710594
870,-3.7625558,47.126745,58.49345,45.799242,58.49355,45.799301
880,-4.3501141,47.58517,59.017368,45.885219,59.017469,45.885279
890,-4.9428867,48.044441,59.536323,45.968577,59.536425,45.968636
900,-5.5408243,48.504533,60.050397,46.049416,60.050499,46.049475
910,-6.1438786,48.965421,60.55967,46.127835,60.559773,46.127894
920,-6.752002,49.427082,61.064222,46.203927,61.064325,46.203987
930,-7.3651475,49.889492,61.564129,46.277781,61.564233,46.277841
940,-7.9832693,50.35263,62.059468,46.349482,62.059572,46.349541
950,-8.6063219,50.816475,62.550313,46.419111,62.550418,46.41917
960,-9.2342608,51.281006,63.036736,46.486744,63.036842,46.486804
970,-9.8670422,51.746204,63.51881,46.552457,63.518916,46.552516
980,-10.504623,52.212049,63.996604,46.616319,63.996711,46.616378
990,-11.14696,52.678524,64.470186,46.678397,64.470294,46.678457
1000,-11.794013,53.145611,64.939624,46.738757,64.939732,46.738817
1010,-12.445739,53.613294,65.404983,46.79746,65.405092,46.797519
1020,-13.102099,54.081555,65.866327,46.854564,65.866437,46.854623
1030,-13.763052,54.55038,66.323721,46.910126,66.323831,46.910186
1040,-14.42856,55.019753,66.777224,46.9642,66.777335,46.96426
1050,-15.098584,55.489659,67.226898,47.016838,67.227009,47.016898
1060,-15.773086,55.960085,67.672802,47.068089,67.672914,47.068149
1070,-16.452028,56.431016,68.114995,47.118001,68.115107,47.118061
1080,-17.135373,56.902441,68.553531,47.166619,68.553644,47.166678
1090,-17.823086,57.374345,68.988469,47.213986,68.988582,47.214046
1100,-18.515131,57.846716,69.419861,47.260145,69.419975,47.260205
1110,-19.211472,58.319544,69.847762,47.305136,69.847876,47.305195
1120,-19.912075,58.792815,70.272223,47.348996,70.272338,47.349056
1130,-20.616905,59.26652,70.693297,47.391764,70.693412,47.391823
1140,-21.32593,59.740647,71.111032,47.433473,71.111148,47.433533
1150,-22.039115,60.215186,71.525479,47.47416,71.525595,47.474219
1160,-22.756428,60.690127,71.936686,47.513855,71.936803,47.513914
1170,-23.477838,61.16546,72.344699,47.552591,72.344816,47.55265
1180,-24.203312,61.641176,72.749566,47.590398,72.749684,47.590457
1190,-24.932819,62.117265,73.151331,47.627305,73.151449,47.627364
1200,-25.666328,62.593719,73.550039,47.663339,73.550158,47.663399
1210,-26.40381,63.070529,73.945734,47.698529,73.945854,47.698588
1220,-27.145233,63.547687,74.338459,47.732899,74.338579,47.732958
1230,-27.890569,64.025184,74.728255,47.766474,74.728375,47.766534
1240,-28.639789,64.503013,75.115163,47.799279,75.115284,47.799339
1250,-29.392863,64.981167,75.499224,47.831337,75.499345,47.831396
1260,-30.149764,65.459638,75.880477,47.862669,75.880599,47.862729
1270,-30.910463,65.938418,76.258962,47.893298,76.259084,47.893358
1280,-31.674934,66.417501,76.634715,47.923244,76.634838,47.923303
1290,-32.443149,66.896881,77.007775,47.952527,77.007898,47.952586
1300,-33.21508,67.37655,77.378177,47.981165,77.378301,47.981225
1310,-33.990703,67.856502,77.745958,48.009179,77.746083,48.009238
1320,-34.769991,68.336731,78.111153,48.036585,78.111278,48.036644
1330,-35.552918,68.817232,78.473797,48.0634,78.473922,48.063459
1340,-36.339459,69.297997,78.833922,48.089642,78.834048,48.089701
1350,-37.129588,69.779023,79.191564,48.115326,79.19169,48.115386
1360,-37.923282,70.260302,79.546753,48.140469,79.546879,48.140528
1370,-38.720515,70.74183,79.899522,48.165084,79.899649,48.165143
1380,-39.521264,71.223602,80.249903,48.189187,80.25003,48.189246
1390,-40.325505,71.705612,80.597926,48.212791,80.598054,48.21285
1400,-41.133215,72.187856,80.943622,48.23591,80.943751,48.235969
1410,-41.94437,72.670329,81.287021,48.258557,81.287149,48.258616
1420,-42.758948,73.153026,81.628151,48.280745,81.62828,48.280804
1430,-43.576926,73.635943,81.967041,48.302485,81.96717,48.302544
1440,-44.398281,74.119074,82.303719,48.32379,82.303849,48.32385
1450,-45.222993,74.602417,82.638214,48.344672,82.638344,48.344731
1460,-46.051038,75.085966,82.970551,48.36514,82.970682,48.365199
1470,-46.882397,75.569718,83.300758,48.385207,83.30089,48.385266
1480,-47.717046,76.053669,83.628862,48.404881,83.628993,48.40494
1490,-48.554967,76.537815,83.954887,48.424174,83.955019,48.424233
1500,-49.396137,77.022151,84.278859,48.443095,84.278991,48.443154
1510,-50.240537,77.506675,84.600803,48.461654,84.600936,48.461713
1520,-51.088147,77.991383,84.920743,48.479859,84.920876,48.479918
1530,-51.938946,78.476271,85.238704,48.497719,85.238837,48.497778
1540,-52.792914,78.961337,85.554708,48.515244,85.554842,48.515303
1550,-53.650033,79.446575,85.86878,48.53244,85.868914,48.5325
1560,-54.510284,79.931984,86.180941,48.549318,86.181075,48.549377
1570,-55.373646,80.417561,86.491214,48.565883,86.491349,48.565942
1580,-56.240102,80.903301,86.799622,48.582144,86.799757,48.582203
1590,-57.109632,81.389202,87.106185,48.598108,87.106321,48.598167
1600,-57.982219,81.875262,87.410926,48.613782,87.411062,48.613842
1610,-58.857845,82.361477,87.713864,48.629174,87.714001,48.629233
1620,-59.736491,82.847845,88.015022,48.644289,88.015159,48.644348
1630,-60.618139,83.334362,88.314418,48.659135,88.314555,48.659194
1640,-61.502773,83.821026,88.612073,48.673717,88.61221,48.673777
1650,-62.390375,84.307835,88.908006,48.688043,88.908144,48.688102
1660,-63.280928,84.794787,89.202237,48.702117,89.202376,48.702176
1670,-64.174414,85.281877,89.494785,48.715945,89.494924,48.716005
1680,-65.070818,85.769105,89.785668,48.729534,89.785807,48.729594
1690,-65.970122,86.256467,90.074905,48.742889,90.075044,48.742948
1700,-66.87231,86.743962,90.362513,48.756015,90.362653,48.756074
1710,-67.777367,87.231586,90.648511,48.768917,90.648651,48.768976
1720,-68.685275,87.719339,90.932915,48.7816,90.933056,48.781659
1730,-69.59602,88.207218,91.215744,48.794069,91.215885,48.794128
1740,-70.509585,88.69522,91.497014,48.806329,91.497155,48.806388
1750,-71.425955,89.183344,91.776742,48.818385,91.776883,48.818444
1760,-72.345115,89.671587,92.054944,48.83024,92.055086,48.8303
1770,-73.267049,90.159948,92.331637,48.8419,92.331779,48.84196
1780,-74.191742,90.648424,92.606835,48.853369,92.606978,48.853428
1790,-75.119181,91.137015,92.880556,48.86465,92.880699,48.86471
1800,-76.049349,91.625717,93.152814,48.875749,93.152957,48.875808
1810,-76.982232,92.114529,93.423625,48.886667,93.423768,48.886727
1820,-77.917816,92.603449,93.693003,48.897411,93.693147,48.89747
1830,-78.856087,93.092477,93.960964,48.907982,93.961108,48.908042
1840,-79.797031,93.581609,94.227522,48.918386,94.227666,48.918445
1850,-80.740633,94.070844,94.49269,48.928625,94.492835,48.928684
1860,-81.68688,94.560181,94.756484,48.938703,94.756629,48.938762
1870,-82.635758,95.049617,95.018917,48.948622,95.019063,48.948682
1880,-83.587254,95.539152,95.280004,48.958388,95.280149,48.958447
1890,-84.541354,96.028785,95.539756,48.968002,95.539902,48.968061
1900,-85.498045,96.518512,95.798188,48.977467,95.798334,48.977527
1910,-86.457313,97.008333,96.055312,48.986788,96.055459,48.986847
1920,-87.419147,97.498247,96.311143,48.995966,96.31129,48.996025
1930,-88.383532,97.988252,96.565691,49.005005,96.565839,49.005064
1940,-89.350456,98.478347,96.818971,49.013906,96.819118,49.013966
1950,-90.319907,98.96853,97.070993,49.022674,97.071141,49.022734
1960,-91.291872,99.4588,97.321771,49.031311,97.32192,49.03137
1970,-92.266339,99.949156,97.571317,49.039819,97.571465,49.039878
1980,-93.243294,100.4396,97.819642,49.048201,97.81979,49.04826
1990,-94.222727,100.93012,98.066757,49.056459,98.066906,49.056519
2000,-95.204626,101.42072,98.312675,49.064596,98.312824,49.064656
2010,-96.188977,101.91141,98.557407,49.072614,98.557556,49.072674
2020,-97.17577,102.40218,98.800964,49.080516,98.801113,49.080575
2030,-98.164992,102.89302,99.043356,49.088303,99.043506,49.088362
2040,-99.156633,103.38394,99.284596,49.095978,99.284746,49.096037
2050,-100.15068,103.87494,99.524693,49.103542,99.524844,49.103602
2060,-101.14712,104.36601,99.763658,49.110999,99.763809,49.111058
2070,-102.14595,104.85716,100.0015,49.11835,100.00165,49.118409
2080,-103.14715,105.34838,100.23824,49.125597,100.23839,49.125656
2090,-104.15071,105.83967,100.47387,49.132742,100.47402,49.132801
2100,-105.15662,106.33103,100.70841,49.139787,100.70856,49.139846
2110,-106.16488,106.82247,100.94187,49.146733,100.94202,49.146792
2120,-107.17546,107.31397,101.17426,49.153583,101.17441,49.153642
2130,-108.18836,107.80554,101.40558,49.160339,101.40574,49.160398
2140,-109.20357,108.29717,101.63586,49.167001,101.63601,49.16706
2150,-110.22107,108.78888,101.86509,49.173572,101.86525,49.173631
2160,-111.24086,109.28065,102.09329,49.180054,102.09345,49.180113
2170,-112.26293,109.77248,102.32047,49.186447,102.32062,49.186507
2180,-113.28727,110.26437,102.54663,49.192755,102.54678,49.192814
2190,-114.31386,110.75633,102.77178,49.198977,102.77193,49.199036
2200,-115.3427,111.24835,102.99593,49.205116,102.99609,49.205175
