temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,20.555128,20.555128,0,0,0,0
10,20.555128,20.555129,0.00011256802,0.00075837417,0.00011256866,0.00075837801
20,20.555113,20.555195,0.0040790569,0.016866057,0.004079073,0.016866119
30,20.555008,20.555599,0.019692738,0.073536169,0.01969281,0.073536436
40,20.554646,20.556953,0.057677079,0.2172014,0.057677292,0.21720222
50,20.553725,20.560454,0.13459218,0.51363001,0.13459269,0.51363192
60,20.551762,20.567895,0.26887814,1.0093162,0.26887913,1.0093198
70,20.548108,20.581324,0.47450115,1.7087734,0.47450286,1.7087791
80,20.542011,20.602658,0.75808412,2.5842342,0.75808674,2.5842423
90,20.532686,20.633461,1.1197208,3.5956318,1.1197245,3.5956425
100,20.51937,20.674896,1.5552574,4.7049406,1.5552624,4.7049538
110,20.501355,20.727785,2.0584532,5.8821687,2.0584595,5.8821845
120,20.477999,20.792693,2.6224562,7.1057857,2.6224641,7.1058041
130,20.448726,20.870005,3.2406092,8.3607628,3.2406187,8.3607837
140,20.413026,20.959977,3.9067877,9.6362354,3.9067987,9.6362589
150,20.370448,21.062769,4.6154735,10.923665,4.6154863,10.923691
160,20.320592,21.178465,5.3617088,12.215691,5.3617234,12.21572
170,20.263104,21.307076,6.1410116,13.505558,6.1410279,13.505588
180,20.197675,21.448548,6.9492942,14.786918,6.9493124,14.786951
190,20.124034,21.602766,7.7828005,16.053844,7.7828204,16.053879
200,20.041947,21.769559,8.6380604,17.300916,8.6380822,17.300953
210,19.951211,21.948702,9.5118624,18.523324,9.5118861,18.523363
220,19.851657,22.139929,10.401235,19.716934,10.40126,19.716975
230,19.743144,22.342934,11.303434,20.87833,11.303461,20.878372
240,19.625554,22.557379,12.215936,22.004804,12.215966,22.004848
250,19.498798,22.782906,13.136432,23.094325,13.136463,23.094371
260,19.362806,23.019138,14.062814,24.145488,14.062846,24.145534
270,19.217529,23.265685,14.993172,25.15744,14.993207,25.157488
280,19.062935,23.522155,15.925783,26.129816,15.92582,26.129864
290,18.899011,23.78815,16.8591,27.062658,16.859138,27.062708
298.15,18.758511,24.011708,17.61931,27.793943,17.619349,27.793993
300,18.725756,24.063277,17.791739,27.956352,17.791779,27.956403
310,18.543182,24.347149,18.722471,28.81156,18.722513,28.811611
320,18.351316,24.639383,19.650209,29.629163,19.650252,29.629215
330,18.150191,24.93961,20.573995,30.41021,20.57404,30.410263
340,17.939852,25.247469,21.492992,31.155876,21.493038,31.155929
350,17.72035,25.562614,22.406468,31.867422,22.406515,31.867476
360,17.491743,25.884708,23.313792,32.546169,23.313841,32.546223
370,17.254097,26.213432,24.214421,33.193466,24.214472,33.193521
380,17.007479,26.548478,25.107891,33.810676,25.107944,33.810731
390,16.751964,26.88955,25.993811,34.399154,25.993864,34.399209
400,16.487629,27.236369,26.871851,34.960238,26.871906,34.960294
410,16.214554,27.588668,27.741741,35.495236,27.741797,35.495293
420,15.932822,27.946191,28.60326,36.005423,28.603318,36.00548
430,15.642517,28.308698,29.456233,36.492029,29.456293,36.492085
440,15.343726,28.675957,30.300525,36.956239,30.300585,36.956296
450,15.036536,29.047752,31.136034,37.399193,31.136096,37.39925
460,14.721035,29.423874,31.962693,37.821978,31.962756,37.822036
470,14.397312,29.804127,32.780459,38.225634,32.780523,38.225692
480,14.065456,30.188326,33.589313,38.61115,33.589379,38.611208
490,13.725555,30.576293,34.389261,38.979467,34.389328,38.979525
500,13.3777,30.967861,35.180322,39.331476,35.18039,39.331534
510,13.021978,31.362871,35.962535,39.668025,35.962604,39.668083
520,12.658479,31.761173,36.73595,39.989914,36.73602,39.989972
530,12.287289,32.162623,37.500631,40.297901,37.500703,40.297959
540,11.908495,32.567087,38.256652,40.592704,38.256724,40.592762
550,11.522184,32.974435,39.004093,40.874999,39.004167,40.875057
560,11.128441,33.384547,39.743046,41.145427,39.743121,41.145486
570,10.727351,33.797306,40.473606,41.404592,40.473681,41.404651
580,10.318997,34.212603,41.195873,41.653065,41.19595,41.653123
590,9.903461,34.630334,41.909954,41.891383,41.910032,41.891442
600,9.4808247,35.050399,42.615957,42.120057,42.616036,42.120116
610,9.0511684,35.472704,43.313994,42.339565,43.314073,42.339624
620,8.614571,35.897161,44.004178,42.55036,44.004258,42.550419
630,8.1711106,36.323684,44.686624,42.75287,44.686706,42.752929
640,7.7208639,36.752192,45.361451,42.947499,45.361533,42.947559
650,7.2639066,37.182609,46.028773,43.134629,46.028856,43.134688
660,6.8003131,37.614861,46.688709,43.314618,46.688793,43.314677
670,6.3301567,38.048879,47.341376,43.487808,47.341461,43.487867
680,5.8535094,38.484596,47.986892,43.65452,47.986978,43.654579
690,5.3704423,38.921949,48.625371,43.815058,48.625458,43.815117
700,4.8810251,39.360877,49.256932,43.969708,49.257019,43.969767
710,4.3853263,39.801324,49.881687,44.118743,49.881775,44.118803
720,3.8834136,40.243234,50.499751,44.26242,50.49984,44.26248
730,3.3753533,40.686555,51.111236,44.400982,51.111326,44.401042
740,2.8612105,41.131238,51.716253,44.53466,51.716344,44.534719
750,2.3410494,41.577233,52.314911,44.663671,52.315003,44.66373
760,1.8149331,42.024496,52.90732,44.788221,52.907412,44.788281
770,1.2829235,42.472983,53.493584,44.908508,53.493677,44.908567
780,0.74508153,42.922653,54.073809,45.024716,54.073903,45.024775
790,0.20146709,43.373465,54.648098,45.137022,54.648193,45.137081
800,-0.34786099,43.825381,55.216552,45.245592,55.216648,45.245651
810,-0.90284484,44.278364,55.779271,45.350585,55.779367,45.350644
820,-1.4634276,44.732381,56.336352,45.452152,56.336449,45.452211
830,-2.0295534,45.187397,56.887892,45.550435,56.887989,45.550494
840,-2.6011673,45.643379,57.433984,45.645571,57.434082,45.64563
850,-3.1782152,46.100298,57.974721,45.737688,57.974821,45.737748
860,-3.7606442,46.558123,58.510195,45.82691,58.510295,45.826969
870,-4.3484019,47.016827,59.040493,45.913353,59.040593,45.913412
880,-4.9414371,47.476381,59.565703,45.997128,59.565804,45.997187
890,-5.5396993,47.936761,60.08591,46.078341,60.086012,46.078401
900,-6.1431389,48.39794,60.601199,46.157094,60.601301,46.157153
910,-6.7517071,48.859895,61.111651,46.233481,61.111754,46.23354
920,-7.365356,49.322602,61.617346,46.307594,61.61745,46.307654
930,-7.9840384,49.786039,62.118363,46.379521,62.118468,46.379581
940,-8.607708,50.250186,62.61478,46.449345,62.614886,46.449405
950,-9.236319,50.71502,63.106672,46.517146,63.106778,46.517205
960,-9.8698266,51.180522,63.594113,46.582998,63.594219,46.583057
970,-10.508187,51.646673,64.077175,46.646975,64.077282,46.647034
980,-11.151356,52.113455,64.55593,46.709144,64.556037,46.709204
990,-11.799291,52.58085,65.030446,46.769574,65.030554,46.769633
1000,-12.451951,53.048841,65.500792,46.828326,65.500901,46.828385
1010,-13.109293,53.517412,65.967034,46.88546,65.967144,46.88552
1020,-13.771278,53.986545,66.429238,46.941036,66.429349,46.941095
1030,-14.437865,54.456227,66.887468,46.995107,66.887579,46.995166
1040,-15.109014,54.926443,67.341785,47.047726,67.341897,47.047785
1050,-15.784688,55.397177,67.792252,47.098944,67.792364,47.099004
1060,-16.464847,55.868417,68.238928,47.14881,68.23904,47.14887
1070,-17.149454,56.340149,68.681872,47.19737,68.681985,47.19743
1080,-17.838472,56.81236,69.121141,47.244668,69.121254,47.244728
1090,-18.531865,57.285038,69.556792,47.290747,69.556906,47.290807
1100,-19.229596,57.758171,69.988879,47.335648,69.988994,47.335708
1110,-19.93163,58.231747,70.417457,47.37941,70.417573,47.37947
1120,-20.637933,58.705756,70.84258,47.422071,70.842695,47.42213
1130,-21.348471,59.180185,71.264297,47.463666,71.264413,47.463725
1140,-22.063208,59.655026,71.682661,47.504231,71.682778,47.50429
1150,-22.782113,60.130267,72.097721,47.543798,72.097838,47.543857
1160,-23.505152,60.605898,72.509526,47.5824,72.509644,47.582459
1170,-24.232293,61.081911,72.918123,47.620067,72.918241,47.620126
1180,-24.963504,61.558297,73.32356,47.656829,73.323678,47.656888
1190,-25.698753,62.035045,73.725881,47.692714,73.726,47.692773
1200,-26.438011,62.512148,74.125133,47.727749,74.125252,47.727809
1210,-27.181246,62.989597,74.521358,47.761962,74.521478,47.762021
1220,-27.928428,63.467385,74.914601,47.795376,74.914722,47.795435
1230,-28.679528,63.945502,75.304903,47.828017,75.305024,47.828076
1240,-29.434517,64.423943,75.692306,47.859907,75.692428,47.859966
1250,-30.193365,64.902698,76.07685,47.89107,76.076972,47.891129
1260,-30.956044,65.381762,76.458576,47.921526,76.458699,47.921586
1270,-31.722527,65.861126,76.837522,47.951298,76.837645,47.951357
1280,-32.492786,66.340785,77.213727,47.980404,77.213851,47.980464
1290,-33.266793,66.820732,77.587229,48.008865,77.587353,48.008925
1300,-34.044521,67.300961,77.958063,48.036699,77.958187,48.036759
1310,-34.825945,67.781464,78.326267,48.063925,78.326392,48.063984
1320,-35.611038,68.262237,78.691875,48.090559,78.692,48.090618
1330,-36.399774,68.743273,79.054923,48.116619,79.055049,48.116678
1340,-37.192128,69.224568,79.415444,48.14212,79.415571,48.142179
1350,-37.988075,69.706114,79.773473,48.167079,79.7736,48.167138
1360,-38.787589,70.187907,80.129042,48.19151,80.129169,48.191569
1370,-39.590647,70.669942,80.482182,48.215429,80.48231,48.215488
1380,-40.397225,71.152214,80.832927,48.238848,80.833055,48.238908
1390,-41.207298,71.634718,81.181306,48.261783,81.181435,48.261842
1400,-42.020843,72.117448,81.527351,48.284246,81.52748,48.284305
1410,-42.837837,72.600401,81.871091,48.306249,81.871221,48.306309
1420,-43.658258,73.083572,82.212556,48.327806,82.212686,48.327865
1430,-44.482081,73.566956,82.551774,48.348928,82.551904,48.348987
1440,-45.309286,74.050549,82.888774,48.369626,82.888905,48.369685
1450,-46.139849,74.534347,83.223584,48.389912,83.223715,48.389971
1460,-46.97375,75.018346,83.55623,48.409796,83.556362,48.409855
1470,-47.810967,75.502542,83.88674,48.429289,83.886872,48.429349
1480,-48.651478,75.98693,84.215141,48.448402,84.215273,48.448461
1490,-49.495263,76.471508,84.541457,48.467143,84.54159,48.467202
1500,-50.3423,76.956272,84.865715,48.485522,84.865848,48.485582
1510,-51.19257,77.441218,85.187939,48.503549,85.188072,48.503608
1520,-52.046052,77.926342,85.508154,48.521232,85.508288,48.521291
1530,-52.902727,78.411641,85.826384,48.53858,85.826518,48.53864
1540,-53.762573,78.897112,86.142653,48.555602,86.142788,48.555661
1550,-54.625573,79.382752,86.456984,48.572304,86.457119,48.572364
1560,-55.491707,79.868557,86.7694,48.588696,86.769535,48.588756
1570,-56.360955,80.354525,87.079924,48.604785,87.080059,48.604844
1580,-57.233299,80.840652,87.388577,48.620578,87.388713,48.620637
1590,-58.10872,81.326936,87.695381,48.636082,87.695518,48.636142
1600,-58.9872,81.813373,88.000358,48.651305,88.000495,48.651364
1610,-59.868721,82.299961,88.303529,48.666252,88.303667,48.666312
1620,-60.753265,82.786697,88.604915,48.680932,88.605052,48.680991
1630,-61.640814,83.273579,88.904535,48.695349,88.904673,48.695408
1640,-62.53135,83.760603,89.20241,48.70951,89.202549,48.709569
1650,-63.424856,84.247768,89.49856,48.723421,89.498699,48.72348
1660,-64.321315,84.735071,89.793004,48.737088,89.793143,48.737147
1670,-65.220711,85.222509,90.08576,48.750516,90.0859,48.750576
1680,-66.123025,85.71008,90.376848,48.763712,90.376988,48.763771
1690,-67.028242,86.197782,90.666287,48.77668,90.666427,48.776739
1700,-67.936345,86.685613,90.954093,48.789425,90.954234,48.789484
1710,-68.847319,87.17357,91.240286,48.801953,91.240427,48.802012
