temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,11.7474,12.997,5.78679,6.987,-9.61422,-1.20021
200,20.0841,21.338,17.0969,19.144,-5.87643,-2.04706
250,21.6526,23.084,21.7632,24.108,-6.201,-2.34475
298.15,22.5565,24.209,25.6605,28.275,-6.82615,-2.61451
300,22.5836,24.247,25.8001,28.425,-6.86011,-2.6249
350,23.1747,25.113,29.329,32.231,-7.7182,-2.90202
400,23.5711,25.784,32.4511,35.63,-8.58263,-3.17894
450,23.8488,26.335,35.2443,38.699,-9.4408,-3.45472
500,24.0505,26.842,37.768,41.501,-10.3998,-3.73303
600,24.3172,27.886,42.1786,46.485,-12.798,-4.30639
