temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,12.2831,12.997,6.2423,6.987,-5.49316,-0.744696,-4.45446,-0.609696
200,20.368,21.338,17.8466,19.144,-4.54586,-1.29736,-3.28051,-1.02736
250,21.8547,23.084,22.5669,24.108,-5.32536,-1.54115,-3.86331,-1.20365
298.15,22.7071,24.209,26.495,28.275,-6.20401,-1.78002,-4.5414,-1.37751
300,22.7326,24.247,26.6355,28.425,-6.24554,-1.78948,-4.57523,-1.38448
350,23.2883,25.113,30.1845,32.231,-7.26594,-2.04646,-5.38445,-1.57396
400,23.6601,25.784,33.3201,35.63,-8.23715,-2.30991,-6.14283,-1.76991
450,23.9203,26.335,36.1227,38.699,-9.16904,-2.57627,-6.86223,-1.96877
500,24.1091,26.842,38.6533,41.501,-10.1813,-2.84773,-7.66654,-2.17273
600,24.3585,27.886,43.0729,46.485,-12.6496,-3.41206,-9.74488,-2.60206
