temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,3.8402718,3.8402718,0,0,0,0
10,3.8402633,3.8403088,0.0045529206,0.017589542,0.0045529378,0.017589603
20,3.840041,3.8410586,0.050876484,0.1684238,0.050876657,0.16842438
30,3.8389124,3.844865,0.19842203,0.67668067,0.19842272,0.67668304
40,3.8354663,3.856521,0.52636543,1.7518168,0.52636722,1.7518225
50,3.8276287,3.8815923,1.0792711,3.3293089,1.0792746,3.3293187
60,3.8131577,3.924048,1.8481717,5.1899585,1.8481774,5.1899724
70,3.7900758,3.9856355,2.79371,7.1262621,2.7937181,7.1262796
80,3.7568524,4.0663498,3.8687169,8.9977043,3.8687275,8.9977246
90,3.7124149,4.165112,5.0299677,10.727356,5.0299808,10.727379
100,3.6560837,4.2803141,6.2423038,12.283054,6.2423194,12.283078
110,3.5874886,4.4101747,7.4789649,13.6597,7.4789829,13.659726
120,3.506489,4.5529418,8.72044,14.866662,8.7204602,14.866689
130,3.4131101,4.7069953,9.952963,15.919885,9.9529855,15.919913
140,3.3074914,4.8708872,11.167113,16.837384,11.167137,16.837412
150,3.1898501,5.0433497,12.356664,17.636859,12.356691,17.636887
160,3.0604533,5.2232854,13.5177,18.334575,13.517729,18.334604
170,2.9195988,5.4097502,14.64795,18.944938,14.64798,18.944967
180,2.7676007,5.6019348,15.7463,19.480437,15.746332,19.480466
190,2.6047802,5.7991452,16.812448,19.951762,16.812481,19.951791
200,2.4314583,6.0007866,17.846641,20.368005,17.846676,20.368034
210,2.2479518,6.2063475,18.849503,20.736865,18.849539,20.736894
220,2.0545699,6.4153878,19.8219,21.064858,19.821937,21.064887
230,1.851612,6.6275269,20.764847,21.357496,20.764886,21.357526
240,1.6393674,6.8424355,21.67945,21.619452,21.67949,21.619482
250,1.4181137,7.059827,22.566853,21.854693,22.566895,21.854723
260,1.1881172,7.2794516,23.428209,22.066596,23.428252,22.066626
