temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,3.9801287,3.9801287,0,0,0,0
10,3.9801216,3.9801598,0.0038173759,0.015099533,0.0038173906,0.015099586
20,3.97993,3.9808123,0.04411402,0.14659942,0.04411417,0.14659992
30,3.9789503,3.9841194,0.1723041,0.58864576,0.17230469,0.58864782
40,3.9759491,3.9943448,0.4598911,1.5485201,0.45989268,1.5485252
50,3.9690586,4.0167522,0.9538727,3.0016953,0.95387584,3.0017043
60,3.9561824,4.0553987,1.6536046,4.7610201,1.6536097,4.7610331
70,3.9354049,4.1123311,2.5275172,6.6299011,2.5275247,6.6299177
80,3.9051918,4.18788,3.5336031,8.4657873,3.5336129,8.4658068
90,3.8644279,4.2812524,4.6313837,10.184837,4.631396,10.184858
100,3.8123728,4.3910522,5.7867933,11.74744,5.786808,11.747464
110,3.7485895,4.5156402,6.9731879,13.142244,6.9732049,13.142269
120,3.6728728,4.6533525,8.1706644,14.373933,8.1706837,14.373959
130,3.5851877,4.8026171,9.3648412,15.455185,9.3648626,15.455212
140,3.485621,4.9620075,10.545618,16.401848,10.545642,16.401875
150,3.3743432,5.1302599,11.706111,17.230252,11.706137,17.23028
160,3.2515816,5.30627,12.841803,17.955839,12.84183,17.955867
170,3.1175993,5.4890807,13.94989,18.592557,13.949919,18.592586
180,2.9726811,5.677866,15.028805,19.152674,15.028835,19.152703
190,2.8171228,5.8719144,16.07785,19.646813,16.077882,19.646843
200,2.651224,6.0706128,17.096944,20.084087,17.096978,20.084116
210,2.4752827,6.2734326,18.086428,20.472271,18.086463,20.472301
220,2.2895921,6.4799168,19.046931,20.817986,19.046967,20.818016
230,2.094438,6.6896696,19.979268,21.126862,19.979306,21.126891
240,1.8900975,6.9023473,20.884374,21.403692,20.884413,21.403722
250,1.6768379,7.1176503,21.76325,21.652562,21.76329,21.652591
260,1.4549165,7.335317,22.616925,21.87696,22.616967,21.87699
270,1.22458,7.555118,23.446437,22.079875,23.44648,22.079904
280,0.98606487,7.7768515,24.252809,22.26387,24.252853,22.263899
290,0.73959757,8.0003397,25.037042,22.431152,25.037086,22.431182
298.15,0.53299576,8.1836706,25.660489,22.556458,25.660535,22.556488
300,0.4853946,8.2254252,25.800102,22.583629,25.800148,22.583658
310,0.223663,8.4519684,26.542921,22.722949,26.542967,22.722979
320,-0.045399314,8.6798452,27.266389,22.850548,27.266437,22.850577
330,-0.32160311,8.9089445,27.971356,22.967672,27.971405,22.967702
340,-0.60476747,9.1391673,28.658632,23.075413,28.658681,23.075443
350,-0.89471934,9.3704247,29.328983,23.174728,29.329033,23.174757
360,-1.1912932,9.6026366,29.983138,23.266454,29.983189,23.266484
370,-1.4943304,9.835731,30.621788,23.351333,30.621839,23.351363
380,-1.8036794,10.069643,31.245584,23.430018,31.245637,23.430048
390,-2.1191947,10.304313,31.855147,23.503087,31.8552,23.503117
400,-2.4407368,10.539687,32.451061,23.571054,32.451115,23.571084
410,-2.7681722,10.775718,33.033879,23.634377,33.033934,23.634407
420,-3.1013725,11.012361,33.604127,23.693463,33.604183,23.693493
430,-3.4402145,11.249575,34.1623,23.748678,34.162357,23.748707
440,-3.7845798,11.487323,34.708869,23.800347,34.708926,23.800377
450,-4.1343547,11.725571,35.244279,23.848765,35.244336,23.848795
460,-4.4894296,11.964288,35.768951,23.894196,35.769009,23.894225
470,-4.8496993,12.203445,36.283287,23.936877,36.283346,23.936907
480,-5.2150622,12.443017,36.787665,23.977025,36.787725,23.977054
490,-5.5854206,12.682978,37.282446,24.014833,37.282507,24.014862
500,-5.9606803,12.923306,37.767973,24.050478,37.768034,24.050507
510,-6.3407503,13.163981,38.244571,24.084121,38.244633,24.08415
520,-6.725543,13.404983,38.712549,24.115907,38.712611,24.115937
530,-7.1149735,13.646293,39.172202,24.14597,39.172264,24.145999
540,-7.5089602,13.887897,39.623809,24.17443,39.623872,24.17446
550,-7.9074238,14.129777,40.067638,24.2014,40.067702,24.20143
560,-8.3102879,14.37192,40.503943,24.22698,40.504007,24.227009
570,-8.7174784,14.614312,40.932966,24.251263,40.933031,24.251293
580,-9.1289237,14.856941,41.35494,24.274336,41.355005,24.274365
590,-9.5445544,15.099795,41.770084,24.296276,41.77015,24.296306
600,-9.9643033,15.342863,42.178611,24.317157,42.178677,24.317186
610,-10.388105,15.586135,42.580722,24.337044,42.580789,24.337074
620,-10.815897,15.829601,42.97661,24.356,42.976677,24.35603
630,-11.247617,16.073252,43.366459,24.374082,43.366527,24.374111
640,-11.683207,16.31708,43.750448,24.391341,43.750516,24.391371
650,-12.122607,16.561076,44.128744,24.407828,44.128813,24.407857
660,-12.565763,16.805234,44.501511,24.423586,44.50158,24.423616
670,-13.01262,17.049546,44.868904,24.438659,44.868973,24.438689
680,-13.463124,17.294005,45.231072,24.453085,45.231142,24.453115
690,-13.917224,17.538606,45.588159,24.466901,45.588229,24.46693
700,-14.37487,17.783341,45.940302,24.480139,45.940373,24.480169
710,-14.836014,18.028207,46.287635,24.492833,46.287706,24.492863
720,-15.300608,18.273196,46.630283,24.505011,46.630355,24.50504
730,-15.768605,18.518305,46.968369,24.5167,46.968441,24.51673
740,-16.23996,18.763529,47.302012,24.527927,47.302084,24.527957
750,-16.71463,19.008862,47.631323,24.538715,47.631396,24.538745
760,-17.192573,19.254302,47.956413,24.549087,47.956486,24.549117
770,-17.673745,19.499843,48.277386,24.559064,48.27746,24.559093
780,-18.158107,19.745482,48.594344,24.568665,48.594418,24.568694
790,-18.645619,19.991215,48.907384,24.577909,48.907458,24.577939
800,-19.136242,20.237039,49.2166,24.586814,49.216675,24.586844
810,-19.629938,20.48295,49.522084,24.595396,49.522159,24.595426
820,-20.126671,20.728945,49.823923,24.60367,49.823998,24.6037
830,-20.626405,20.975022,50.122201,24.611651,50.122277,24.61168
840,-21.129104,21.221178,50.417002,24.619352,50.417078,24.619382
850,-21.634734,21.467408,50.708402,24.626786,50.708479,24.626816
860,-22.143261,21.713712,50.99648,24.633966,50.996557,24.633996
870,-22.654652,21.960087,51.28131,24.640903,51.281387,24.640933
880,-23.168876,22.20653,51.562961,24.647608,51.563039,24.647637
890,-23.685901,22.453038,51.841505,24.65409,51.841583,24.65412
900,-24.205696,22.699611,52.117008,24.66036,52.117086,24.66039
910,-24.728231,22.946245,52.389535,24.666427,52.389613,24.666456
920,-25.253477,23.192939,52.659148,24.672299,52.659227,24.672329
930,-25.781405,23.43969,52.925909,24.677985,52.925988,24.678014
940,-26.311986,23.686498,53.189877,24.683492,53.189956,24.683522
950,-26.845193,23.93336,53.451108,24.688828,53.451188,24.688858
960,-27.380999,24.180274,53.70966,24.694,53.70974,24.694029
970,-27.919378,24.427239,53.965584,24.699014,53.965665,24.699044
980,-28.460302,24.674254,54.218935,24.703877,54.219016,24.703907
990,-29.003748,24.921316,54.469762,24.708595,54.469843,24.708624
1000,-29.549689,25.168425,54.718115,24.713173,54.718196,24.713203
