temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,13.539,12.855,4.46894,4.295,5.32077,0.17394
200,52.3356,51.12,25.8021,24.88,2.37785,0.92211
298.15,79.5038,79.015,52.2356,50.95,0.618597,1.28557
300,79.8868,79.416,52.7286,51.44,0.592827,1.28855
400,95.5504,96.086,78.0688,76.779,-0.557409,1.28983
500,104.602,106.131,100.45,99.388,-1.44052,1.06191
600,110.136,112.545,120.049,119.345,-2.14068,0.703961
700,113.714,116.926,137.314,137.041,-2.7473,0.272926
800,116.142,120.135,152.667,152.873,-3.32403,-0.20637
900,117.857,122.662,166.451,167.174,-3.91717,-0.723278
1000,119.111,124.771,178.936,180.21,-4.53669,-1.27364
1100,120.052,126.608,190.335,192.189,-5.17784,-1.85398
1200,120.777,128.252,200.813,203.277,-5.82815,-2.46366
1300,121.347,129.737,210.504,213.602,-6.46731,-3.09796
1400,121.801,131.081,219.514,223.267,-7.07929,-3.75296
1500,122.17,132.29,227.93,232.353,-7.64949,-4.42252
1600,122.474,133.361,235.825,240.925,-8.16358,-5.09982
