temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,44.17428,44.17428,0,0,0,0
10,44.174278,44.174291,0.0013029571,0.0054672984,0.0013029623,0.0054673183
20,44.174206,44.174544,0.016879861,0.057491574,0.016879919,0.05749177
30,44.173827,44.175842,0.067167418,0.23252381,0.067167653,0.23252465
40,44.172636,44.180077,0.1860279,0.6727735,0.18602857,0.67277598
50,44.169723,44.190704,0.41962288,1.5330236,0.4196244,1.5330291
60,44.163711,44.212472,0.81268373,2.9112087,0.81268664,2.9112188
70,44.152823,44.250764,1.399151,4.8382775,1.3991559,4.8382935
80,44.135012,44.311,2.1998513,7.2930868,2.1998588,7.2931099
90,44.108082,44.398199,3.223517,10.21908,3.2235277,10.219111
100,44.069802,44.516696,4.4689403,13.538986,4.4689547,13.539025
110,44.017993,44.670005,5.9273826,17.166829,5.9274011,17.166877
120,43.950591,44.860772,7.5848484,21.016814,7.5848714,21.01687
130,43.86569,45.090814,9.4240364,25.009156,9.4240643,25.009221
140,43.761567,45.361194,11.425903,29.07338,11.425936,29.073453
150,43.636695,45.672321,13.570843,33.149725,13.570881,33.149805
160,43.489738,46.024065,15.83954,37.189289,15.839584,37.189376
170,43.319553,46.415854,18.213537,41.15338,18.213586,41.153474
180,43.125174,46.846781,20.675596,45.01245,20.67565,45.012549
190,42.905801,47.315681,23.209894,48.744849,23.209954,48.744953
200,42.660783,47.821205,25.80211,52.335557,25.802176,52.335666
210,42.389608,48.361887,28.439422,55.774993,28.439493,55.775106
220,42.091883,48.936183,31.110457,59.057939,31.110534,59.058056
230,41.76732,49.542518,33.805207,62.182609,33.805289,62.18273
240,41.415729,50.17931,36.514924,65.149861,36.515011,65.149984
250,41.036997,50.845,39.232009,67.962537,39.232101,67.962664
260,40.631086,51.53806,41.949901,70.624935,41.949998,70.625064
270,40.198015,52.257015,44.662961,73.142373,44.663063,73.142504
280,39.737859,53.000444,47.366376,75.520851,47.366483,75.520984
290,39.250734,53.76699,50.056057,77.766785,50.056168,77.766919
298.15,38.833887,54.407923,52.235574,79.503784,52.235689,79.50392
300,38.736795,54.55536,52.728551,79.886799,52.728666,79.886935
310,38.19623,55.364329,55.380964,81.887571,55.381085,81.887709
320,37.629251,56.192736,58.010892,83.775715,58.011017,83.775853
330,37.036094,57.039489,60.616351,85.557694,60.61648,85.557834
340,36.417011,57.903557,63.195725,87.239764,63.195858,87.239904
350,35.77227,58.783971,65.747718,88.827928,65.747855,88.82807
360,35.102151,59.679822,68.271307,90.327916,68.271449,90.328058
370,34.406941,60.590254,70.76571,91.745165,70.765855,91.745308
380,33.686936,61.514467,73.230343,93.084815,73.230492,93.084958
390,32.942435,62.451708,75.664802,94.351712,75.664954,94.351856
400,32.173742,63.401273,78.06883,95.550408,78.068986,95.550553
410,31.381161,64.362503,80.442299,96.685177,80.442459,96.685322
420,30.564998,65.334777,82.78519,97.760018,82.785353,97.760163
430,29.725558,66.317516,85.097576,98.778673,85.097743,98.778819
440,28.863147,67.310175,87.379609,99.744638,87.379779,99.744783
450,27.978067,68.312244,89.631505,100.66118,89.631679,100.66132
460,27.070617,69.323244,91.853538,101.53133,91.853714,101.53148
470,26.141094,70.342726,94.046024,102.35795,94.046204,102.35809
480,25.189794,71.370267,96.209319,103.14367,96.209502,103.14382
490,24.217004,72.405471,98.34381,103.89097,98.343996,103.89112
500,23.223012,73.447966,100.44991,104.60216,100.4501,104.60231
510,22.208099,74.497401,102.52804,105.27937,102.52823,105.27952
520,21.172543,75.553447,104.57866,105.92461,104.57886,105.92476
530,20.116616,76.615793,106.60222,106.53976,106.60242,106.5399
540,19.040587,77.684147,108.59919,107.12654,108.59939,107.12669
550,17.944719,78.758235,110.57003,107.6866,110.57023,107.68675
