temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,5.84388,5.678,2.14262,2.164,2.92142,-0.0213754
200,19.5505,19.332,10.3879,10.267,1.13016,0.120891
298.15,30.1504,30.097,20.3189,20.142,0.177345,0.176868
300,30.3073,30.254,20.5059,20.329,0.17626,0.176856
400,36.8892,36.692,30.2083,29.987,0.537407,0.221252
500,40.8278,40.799,38.8992,38.647,0.0706863,0.252186
600,43.2799,43.538,46.5764,46.341,-0.592921,0.23538
700,44.882,45.434,53.3766,53.201,-1.21487,0.175558
800,45.9765,46.791,59.4455,59.361,-1.74079,0.0845432
900,46.7531,47.792,64.9081,64.932,-2.17374,-0.0238914
1000,47.3223,48.55,69.865,70.008,-2.52864,-0.143021
1100,47.7511,49.136,74.3963,74.664,-2.81859,-0.267692
1200,48.0815,49.598,78.566,78.96,-3.05752,-0.39404
1300,48.3414,49.97,82.4252,82.945,-3.25919,-0.519803
1400,48.5493,50.272,86.0156,86.66,-3.42684,-0.644438
1500,48.7181,50.521,89.3711,90.137,-3.5687,-0.765934
