temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,18.754469,18.754469,0,0,0,0
10,18.754467,18.754477,0.00097672563,0.0036671585,0.00097672924,0.0036671714
20,18.754419,18.754639,0.010993592,0.036368369,0.01099363,0.036368491
30,18.754179,18.755428,0.041642022,0.13749954,0.041642163,0.13750001
40,18.753463,18.757842,0.10947073,0.37485463,0.10947111,0.37485596
50,18.751791,18.763627,0.2367088,0.82069973,0.23670963,0.82070259
60,18.748465,18.775039,0.44290184,1.4995934,0.44290337,1.4995984
70,18.742635,18.794313,0.73825139,2.3860291,0.73825386,2.3860365
80,18.733399,18.823296,1.12371,3.4334192,1.1237136,3.4334293
90,18.719877,18.863368,1.5943468,4.5972561,1.5943518,4.5972688
100,18.701253,18.915516,2.1426246,5.8438782,2.1426311,5.8438937
110,18.676792,18.980443,2.7604633,7.1500934,2.7604713,7.1501117
120,18.645838,19.058662,3.4402002,8.4996814,3.44021,8.4997025
130,18.607805,19.150539,4.1748782,9.8800695,4.1748897,9.8800933
140,18.562178,19.256329,4.9582213,11.280229,4.9582347,11.280256
150,18.508498,19.376175,5.7845159,12.689726,5.7845312,12.689755
160,18.446362,19.510121,6.6484937,14.098519,6.648511,14.098551
170,18.375419,19.658111,7.5452519,15.497122,7.5452712,15.497156
180,18.295363,19.82,8.470208,16.876866,8.4702294,16.876902
190,18.205935,19.99556,9.419082,18.23013,9.4191054,18.230168
200,18.106915,20.184493,10.387891,19.550483,10.387917,19.550524
210,17.998123,20.386443,11.372953,20.832729,11.37298,20.832772
220,17.879413,20.601007,12.370883,22.072874,12.370913,22.072918
230,17.750672,20.82775,13.378599,23.268036,13.37863,23.268081
240,17.611818,21.066212,14.393308,24.416327,14.393341,24.416374
250,17.462791,21.315917,15.412502,25.516716,15.412538,25.516764
260,17.30356,21.576385,16.433942,26.568889,16.433979,26.568939
270,17.134112,21.847135,17.455641,27.573122,17.455681,27.573173
280,16.954452,22.12769,18.47585,28.530158,18.475891,28.530209
290,16.764605,22.417584,19.493033,29.4411,19.493076,29.441152
298.15,16.602369,22.66044,20.318868,30.150375,20.318912,30.150428
300,16.564606,22.716363,20.505856,30.307326,20.505901,30.307378
310,16.354506,23.023587,21.513164,31.130406,21.513211,31.13046
320,16.134365,23.338833,22.513964,31.912047,22.514012,31.912101
330,15.904251,23.661696,23.507407,32.654032,23.507457,32.654086
340,15.664243,23.991788,24.492777,33.358187,24.492829,33.358242
350,15.414425,24.32874,25.469471,34.026344,25.469524,34.0264
360,15.154885,24.672201,26.436989,34.660321,26.437043,34.660377
370,14.885717,25.021838,27.394922,35.261894,27.394978,35.261951
380,14.607019,25.377336,28.34294,35.832795,28.342997,35.832852
390,14.318892,25.738397,29.280782,36.374691,29.280841,36.374748
400,14.021438,26.104739,30.208252,36.889186,30.208312,36.889243
410,13.714762,26.476095,31.125201,37.377808,31.125263,37.377866
420,13.39897,26.852214,32.031533,37.842017,32.031597,37.842075
430,13.074167,27.232858,32.927189,38.283196,32.927254,38.283254
440,12.740461,27.617805,33.812145,38.702654,33.812211,38.702712
450,12.39796,28.006843,34.686407,39.10163,34.686475,39.101688
460,12.046769,28.399773,35.55001,39.481291,35.550078,39.481349
470,11.686995,28.796408,36.403007,39.842738,36.403077,39.842796
480,11.318744,29.196571,37.245473,40.187006,37.245544,40.187064
490,10.94212,29.600094,38.077498,40.515068,38.07757,40.515126
500,10.557228,30.006821,38.899186,40.827839,38.899259,40.827898
510,10.164171,30.416603,39.710652,41.126179,39.710726,41.126238
520,9.7630489,30.829299,40.51202,41.410894,40.512096,41.410953
530,9.3539635,31.244778,41.303424,41.682741,41.3035,41.6828
540,8.9370132,31.662914,42.085001,41.94243,42.085079,41.942489
550,8.5122957,32.083588,42.856896,42.190628,42.856975,42.190687
560,8.0799071,32.50669,43.619255,42.427961,43.619335,42.42802
570,7.6399419,32.932113,44.37223,42.655015,44.372312,42.655074
580,7.1924932,33.359758,45.115974,42.872343,45.116056,42.872402
590,6.7376527,33.789529,45.850639,43.08046,45.850722,43.080519
600,6.2755102,34.221338,46.57638,43.279854,46.576464,43.279913
610,5.8061543,34.655099,47.293352,43.47098,47.293437,43.471039
620,5.3296719,35.090732,48.001709,43.654267,48.001795,43.654326
630,4.8461483,35.528159,48.701605,43.830118,48.701692,43.830177
640,4.3556675,35.96731,49.393192,43.998912,49.39328,43.998971
650,3.8583117,36.408115,50.076621,44.161005,50.07671,44.161064
660,3.3541618,36.850509,50.752042,44.316733,50.752131,44.316792
670,2.8432971,37.29443,51.419601,44.466411,51.419692,44.466471
680,2.3257955,37.739818,52.079445,44.610337,52.079537,44.610396
690,1.8017334,38.186618,52.731717,44.748791,52.73181,44.74885
700,1.2711859,38.634777,53.376558,44.882036,53.376652,44.882095
710,0.73422653,39.084243,54.014107,45.010321,54.014201,45.01038
720,0.19092759,39.534967,54.6445,45.133882,54.644595,45.133941
730,-0.35864006,39.986905,55.26787,45.252939,55.267966,45.252999
740,-0.91440685,40.440012,55.88435,45.367703,55.884446,45.367763
750,-1.4763045,40.894246,56.494067,45.478371,56.494164,45.478431
760,-2.0442661,41.349566,57.097148,45.58513,57.097246,45.585189
770,-2.6182258,41.805936,57.693716,45.688156,57.693815,45.688215
780,-3.1981191,42.263318,58.283893,45.787616,58.283993,45.787676
790,-3.7838827,42.721677,58.867797,45.88367,58.867897,45.883729
800,-4.3754545,43.18098,59.445543,45.976465,59.445644,45.976525
810,-4.9727734,43.641196,60.017246,46.066145,60.017348,46.066205
820,-5.5757796,44.102293,60.583015,46.152844,60.583118,46.152904
830,-6.1844143,44.564243,61.142961,46.23669,61.143064,46.236749
840,-6.7986198,45.027018,61.697188,46.317802,61.697292,46.317861
850,-7.4183394,45.49059,62.2458,46.396296,62.245904,46.396356
860,-8.0435174,45.954935,62.788898,46.472282,62.789004,46.472341
870,-8.6740993,46.420028,63.326583,46.545861,63.326689,46.545921
880,-9.3100313,46.885845,63.85895,46.617134,63.859057,46.617193
890,-9.9512609,47.352363,64.386095,46.686192,64.386202,46.686251
900,-10.597736,47.819562,64.908109,46.753126,64.908217,46.753185
910,-11.249406,48.287419,65.425083,46.818019,65.425191,46.818078
920,-11.906221,48.755915,65.937105,46.880952,65.937215,46.881011
930,-12.568132,49.225032,66.444262,46.942002,66.444372,46.942061
940,-13.235091,49.694749,66.946638,47.001242,66.946749,47.001301
950,-13.907049,50.165051,67.444316,47.058741,67.444427,47.0588
960,-14.583962,50.635919,67.937375,47.114566,67.937487,47.114625
970,-15.265782,51.107337,68.425895,47.16878,68.426008,47.168839
980,-15.952465,51.579289,68.909953,47.221443,68.910066,47.221502
990,-16.643966,52.051761,69.389623,47.272613,69.389737,47.272672
1000,-17.340243,52.524737,69.864979,47.322344,69.865094,47.322404
1010,-18.041251,52.998203,70.336093,47.370691,70.336208,47.37075
1020,-18.746951,53.472146,70.803036,47.417702,70.803151,47.417761
1030,-19.457299,53.946553,71.265875,47.463425,71.265991,47.463485
1040,-20.172255,54.42141,71.724678,47.507908,71.724795,47.507967
1050,-20.891779,54.896707,72.17951,47.551192,72.179627,47.551251
1060,-21.615832,55.37243,72.630436,47.593321,72.630554,47.59338
1070,-22.344375,55.848569,73.077518,47.634335,73.077636,47.634394
1080,-23.07737,56.325113,73.520818,47.674271,73.520937,47.674331
1090,-23.814779,56.802051,73.960395,47.713168,73.960514,47.713227
1100,-24.556565,57.279373,74.396308,47.75106,74.396428,47.751119
1110,-25.302693,57.757069,74.828615,47.787981,74.828735,47.788041
1120,-26.053126,58.23513,75.257371,47.823964,75.257492,47.824023
1130,-26.807829,58.713546,75.682632,47.859039,75.682754,47.859099
1140,-27.566767,59.192308,76.104451,47.893238,76.104574,47.893297
1150,-28.329906,59.671408,76.522882,47.926587,76.523004,47.926646
1160,-29.097213,60.150837,76.937974,47.959115,76.938097,47.959175
1170,-29.868655,60.630587,77.34978,47.990849,77.349903,47.990908
1180,-30.644198,61.110651,77.758347,48.021813,77.758471,48.021872
1190,-31.423811,61.591021,78.163725,48.052032,78.163849,48.052092
1200,-32.207462,62.071689,78.56596,48.08153,78.566085,48.081589
1210,-32.99512,62.552649,78.965099,48.110329,78.965224,48.110388
1220,-33.786754,63.033894,79.361187,48.13845,79.361313,48.13851
1230,-34.582334,63.515416,79.754268,48.165915,79.754395,48.165975
1240,-35.381829,63.99721,80.144387,48.192744,80.144514,48.192803
1250,-36.185212,64.479269,80.531585,48.218956,80.531712,48.219015
1260,-36.992452,64.961587,80.915904,48.244569,80.916032,48.244628
1270,-37.80352,65.444158,81.297385,48.269601,81.297513,48.269661
1280,-38.61839,65.926977,81.676068,48.294071,81.676197,48.29413
1290,-39.437033,66.410038,82.051993,48.317993,82.052122,48.318053
1300,-40.259421,66.893335,82.425197,48.341385,82.425327,48.341444
1310,-41.085528,67.376864,82.795719,48.364262,82.795849,48.364321
1320,-41.915326,67.860619,83.163595,48.386638,83.163726,48.386697
1330,-42.748791,68.344595,83.528862,48.408528,83.528993,48.408588
1340,-43.585895,68.828788,83.891554,48.429947,83.891686,48.430006
1350,-44.426613,69.313192,84.251708,48.450906,84.25184,48.450965
1360,-45.270921,69.797804,84.609357,48.471419,84.609489,48.471479
1370,-46.118792,70.282619,84.964534,48.491499,84.964667,48.491559
1380,-46.970203,70.767633,85.317273,48.511158,85.317406,48.511217
1390,-47.82513,71.252841,85.667605,48.530407,85.667739,48.530466
1400,-48.683547,71.73824,86.015562,48.549257,86.015697,48.549316
1410,-49.545433,72.223825,86.361176,48.56772,86.361311,48.567779
1420,-50.410763,72.709593,86.704476,48.585805,86.704611,48.585864
1430,-51.279515,73.19554,87.045493,48.603523,87.045629,48.603583
1440,-52.151666,73.681662,87.384255,48.620884,87.384392,48.620943
1450,-53.027193,74.167956,87.720793,48.637897,87.720929,48.637956
1460,-53.906074,74.654419,88.055132,48.654572,88.055269,48.654631
1470,-54.788288,75.141047,88.387303,48.670916,88.38744,48.670975
1480,-55.673813,75.627836,88.717331,48.686939,88.717468,48.686999
1490,-56.562628,76.114785,89.045243,48.70265,89.045381,48.702709
1500,-57.454711,76.601888,89.371066,48.718055,89.371205,48.718114
1510,-58.350042,77.089145,89.694826,48.733164,89.694965,48.733223
1520,-59.248601,77.576551,90.016547,48.747982,90.016686,48.748042
1530,-60.150366,78.064103,90.336255,48.762519,90.336394,48.762578
1540,-61.055319,78.5518,90.653974,48.77678,90.654114,48.77684
1550,-61.963439,79.039638,90.969727,48.790773,90.969868,48.790833
1560,-62.874707,79.527615,91.28354,48.804505,91.28368,48.804564
1570,-63.789104,80.015727,91.595434,48.817981,91.595575,48.81804
1580,-64.70661,80.503973,91.905432,48.831208,91.905574,48.831267
1590,-65.627206,80.992351,92.213558,48.844192,92.2137,48.844251
1600,-66.550875,81.480857,92.519832,48.856939,92.519974,48.856999
1610,-67.477597,81.969489,92.824277,48.869455,92.824419,48.869514
1620,-68.407354,82.458245,93.126913,48.881745,93.127056,48.881804
1630,-69.340129,82.947123,93.427762,48.893815,93.427905,48.893874
1640,-70.275903,83.43612,93.726844,48.905669,93.726988,48.905728
1650,-71.21466,83.925236,94.024179,48.917313,94.024323,48.917372
1660,-72.156381,84.414466,94.319788,48.928752,94.319932,48.928811
1670,-73.10105,84.90381,94.613689,48.93999,94.613833,48.940049
1680,-74.048649,85.393265,94.905902,48.951033,94.906047,48.951092
1690,-74.999163,85.88283,95.196445,48.961884,95.196591,48.961943
1700,-75.952573,86.372502,95.485338,48.972548,95.485484,48.972607
1710,-76.908864,86.86228,95.772599,48.983029,95.772745,48.983088
1720,-77.868019,87.352162,96.058245,48.993332,96.058392,48.993391
1730,-78.830023,87.842146,96.342295,49.00346,96.342442,49.003519
1740,-79.79486,88.332231,96.624765,49.013418,96.624912,49.013477
1750,-80.762513,88.822414,96.905673,49.023208,96.905821,49.023267
1760,-81.732968,89.312694,97.185036,49.032836,97.185184,49.032895
1770,-82.706209,89.80307,97.46287,49.042303,97.463018,49.042363
1780,-83.682221,90.29354,97.739191,49.051615,97.73934,49.051674
1790,-84.660988,90.784102,98.014017,49.060774,98.014166,49.060833
1800,-85.642496,91.274755,98.287362,49.069783,98.287511,49.069843
1810,-86.62673,91.765497,98.559242,49.078647,98.559391,49.078706
1820,-87.613676,92.256327,98.829672,49.087367,98.829822,49.087426
1830,-88.603319,92.747244,99.098668,49.095947,99.098819,49.096006
1840,-89.595645,93.238246,99.366245,49.10439,99.366395,49.104449
1850,-90.590639,93.729332,99.632417,49.112699,99.632567,49.112758
1860,-91.588288,94.220499,99.897198,49.120877,99.897349,49.120936
1870,-92.588579,94.711749,100.1606,49.128926,100.16075,49.128985
1880,-93.591496,95.203078,100.42265,49.136849,100.4228,49.136908
1890,-94.597027,95.694485,100.68334,49.144648,100.68349,49.144708
1900,-95.605158,96.18597,100.9427,49.152327,100.94285,49.152387
1910,-96.615877,96.677531,101.20074,49.159888,101.20089,49.159947
1920,-97.629169,97.169168,101.45747,49.167333,101.45762,49.167392
1930,-98.645022,97.660878,101.7129,49.174664,101.71305,49.174723
1940,-99.663422,98.15266,101.96705,49.181883,101.96721,49.181943
1950,-100.68436,98.644515,102.21994,49.188994,102.22009,49.189053
1960,-101.70782,99.13644,102.47156,49.195998,102.47171,49.196057
1970,-102.73379,99.628435,102.72194,49.202897,102.72209,49.202957
1980,-103.76225,100.1205,102.97109,49.209694,102.97124,49.209753
1990,-104.7932,100.61263,103.21901,49.21639,103.21917,49.216449
2000,-105.82663,101.10483,103.46573,49.222987,103.46588,49.223046
2010,-106.86251,101.59709,103.71124,49.229487,103.7114,49.229546
2020,-107.90085,102.08941,103.95558,49.235893,103.95573,49.235952
2030,-108.94162,102.58181,104.19873,49.242205,104.19889,49.242264
2040,-109.98482,103.07426,104.44072,49.248426,104.44088,49.248485
2050,-111.03043,103.56677,104.68156,49.254558,104.68172,49.254617
2060,-112.07845,104.05935,104.92126,49.260601,104.92142,49.260661
2070,-113.12885,104.55198,105.15983,49.266559,105.15998,49.266618
2080,-114.18164,105.04468,105.39727,49.272432,105.39743,49.272491
2090,-115.23679,105.53743,105.6336,49.278222,105.63376,49.278281
2100,-116.29431,106.03024,105.86883,49.283931,105.86899,49.28399
2110,-117.35417,106.52311,106.10298,49.28956,106.10313,49.289619
2120,-118.41636,107.01604,106.33604,49.29511,106.3362,49.295169
2130,-119.48089,107.50901,106.56803,49.300584,106.56819,49.300643
2140,-120.54772,108.00205,106.79896,49.305982,106.79912,49.306041
2150,-121.61686,108.49513,107.02883,49.311305,107.02899,49.311365
2160,-122.68829,108.98827,107.25767,49.316556,107.25783,49.316615
2170,-123.76201,109.48146,107.48547,49.321736,107.48563,49.321795
2180,-124.838,109.97471,107.71225,49.326845,107.71241,49.326904
2190,-125.91625,110.468,107.93802,49.331885,107.93818,49.331944
2200,-126.99676,110.96134,108.16277,49.336858,108.16293,49.336917
