temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,3.1923237,3.1923237,0,0,0,0
10,3.1923056,3.1923875,0.0081961629,0.027712684,0.0081961912,0.027712777
20,3.1919435,3.1936015,0.082895314,0.28283625,0.082895601,0.28283726
30,3.1900439,3.2002202,0.33921058,1.1789931,0.33921177,1.1789971
40,3.1841519,3.2199024,0.89376381,2.8741584,0.89376679,2.8741672
50,3.1711014,3.2593965,1.7659033,5.0760853,1.7659088,5.0760991
60,3.1479636,3.3218716,2.8984656,7.4169669,2.898474,7.416985
70,3.1125305,3.4073576,4.2118148,9.6488096,4.2118262,9.648831
80,3.0633669,3.5140777,5.6338851,11.652411,5.6338996,11.652435
90,2.9996765,3.6395241,7.1094174,13.392883,7.1094348,13.392909
100,2.9211314,3.7810861,8.5995471,14.879123,8.5995672,14.87915
110,2.8277241,3.9363496,10.078413,16.138423,10.078436,16.13845
120,2.7196561,4.1032059,11.529581,17.203069,11.529606,17.203097
130,2.5972584,4.2798662,12.943137,18.104145,12.943164,18.104173
140,2.4609375,4.4648356,14.313558,18.869119,14.313587,18.869148
150,2.3111399,4.6568729,15.63822,19.521269,15.638251,19.521299
160,2.1483282,4.8549496,16.916383,20.079897,16.916417,20.079927
170,1.9729658,5.0582122,18.148508,20.560833,18.148543,20.560862
180,1.7855076,5.2659506,19.335795,20.977001,19.335832,20.977031
190,1.5863939,5.4775717,20.479883,21.338946,20.479921,21.338975
200,1.3760477,5.6925777,21.58265,21.655279,21.58269,21.655309
210,1.1548721,5.9105489,22.64608,21.933059,22.646122,21.933088
220,0.9232505,6.1311298,23.672179,22.178089,23.672221,22.178118
230,0.68154635,6.3540176,24.662918,22.395162,24.662963,22.395192
240,0.43010363,6.5789532,25.620206,22.588258,25.620252,22.588288
250,0.16924765,6.8057139,26.545865,22.760691,26.545912,22.760721
260,-0.10071401,7.0341074,27.441621,22.91524,27.441669,22.91527
270,-0.37949053,7.2639669,28.309102,23.054243,28.309151,23.054273
280,-0.6668069,7.4951471,29.149836,23.179676,29.149886,23.179706
290,-0.96240287,7.7275208,29.965254,23.293217,29.965305,23.293247
298.15,-1.2092659,7.9177104,30.612028,23.377958,30.61208,23.377988
300,-1.2660321,7.9609766,30.756696,23.396298,30.756748,23.396328
310,-1.577461,8.1954161,31.52541,23.490146,31.525463,23.490176
320,-1.8964684,8.4307523,32.272565,23.575816,32.272619,23.575845
330,-2.2228441,8.6669082,32.999249,23.654216,32.999304,23.654246
340,-2.5563886,8.903815,33.706481,23.726138,33.706537,23.726168
350,-2.8969121,9.1414116,34.39521,23.792266,34.395267,23.792296
360,-3.2442341,9.379643,35.066325,23.8532,35.066383,23.85323
370,-3.5981826,9.6184601,35.720656,23.909464,35.720714,23.909494
380,-3.9585938,9.8578183,36.358979,23.961519,36.359038,23.961548
390,-4.3253113,10.097678,36.982023,24.009769,36.982083,24.009799
400,-4.6981856,10.338002,37.59047,24.054574,37.59053,24.054604
410,-5.0770742,10.578759,38.184958,24.096251,38.18502,24.096281
420,-5.4618403,10.819918,38.766091,24.135082,38.766153,24.135112
430,-5.8523533,11.061452,39.334431,24.171319,39.334493,24.171349
440,-6.248488,11.303336,39.89051,24.205186,39.890573,24.205215
450,-6.6501243,11.545548,40.434828,24.236883,40.434892,24.236913
460,-7.057147,11.788067,40.967857,24.266591,40.967922,24.266621
470,-7.4694453,12.030874,41.490041,24.294472,41.490107,24.294502
480,-7.886913,12.273951,42.0018,24.320672,42.001866,24.320701
490,-8.3094479,12.517282,42.503531,24.345322,42.503598,24.345351
500,-8.7369515,12.760853,42.995608,24.368541,42.995676,24.368571
510,-9.1693291,13.004649,43.478388,24.390438,43.478456,24.390468
520,-9.6064894,13.248657,43.952205,24.41111,43.952274,24.41114
530,-10.048344,13.492867,44.41738,24.430647,44.417449,24.430677
540,-10.494809,13.737267,44.874215,24.44913,44.874284,24.44916
550,-10.945802,13.981846,45.322997,24.466633,45.323067,24.466663
560,-11.401243,14.226596,45.763999,24.483224,45.76407,24.483254
570,-11.861057,14.471508,46.197482,24.498965,46.197553,24.498994
580,-12.325169,14.716573,46.623693,24.513912,46.623764,24.513942
590,-12.793507,14.961784,47.042866,24.528118,47.042938,24.528148
600,-13.266003,15.207133,47.455227,24.541631,47.4553,24.541661
610,-13.74259,15.452614,47.86099,24.554495,47.861063,24.554525
620,-14.223202,15.698221,48.260359,24.566751,48.260433,24.566781
630,-14.707776,15.943947,48.65353,24.578437,48.653604,24.578466
640,-15.196252,16.189788,49.040688,24.589586,49.040762,24.589616
650,-15.688571,16.435738,49.422012,24.600232,49.422087,24.600262
660,-16.184674,16.681791,49.797674,24.610404,49.797749,24.610434
