temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,8.3079,7.802,2.73189,2.548,6.48422,0.183891
200,27.3578,26.681,14.7666,14.096,2.5366,0.670619
298.15,37.2386,37.106,27.7751,26.924,0.357485,0.851093
300,37.3634,37.244,28.0058,27.154,0.320703,0.851829
400,42.1799,42.561,39.4927,38.678,-0.895345,0.81471
500,44.7313,45.544,49.2065,48.523,-1.78433,0.683476
600,46.2164,47.43,57.5044,57.006,-2.55877,0.498437
700,47.1483,48.748,64.7039,64.42,-3.28163,0.283871
800,47.7685,49.74,71.0428,70.996,-3.96364,0.0467585
900,48.2009,50.539,76.6955,76.902,-4.6263,-0.206517
1000,48.5139,51.208,81.791,82.262,-5.26109,-0.471004
1100,48.7475,51.794,86.4263,87.171,-5.882,-0.744664
1200,48.9263,52.325,90.6759,91.701,-6.4954,-1.02508
1300,49.0661,52.81,94.5979,95.908,-7.08933,-1.31015
1400,49.1775,53.262,98.2383,99.839,-7.66865,-1.60073
1500,49.2677,53.693,101.634,103.528,-8.2419,-1.89365
1600,49.3416,54.107,104.816,107.007,-8.80728,-2.19055
1700,49.4031,54.509,107.81,110.299,-9.36711,-2.48933
1800,49.4547,54.898,110.635,113.426,-9.91538,-2.79103
1900,49.4984,55.278,113.31,116.404,-10.4556,-3.09395
2000,49.5357,55.651,115.85,119.249,-10.9886,-3.39904
2100,49.5679,56.019,118.268,121.973,-11.5159,-3.70539
