temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,8.36208,7.802,2.75309,2.548,7.17867,0.205086
200,27.4325,26.681,14.8379,14.096,2.81643,0.74188
298.15,37.291,37.106,27.872,26.924,0.498483,0.948041
300,37.4154,37.244,28.1031,27.154,0.460122,0.9491
400,42.2147,42.561,39.6024,38.678,-0.81357,0.924384
500,44.7556,45.544,49.3227,48.523,-1.73108,0.799688
600,46.234,47.43,57.6244,57.006,-2.52153,0.618444
700,47.1616,48.748,64.8263,64.42,-3.25423,0.406256
800,47.7789,49.74,71.1667,70.996,-3.94268,0.170724
900,48.2093,50.539,76.8205,76.902,-4.60978,-0.0814503
1000,48.5207,51.208,81.9169,82.262,-5.24776,-0.34514
1100,48.7532,51.794,86.5528,87.171,-5.87103,-0.618206
1200,48.9311,52.325,90.8028,91.701,-6.48623,-0.898169
1300,49.0702,52.81,94.7251,95.908,-7.08155,-1.18288
1400,49.1811,53.262,98.3658,99.839,-7.66198,-1.47318
1500,49.2708,53.693,101.762,103.528,-8.23612,-1.76587
1600,49.3444,54.107,104.944,107.007,-8.80222,-2.06258
1700,49.4055,54.509,107.938,110.299,-9.36266,-2.36121
1800,49.4568,54.898,110.763,113.426,-9.91144,-2.66277
1900,49.5003,55.278,113.438,116.404,-10.4521,-2.96558
2000,49.5375,55.651,115.978,119.249,-10.9854,-3.27058
2100,49.5695,56.019,118.396,121.973,-11.513,-3.57684
