temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,13.908841,13.908841,0,0,0,0
10,13.90884,13.908845,0.00051230987,0.0027744171,0.00051231233,0.0027744289
20,13.908799,13.909008,0.010458434,0.03833197,0.010458472,0.038332101
30,13.908555,13.909856,0.043342661,0.14809254,0.043342812,0.14809305
40,13.9078,13.912455,0.1163769,0.40465087,0.11637731,0.40465233
50,13.906007,13.918793,0.25570693,0.91365658,0.25570784,0.9136599
60,13.902363,13.931864,0.49169083,1.7614276,0.49169259,1.7614339
70,13.895765,13.95525,0.84978515,2.9759037,0.84978814,2.9759138
80,13.884909,13.99251,1.3450186,4.5275082,1.3450232,4.5275226
90,13.868394,14.046704,1.9812269,6.3498523,1.9812335,6.3498714
100,13.844831,14.12014,2.7530858,8.3620801,2.7530947,8.362104
110,13.812918,14.214314,3.649052,10.485061,3.6490633,10.48509
120,13.771486,14.32998,4.654117,12.650344,4.654131,12.650376
130,13.719527,14.467279,5.7519406,14.803553,5.7519573,14.803589
140,13.656193,14.625876,6.9263071,16.904394,6.9263266,16.904434
150,13.580796,14.805098,8.1620126,18.924958,8.1620349,18.925
160,13.492794,15.004047,9.4453317,20.847422,9.4453568,20.847467
170,13.391771,15.221685,10.764201,22.661752,10.764229,22.661799
180,13.277426,15.456907,12.108226,24.363678,12.108257,24.363727
190,13.149552,15.708583,13.468584,25.953032,13.468618,25.953082
200,13.008025,15.975601,14.83788,27.432452,14.837916,27.432504
210,12.852786,16.256881,16.209977,28.806403,16.210016,28.806456
220,12.683833,16.551396,17.579832,30.080455,17.579873,30.080509
230,12.50121,16.858177,18.943336,31.260763,18.943379,31.260818
240,12.304998,17.17632,20.297173,32.35371,20.297218,32.353765
250,12.095308,17.504982,21.638695,33.365654,21.638743,33.36571
260,11.872273,17.843384,22.965811,34.30277,22.965862,34.302826
270,11.636045,18.190807,24.276897,35.170944,24.276949,35.171001
280,11.386792,18.546591,25.57071,35.975721,25.570765,35.975778
290,11.124692,18.910128,26.846331,36.722266,26.846387,36.722324
298.15,10.901706,19.211755,27.872041,37.290967,27.872099,37.291025
300,10.849928,19.280858,28.1031,37.415368,28.103158,37.415426
310,10.562694,19.658271,29.340573,38.059435,29.340633,38.059493
320,10.263182,20.041897,30.558484,38.658515,30.558546,38.658573
330,9.9515898,20.431304,31.75671,39.216312,31.756774,39.216371
340,9.6281137,20.826097,32.935245,39.736211,32.935311,39.736269
350,9.2929503,21.225912,34.094178,40.221298,34.094245,40.221357
360,8.9462949,21.630416,35.233671,40.674388,35.23374,40.674447
370,8.5883409,22.039302,36.353949,41.098044,36.35402,41.098103
380,8.2192791,22.452287,37.455284,41.494601,37.455356,41.49466
390,7.8392974,22.869111,38.537983,41.866186,38.538057,41.866245
400,7.4485804,23.289534,39.602384,42.214737,39.602459,42.214796
410,7.0473095,23.713335,40.648842,42.54202,40.648919,42.542079
420,6.6356621,24.140309,41.67773,42.849648,41.677808,42.849707
430,6.2138122,24.570267,42.68943,43.139091,42.689509,43.13915
440,5.7819295,25.003035,43.684329,43.411691,43.68441,43.411751
450,5.3401803,25.438449,44.662819,43.668679,44.662901,43.668738
460,4.8887266,25.87636,45.62529,43.911176,45.625373,43.911235
470,4.4277266,26.316628,46.57213,44.140211,46.572214,44.140271
480,3.9573348,26.759122,47.503724,44.356729,47.50381,44.356788
490,3.4777017,27.203723,48.420452,44.561593,48.420539,44.561652
500,2.9889741,27.650318,49.322688,44.755599,49.322776,44.755658
510,2.491295,28.098801,50.210797,44.939477,50.210887,44.939537
520,1.984804,28.549076,51.085138,45.1139,51.085229,45.113959
530,1.469637,29.00105,51.946062,45.279486,51.946154,45.279545
540,0.94592634,29.454638,52.793911,45.436807,52.794004,45.436866
550,0.41380122,29.90976,53.629017,45.586389,53.629111,45.586448
560,-0.1266126,30.366342,54.451704,45.728719,54.451799,45.728778
570,-0.67519252,30.824312,55.262289,45.864248,55.262385,45.864307
580,-1.2318191,31.283605,56.061077,45.993391,56.061174,45.99345
590,-1.7963757,31.74416,56.848366,46.116536,56.848464,46.116595
600,-2.368749,32.205917,57.624444,46.234039,57.624543,46.234098
610,-2.9488282,32.668823,58.389592,46.346234,58.389692,46.346293
620,-3.5365053,33.132825,59.144082,46.453428,59.144183,46.453488
630,-4.1316752,33.597876,59.888176,46.55591,59.888278,46.555969
640,-4.734235,34.063929,60.622131,46.653946,60.622234,46.654005
650,-5.3440848,34.530941,61.346193,46.747785,61.346297,46.747844
660,-5.9611267,34.998871,62.060603,46.837659,62.060708,46.837719
670,-6.5852655,35.467682,62.765592,46.923785,62.765698,46.923845
680,-7.2164079,35.937335,63.461387,47.006365,63.461493,47.006424
690,-7.8544633,36.407798,64.148204,47.085588,64.148312,47.085647
700,-8.4993428,36.879036,64.826256,47.16163,64.826364,47.161689
710,-9.1509599,37.35102,65.495747,47.234657,65.495856,47.234716
720,-9.8092299,37.82372,66.156875,47.304824,66.156985,47.304884
730,-10.47407,38.297108,66.809832,47.372277,66.809943,47.372337
740,-11.1454,38.771157,67.454806,47.437152,67.454918,47.437211
750,-11.82314,39.245842,68.091977,47.499576,68.092089,47.499636
760,-12.507214,39.721141,68.721519,47.559671,68.721632,47.55973
770,-13.197546,40.197028,69.343603,47.617548,69.343717,47.617608
780,-13.894062,40.673485,69.958393,47.673315,69.958507,47.673375
790,-14.59669,41.150488,70.566048,47.727072,70.566164,47.727132
800,-15.305359,41.62802,71.166724,47.778913,71.16684,47.778973
810,-16.020002,42.10606,71.76057,47.828927,71.760687,47.828986
820,-16.740549,42.584592,72.347733,47.877198,72.347851,47.877257
830,-17.466934,43.063599,72.928353,47.923805,72.928472,47.923864
840,-18.199094,43.543063,73.502568,47.968823,73.502688,47.968882
850,-18.936965,44.02297,74.070512,48.012322,74.070632,48.012382
860,-19.680484,44.503305,74.632313,48.054371,74.632433,48.05443
870,-20.429591,44.984053,75.188096,48.09503,75.188218,48.09509
880,-21.184226,45.465201,75.737986,48.134362,75.738107,48.134421
890,-21.944332,45.946736,76.282098,48.172422,76.282221,48.172481
900,-22.709849,46.428645,76.82055,48.209263,76.820673,48.209323
910,-23.480724,46.910917,77.353452,48.244938,77.353576,48.244997
920,-24.2569,47.39354,77.880914,48.279494,77.881038,48.279554
930,-25.038324,47.876504,78.403041,48.312978,78.403166,48.313037
940,-25.824944,48.359796,78.919936,48.345432,78.920062,48.345491
950,-26.616706,48.843409,79.4317,48.376899,79.431826,48.376958
960,-27.413561,49.327331,79.938429,48.407417,79.938556,48.407476
970,-28.215458,49.811554,80.440219,48.437024,80.440347,48.437083
980,-29.022349,50.296069,80.937161,48.465756,80.937289,48.465815
990,-29.834186,50.780867,81.429346,48.493646,81.429474,48.493706
1000,-30.65092,51.265939,81.91686,48.520728,81.916989,48.520787
1010,-31.472508,51.751278,82.399788,48.547031,82.399918,48.54709
1020,-32.298901,52.236877,82.878214,48.572585,82.878345,48.572644
1030,-33.130057,52.722728,83.352218,48.597418,83.35235,48.597477
1040,-33.965931,53.208823,83.821879,48.621557,83.822011,48.621616
1050,-34.80648,53.695157,84.287273,48.645027,84.287406,48.645086
1060,-35.651663,54.181722,84.748476,48.667852,84.748609,48.667911
1070,-36.501436,54.668512,85.205559,48.690056,85.205692,48.690115
1080,-37.35576,55.155521,85.658594,48.711661,85.658728,48.71172
1090,-38.214595,55.642743,86.107649,48.732688,86.107784,48.732747
1100,-39.0779,56.130173,86.552794,48.753158,86.552929,48.753217
1110,-39.945638,56.617804,86.994092,48.773089,86.994228,48.773148
1120,-40.817769,57.105633,87.431609,48.792501,87.431745,48.79256
1130,-41.694258,57.593653,87.865407,48.811411,87.865544,48.81147
1140,-42.575065,58.081859,88.295548,48.829837,88.295685,48.829896
1150,-43.460157,58.570248,88.722091,48.847794,88.722229,48.847853
1160,-44.349495,59.058814,89.145094,48.865298,89.145232,48.865357
1170,-45.243047,59.547552,89.564615,48.882365,89.564754,48.882424
1180,-46.140776,60.03646,89.980708,48.899008,89.980848,48.899068
1190,-47.04265,60.525531,90.393429,48.915242,90.393569,48.915301
1200,-47.948634,61.014763,90.802831,48.93108,90.802971,48.931139
1210,-48.858696,61.504151,91.208964,48.946534,91.209105,48.946593
1220,-49.772802,61.993693,91.611881,48.961617,91.612022,48.961676
1230,-50.690923,62.483383,92.01163,48.976341,92.011772,48.9764
1240,-51.613025,62.973218,92.40826,48.990716,92.408403,48.990775
1250,-52.539078,63.463196,92.801819,49.004753,92.801961,49.004813
1260,-53.469051,63.953312,93.192352,49.018464,93.192495,49.018523
1270,-54.402915,64.443564,93.579904,49.031858,93.580048,49.031917
1280,-55.340639,64.933948,93.964521,49.044945,93.964666,49.045004
1290,-56.282195,65.424462,94.346246,49.057733,94.346391,49.057792
