temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,13.944778,13.944778,0,0,0,0
10,13.944777,13.944782,0.00050470171,0.0027405545,0.00050470414,0.0027405662
20,13.944736,13.944943,0.010360596,0.038009967,0.010360633,0.038010098
30,13.944494,13.945784,0.042973578,0.14686462,0.042973727,0.14686513
40,13.943745,13.948361,0.11538432,0.40111683,0.11538473,0.40111827
50,13.941968,13.954642,0.25347866,0.90551169,0.25347957,0.90551498
60,13.938356,13.967599,0.48737947,1.7460986,0.48738122,1.7461048
70,13.931816,13.990786,0.84243898,2.9513607,0.84244195,2.9513707
80,13.921052,14.02775,1.333733,4.492745,1.3337376,4.4927593
90,13.904673,14.081546,1.9652551,6.3049321,1.9652616,6.3049511
100,13.881295,14.154485,2.7318913,8.3078986,2.7319,8.3079223
110,13.849622,14.248076,3.6223125,10.42302,3.6223237,10.423048
120,13.808486,14.36309,4.6216994,12.582056,4.6217133,12.582088
130,13.756878,14.499681,5.7138638,14.730636,5.7138804,14.730672
140,13.693953,14.657531,6.882703,16.828337,6.8827224,16.828376
150,13.619019,14.835983,8.1130913,18.847057,8.1131135,18.847099
160,13.531532,15.034148,9.3913534,20.768763,9.3913784,20.768808
170,13.431073,15.251,10.705454,22.583213,10.705482,22.58326
180,13.317338,15.48544,12.04501,24.285949,12.04504,24.285998
190,13.190118,15.736345,13.401199,25.876641,13.401232,25.876691
200,13.049283,16.002607,14.766619,27.357791,14.766655,27.357842
210,12.894775,16.28315,16.135121,28.733751,16.135159,28.733803
220,12.726588,16.57695,17.501646,30.010001,17.501687,30.010054
230,12.544763,16.883038,18.862069,31.192626,18.862112,31.192681
240,12.349378,17.200511,20.213056,32.287953,20.213102,32.288009
250,12.140542,17.528528,21.551943,33.302298,21.551991,33.302354
260,11.918386,17.866308,22.876621,34.241802,22.876671,34.241859
270,11.683062,18.213134,24.18545,35.11233,24.185502,35.112386
280,11.434735,18.568343,25.477173,35.919405,25.477228,35.919462
290,11.173579,18.931328,26.750857,36.668183,26.750913,36.66824
298.15,10.951377,19.232521,27.775093,37.238648,27.775151,37.238706
300,10.89978,19.301528,28.005829,37.363443,28.005887,37.3635
310,10.613526,19.678433,29.241633,38.009588,29.241693,38.009645
320,10.315012,20.06157,30.457994,38.610662,30.458056,38.610721
330,10.004432,20.450508,31.654777,39.170371,31.654841,39.170429
340,9.6819817,20.844851,32.831968,39.692097,32.832033,39.692155
350,9.3478574,21.244234,33.989647,40.178928,33.989714,40.178987
360,9.0022533,21.648322,35.12797,40.633682,35.128039,40.633741
370,8.6453618,22.056809,36.247155,41.058924,36.247225,41.058982
