temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.4370236,5.4370236,0,0,0,0
10,5.4369514,5.4372836,0.033227263,0.1133559,0.033227378,0.11335628
20,5.4354356,5.4424636,0.35140092,1.2044758,0.35140214,1.20448
30,5.4275888,5.4683557,1.3588957,4.3229401,1.3589002,4.3229535
40,5.405346,5.5345117,3.2291409,9.0977804,3.2291508,9.0978052
50,5.3605444,5.6522726,5.834564,14.472394,5.8345806,14.472429
60,5.2870035,5.823182,8.9363086,19.629229,8.9363323,19.629271
70,5.1809093,6.0428085,12.312846,24.181092,12.312877,24.18114
80,5.0403811,6.3044557,15.800932,28.032854,15.80097,28.032906
90,4.8648811,6.6012745,19.29326,31.22871,19.293304,31.228764
100,4.6547233,6.9271519,22.724286,33.861266,22.724335,33.861322
110,4.4107264,7.276952,26.056596,36.029075,26.056651,36.029132
120,4.1339864,7.6464799,29.270779,37.820325,29.270839,37.820382
130,3.8257328,8.0323498,32.358592,39.30849,32.358657,39.308548
140,3.4872411,8.4318382,35.31855,40.552808,35.318619,40.552867
150,3.1197799,8.8427511,38.153141,41.600337,38.153214,41.600395
160,2.7245806,9.2633137,40.867082,42.488255,40.867159,42.488314
170,2.3028209,9.6920827,43.466246,43.245938,43.466326,43.245997
180,1.8556171,10.127877,45.956997,43.896666,45.957081,43.896725
190,1.3840208,10.569722,48.345794,44.458972,48.345881,44.459031
200,0.88901992,11.016811,50.638955,44.947695,50.639045,44.947754
210,0.3715403,11.46847,52.842524,45.37479,52.842617,45.37485
220,-0.16755097,11.924134,54.962204,45.74995,54.9623,45.75001
230,-0.72744196,12.383323,57.003325,46.081083,57.003424,46.081142
240,-1.3073722,12.845631,58.970845,46.374681,58.970946,46.374741
250,-1.9066289,13.310709,60.869353,46.636108,60.869456,46.636167
260,-2.5245434,13.77826,62.703091,46.86982,62.703197,46.869879
270,-3.1604879,14.248026,64.475977,47.07954,64.476084,47.079599
280,-3.8138721,14.719782,66.191621,47.268397,66.191731,47.268456
290,-4.4841406,15.193333,67.853358,47.439033,67.85347,47.439092
298.15,-5.042533,15.580486,69.169945,47.566192,69.170059,47.566252
300,-5.1707699,15.668509,69.464263,47.59369,69.464378,47.59375
310,-5.873266,16.14516,71.027181,47.734281,71.027297,47.73434
320,-6.5911623,16.623153,72.544736,47.862442,72.544854,47.862501
330,-7.3240176,17.102372,74.019363,47.979581,74.019483,47.979641
340,-8.071414,17.582712,75.453313,48.086917,75.453434,48.086976
350,-8.8329553,18.064081,76.848676,48.185503,76.848799,48.185562
360,-9.6082654,18.546396,78.207393,48.276257,78.207518,48.276316
370,-10.396987,19.029583,79.53127,48.35998,79.531397,48.36004
380,-11.19878,19.513575,80.821987,48.437376,80.822115,48.437435
390,-12.013321,19.998312,82.08111,48.509062,82.08124,48.509121
400,-12.840302,20.483739,83.310102,48.575581,83.310233,48.57564
410,-13.679428,20.969808,84.51033,48.637416,84.510462,48.637476
420,-14.530417,21.456473,85.683071,48.694994,85.683205,48.695054
430,-15.393001,21.943694,86.829525,48.748695,86.829661,48.748754
440,-16.266924,22.431435,87.950815,48.798856,87.950952,48.798916
450,-17.151937,22.919661,89.047996,48.845782,89.048134,48.845841
460,-18.047807,23.408341,90.122059,48.889742,90.122199,48.889801
470,-18.954305,23.897447,91.173939,48.93098,91.17408,48.931039
