temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.5633845,5.5633845,0,0,0,0
10,5.5633162,5.5636318,0.031564082,0.10797339,0.031564192,0.10797376
20,5.5618732,5.5685647,0.33457248,1.146568,0.33457364,1.146572
30,5.5544044,5.5932029,1.2932837,4.1143066,1.293288,4.1143194
40,5.5332273,5.6562749,3.0761897,8.6902122,3.0761992,8.690236
50,5.4904917,5.7691173,5.5725132,13.907984,5.5725291,13.908018
60,5.420132,5.9339103,8.5629715,18.982464,8.5629943,18.982506
70,5.3182911,6.1469254,11.837633,23.513958,11.837663,23.514005
80,5.1829678,6.4019708,15.237537,27.384383,15.237573,27.384434
90,5.0134842,6.6924892,18.655612,30.61933,18.655654,30.619384
100,4.8100214,7.012507,22.024856,33.299446,22.024905,33.299502
110,4.5732829,7.3569354,25.305932,35.516463,25.305986,35.51652
120,4.3042688,7.7215762,28.477562,37.35502,28.477621,37.355078
130,4.0041301,8.1030153,31.529886,38.886956,31.529949,38.887014
140,3.6740786,8.4984901,34.460082,40.170929,34.46015,40.170987
150,3.3153312,8.9057651,37.26956,41.253963,37.269631,41.254022
160,2.9290771,9.3230252,39.962175,42.173479,39.962251,42.173538
170,2.51646,9.7487894,42.543114,42.959202,42.543193,42.959261
180,2.0785677,10.181843,45.018194,43.634796,45.018276,43.634856
190,1.6164289,10.621182,47.393436,44.219169,47.393521,44.219229
200,1.1310119,11.065973,49.674805,44.727505,49.674894,44.727565
210,0.62322645,11.515519,51.868062,45.172069,51.868153,45.172128
220,0.093926084,11.969235,53.978677,45.562825,53.978772,45.562884
230,-0.4560888,12.426624,56.011794,45.907917,56.011891,45.907977
240,-1.0260675,12.887264,57.972213,46.214045,57.972313,46.214104
250,-1.6153057,13.350793,59.864396,46.486748,59.864498,46.486807
260,-2.2231418,13.816903,61.692479,46.730636,61.692583,46.730695
270,-2.8489543,14.285323,63.460287,46.949564,63.460393,46.949623
280,-3.4921584,14.755822,65.171357,47.146774,65.171466,47.146834
290,-4.1522033,15.228195,66.828961,47.325008,66.829072,47.325068
298.15,-4.7022341,15.614443,68.142468,47.45786,68.14258,47.45792
300,-4.8285695,15.702266,68.43612,47.486593,68.436232,47.486652
310,-5.5207669,16.177878,69.99563,47.633514,69.995745,47.633574
320,-6.228332,16.654893,71.510079,47.767475,71.510196,47.767534
330,-6.9508263,17.13319,72.981866,47.889939,72.981985,47.889998
340,-7.6878345,17.612658,74.413214,48.002172,74.413334,48.002231
350,-8.4389627,18.093203,75.806186,48.105273,75.806308,48.105332
360,-9.2038367,18.574736,77.162703,48.200197,77.162827,48.200256
370,-9.9821012,19.057182,78.484549,48.28778,78.484674,48.287839
380,-10.773418,19.54047,79.773388,48.368753,79.773515,48.368813
390,-11.577464,20.024537,81.030773,48.443761,81.030901,48.44382
400,-12.393933,20.509327,82.258151,48.513371,82.258281,48.51343
410,-13.222532,20.994788,83.456878,48.578085,83.457009,48.578144
420,-14.062979,21.480874,84.628222,48.638349,84.628355,48.638409
430,-14.915009,21.967542,85.773373,48.69456,85.773508,48.694619
440,-15.778363,22.454753,86.893446,48.747071,86.893581,48.74713
450,-16.652798,22.942472,87.989488,48.796197,87.989625,48.796256
460,-17.538076,23.430666,89.062484,48.842222,89.062622,48.842281
470,-18.433974,23.919307,90.113363,48.885401,90.113502,48.88546
480,-19.340273,24.408366,91.142997,48.925961,91.143138,48.926021
490,-20.256765,24.897818,92.152211,48.964111,92.152353,48.96417
500,-21.183251,25.387641,93.141784,49.000035,93.141927,49.000094
510,-22.119538,25.877812,94.112451,49.033903,94.112595,49.033962
520,-23.06544,26.368312,95.064908,49.065869,95.065053,49.065928
530,-24.020778,26.859123,95.999814,49.096071,95.99996,49.096131
540,-24.98538,27.350228,96.917792,49.124637,96.91794,49.124697
550,-25.959079,27.841611,97.819437,49.151683,97.819586,49.151742
560,-26.941716,28.333257,98.705309,49.177313,98.705459,49.177372
570,-27.933135,28.825153,99.575943,49.201625,99.576094,49.201684
580,-28.933186,29.317286,100.43185,49.224707,100.432,49.224766
590,-29.941724,29.809643,101.2735,49.24664,101.27366,49.246699
600,-30.95861,30.302215,102.10137,49.2675,102.10153,49.267559
610,-31.983707,30.79499,102.9159,49.287354,102.91605,49.287413
620,-33.016884,31.287959,103.71749,49.306267,103.71765,49.306326
630,-34.058015,31.781112,104.50655,49.324297,104.50671,49.324356
640,-35.106975,32.274442,105.28346,49.341497,105.28362,49.341557
650,-36.163645,32.76794,106.04859,49.357919,106.04875,49.357978
660,-37.227909,33.261598,106.80228,49.373607,106.80244,49.373666
670,-38.299654,33.75541,107.54487,49.388605,107.54503,49.388664
680,-39.37877,34.249368,108.27667,49.402953,108.27683,49.403012
690,-40.465152,34.743467,108.998,49.416687,108.99816,49.416746
700,-41.558696,35.2377,109.70914,49.429842,109.7093,49.429901
710,-42.659302,35.732062,110.41037,49.442451,110.41053,49.44251
720,-43.766872,36.226547,111.10197,49.454542,111.10213,49.454601
730,-44.88131,36.721151,111.78419,49.466144,111.78436,49.466203
740,-46.002525,37.215868,112.45729,49.477283,112.45745,49.477342
750,-47.130426,37.710695,113.12149,49.487982,113.12166,49.488041
760,-48.264926,38.205627,113.77704,49.498266,113.77721,49.498325
770,-49.405939,38.700659,114.42415,49.508154,114.42432,49.508213
780,-50.553382,39.195788,115.06304,49.517667,115.06321,49.517727
790,-51.707173,39.691011,115.6939,49.526824,115.69407,49.526884
800,-52.867234,40.186324,116.31695,49.535643,116.31712,49.535702
810,-54.033486,40.681723,116.93236,49.544139,116.93253,49.544198
820,-55.205856,41.177205,117.54032,49.552328,117.54049,49.552387
830,-56.384269,41.672768,118.14101,49.560224,118.14118,49.560283
840,-57.568652,42.168409,118.7346,49.567843,118.73477,49.567902
850,-58.758937,42.664124,119.32125,49.575195,119.32142,49.575254
860,-59.955055,43.159912,119.90112,49.582294,119.9013,49.582353
870,-61.156938,43.655769,120.47438,49.589152,120.47455,49.589211
880,-62.364521,44.151694,121.04115,49.595778,121.04133,49.595837
890,-63.57774,44.647684,121.6016,49.602183,121.60178,49.602242
900,-64.796532,45.143737,122.15585,49.608377,122.15603,49.608437
910,-66.020837,45.639851,122.70405,49.61437,122.70423,49.614429
920,-67.250593,46.136024,123.24632,49.620169,123.2465,49.620228
930,-68.485744,46.632254,123.78279,49.625782,123.78297,49.625842
940,-69.72623,47.128539,124.31358,49.631219,124.31377,49.631278
950,-70.971997,47.624878,124.83882,49.636486,124.839,49.636545
960,-72.222989,48.121268,125.3586,49.64159,125.35878,49.641649
970,-73.479151,48.617709,125.87305,49.646537,125.87323,49.646596
980,-74.740432,49.114199,126.38228,49.651335,126.38246,49.651394
990,-76.00678,49.610735,126.88638,49.655988,126.88656,49.656047
1000,-77.278143,50.107318,127.38546,49.660503,127.38564,49.660562
1010,-78.554472,50.603945,127.87962,49.664886,127.87981,49.664945
1020,-79.835719,51.100615,128.36896,49.66914,128.36914,49.6692
