temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,8.1770037,8.1770037,0,0,0,0
10,8.1769869,8.1770734,0.0086554607,0.032406919,0.0086554926,0.032407031
20,8.1765718,8.1784816,0.09549035,0.32060789,0.095490678,0.32060899
30,8.1744385,8.1856767,0.37460898,1.2607253,0.37461027,1.2607295
40,8.1680169,8.2068221,0.9701304,3.1257761,0.97013364,3.125786
50,8.1537596,8.251065,1.9461064,5.8457907,1.9461127,5.8458078
60,8.1278395,8.325668,3.297142,9.1436101,3.297152,9.1436348
70,8.0867349,8.4347835,4.9721228,12.697602,4.9721372,12.697634
80,8.0275527,8.5795864,6.9004216,16.244689,6.9004407,16.244727
90,7.9481215,8.7590708,9.0105485,19.612547,9.0105723,19.61259
100,7.846946,8.9709267,11.239808,22.709096,11.239836,22.709143
110,7.7230985,9.2122263,13.537526,25.498838,13.537559,25.498888
120,7.576098,9.4798761,15.864817,27.980951,15.864855,27.981003
130,7.4058003,9.7708789,18.192912,30.173415,18.192954,30.173469
140,7.2123066,10.082467,20.501148,32.102852,20.501194,32.102907
150,6.9958922,10.412157,22.775098,33.798552,22.775148,33.798608
160,6.7569518,10.757755,25.005021,35.289228,25.005075,35.289285
170,6.4959597,11.117347,27.18463,36.601423,27.184687,36.60148
180,6.2134397,11.489268,29.310158,37.758869,29.310218,37.758926
190,5.9099435,11.872078,31.379656,38.782366,31.379719,38.782424
200,5.5860356,12.264529,33.392469,39.689932,33.392535,39.689991
210,5.2422823,12.665542,35.348857,40.49706,35.348926,40.497119
220,4.8792436,13.07418,37.249712,41.217023,37.249783,41.217082
230,4.4974688,13.48963,39.096354,41.861173,39.096428,41.861232
240,4.097492,13.911183,40.890381,42.439216,40.890458,42.439275
250,3.6798306,14.338222,42.633565,42.959458,42.633644,42.959517
260,3.2449839,14.770204,44.327769,43.429016,44.32785,43.429075
270,2.7934322,15.206654,45.974895,43.854003,45.974978,43.854063
280,2.3256366,15.647153,47.576844,44.239681,47.57693,44.23974
290,1.8420396,16.091332,49.135489,44.590587,49.135577,44.590647
298.15,1.4365159,16.45583,50.375026,44.853603,50.375115,44.853662
300,1.3430651,16.538862,50.652656,44.910651,50.652746,44.91071
310,0.82911889,16.989453,52.13011,45.203279,52.130202,45.203339
