temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,8.2570317,8.2570317,0,0,0,0
10,8.2570153,8.2570998,0.0084435934,0.031692413,0.0084436245,0.031692522
20,8.2566093,8.2584785,0.093462814,0.31393426,0.093463135,0.31393534
30,8.2545211,8.2655207,0.36665331,1.2335131,0.36665457,1.2335173
40,8.2482374,8.286203,0.94913806,3.0569596,0.94914122,3.0569693
50,8.2342899,8.3294817,1.9038364,5.7204016,1.9038425,5.7204184
60,8.2089281,8.4025383,3.2268362,8.9606831,3.2268461,8.9607074
70,8.1686842,8.5095771,4.8698977,12.467486,4.8699118,12.467517
80,8.1106893,8.6519046,6.7651914,15.982299,6.7652101,15.982336
90,8.0327722,8.8286649,8.8432533,19.332324,8.8432767,19.332366
100,7.9334213,9.0376795,11.042582,22.422726,11.04261,22.422772
110,7.8116846,9.2761212,13.31306,25.214801,13.313093,25.21485
120,7.6670532,9.5409669,15.615947,27.704909,15.615984,27.704961
130,7.4993547,9.8292645,17.922383,29.908847,17.922424,29.908901
140,7.308664,10.138273,20.211494,31.851664,20.211539,31.851719
150,7.0952321,10.465521,22.468596,33.561572,22.468645,33.561628
160,6.8594325,10.808822,24.683683,35.066573,24.683735,35.06663
170,6.6017206,11.166257,26.850216,36.392762,26.850272,36.392819
180,6.3226036,11.536159,28.964199,37.563602,28.964259,37.56366
190,6.0226191,11.917081,31.023482,38.599751,31.023544,38.599809
200,5.7023191,12.307766,33.027232,39.519157,33.027298,39.519216
210,5.3622592,12.707126,34.975558,40.337299,34.975627,40.337358
220,5.0029902,13.114219,36.86922,41.067467,36.869291,41.067526
230,4.6250531,13.528221,38.709424,41.721047,38.709498,41.721106
240,4.2289749,13.948417,40.497675,42.307791,40.497751,42.30785
250,3.8152671,14.374182,42.235658,42.836055,42.235737,42.836115
260,3.3844234,14.804967,43.925168,43.313009,43.925249,43.313069
270,2.9369192,15.240291,45.568045,43.744816,45.568129,43.744875
