temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,7.27589,7.268,3.75106,3.833,0.108555,-0.0819436
200,15.6371,15.636,11.609,11.665,0.00722345,-0.0560355
298.15,19.7674,20,18.7264,18.82,-1.16297,-0.0936344
300,19.8191,20.05,18.8488,18.943,-1.15148,-0.0941979
400,21.8061,22.142,24.8553,25.032,-1.51722,-0.176666
500,22.8507,23.33,29.8448,30.11,-2.05436,-0.265196
600,23.456,24.154,34.0691,34.44,-2.88959,-0.370912
700,23.8348,24.803,37.7154,38.212,-3.90336,-0.496588
800,24.0865,25.359,40.9156,41.562,-5.01796,-0.646391
900,24.2617,25.874,43.7633,44.579,-6.23126,-0.815708
1000,24.3884,26.338,46.3264,47.329,-7.40209,-1.00258
1100,24.4829,26.778,48.6555,49.86,-8.5707,-1.20447
