temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,7.26904,7.268,3.78258,3.833,0.0142588,-0.0504178
200,15.5641,15.636,11.6065,11.665,-0.460112,-0.0585318
298.15,19.7092,20,18.6968,18.82,-1.45404,-0.123159
300,19.7613,20.05,18.8189,18.943,-1.43996,-0.124082
400,21.7659,22.142,24.8114,25.032,-1.69879,-0.220634
500,22.8223,23.33,29.7932,30.11,-2.17626,-0.316774
600,23.4352,24.154,34.013,34.44,-2.97598,-0.426956
700,23.819,24.803,37.6566,38.212,-3.96727,-0.555448
800,24.0741,25.359,40.8549,41.562,-5.06688,-0.707128
900,24.2518,25.874,43.7012,44.579,-6.26971,-0.877757
1000,24.3803,26.338,46.2634,47.329,-7.43302,-1.06558
1100,24.4762,26.778,48.5918,49.86,-8.59604,-1.26818
