temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,6.0312408,6.0312408,0,0,0,0
10,6.0312368,6.0312584,0.0021580936,0.0086202792,0.0021581019,0.0086203099
20,6.0311216,6.0316751,0.027672113,0.10055023,0.027672213,0.1005506
30,6.030447,6.0341904,0.12477709,0.46463381,0.12477755,0.46463547
40,6.028191,6.0422072,0.35040507,1.1912224,0.35040628,1.1912261
50,6.0229688,6.0587636,0.71589701,2.1431766,0.71589929,2.1431825
60,6.0134864,6.0853229,1.1972753,3.173728,1.1972788,3.1737359
70,5.9987376,6.1222603,1.7646096,4.2126245,1.7646145,4.2126344
80,5.9779868,6.1695405,2.3944201,5.2415494,2.3944264,5.2415611
90,5.9506949,6.2270572,3.0706929,6.2602403,3.0707007,6.2602538
100,5.9164546,6.2947128,3.7825822,7.2690363,3.7825916,7.2690516
110,5.874951,6.3723926,4.5221967,8.2641144,4.5222075,8.2641314
120,5.8259394,6.4599257,5.2832195,9.2383462,5.283232,9.2383649
130,5.7692334,6.5570625,6.0602237,10.183481,6.0602377,10.183501
140,5.7046977,6.6634728,6.8483934,11.091915,6.8484089,11.091936
150,5.6322427,6.7787583,7.6434375,11.95767,7.6434545,11.957692
160,5.5518188,6.9024703,8.4415722,12.776714,8.4415907,12.776738
170,5.4634119,7.0341295,9.239515,13.546881,9.239535,13.546905
180,5.3670385,7.1732429,10.034469,14.267582,10.03449,14.267607
190,5.2627403,7.3193183,10.824094,14.939461,10.824117,14.939487
200,5.1505808,7.4718744,11.606468,15.564057,11.606492,15.564083
210,5.0306404,7.6304489,12.380041,16.143513,12.380066,16.14354
220,4.9030134,7.7946026,13.143587,16.680346,13.143614,16.680373
230,4.7678052,7.9639228,13.896163,17.177264,13.896191,17.177291
240,4.6251291,8.1380241,14.637062,17.63704,14.637091,17.637068
250,4.4751046,8.3165489,15.365777,18.062418,15.365807,18.062446
260,4.3178553,8.4991666,16.081966,18.456051,16.081998,18.45608
270,4.1535077,8.6855725,16.785425,18.820465,16.785458,18.820494
280,3.9821896,8.8754864,17.47606,19.158031,17.476094,19.158059
290,3.8040293,9.068651,18.153868,19.470957,18.153903,19.470986
298.15,3.6538569,9.22832,18.696841,19.709193,18.696876,19.709222
300,3.6191548,9.2648303,18.818918,19.761289,18.818954,19.761318
310,3.427693,9.4638078,19.471338,20.030906,19.471374,20.030935
320,3.2297695,9.6653851,20.111299,20.281533,20.111336,20.281563
330,3.0255079,9.8693804,20.739008,20.514749,20.739046,20.514778
340,2.8150294,10.075627,21.354698,20.731993,21.354738,20.732022
350,2.5984531,10.283971,21.958624,20.934576,21.958664,20.934605
360,2.3758953,10.494274,22.551051,21.123694,22.551092,21.123723
370,2.1474695,10.706404,23.132255,21.300435,23.132297,21.300464
380,1.9132866,10.920244,23.70252,21.465788,23.702562,21.465817
390,1.6734546,11.135685,24.262129,21.620654,24.262172,21.620684
400,1.4280786,11.352625,24.811366,21.765855,24.81141,21.765884
410,1.1772609,11.570972,25.350515,21.902136,25.35056,21.902165
420,0.92110103,11.79064,25.879856,22.030179,25.879901,22.030208
430,0.65969561,12.01155,26.399662,22.150604,26.399708,22.150634
440,0.39313866,12.233629,26.910205,22.26398,26.910252,22.264009
450,0.1215215,12.456808,27.411748,22.370822,27.411796,22.370851
460,-0.15506716,12.681025,27.904549,22.471605,27.904597,22.471634
470,-0.43654116,12.906222,28.388857,22.566761,28.388906,22.566791
480,-0.72281681,13.132343,28.864916,22.656688,28.864966,22.656717
490,-1.0138128,13.359339,29.332963,22.741749,29.333013,22.741778
500,-1.3094501,13.587163,29.793226,22.822278,29.793277,22.822307
510,-1.6096521,13.815771,30.245927,22.898581,30.245978,22.898611
520,-1.9143442,14.045121,30.69128,22.970942,30.691332,22.970972
530,-2.2234539,14.275177,31.129493,23.039619,31.129545,23.039649
540,-2.5369109,14.505902,31.560765,23.104852,31.560818,23.104882
550,-2.8546467,14.737263,31.985291,23.166862,31.985345,23.166891
560,-3.1765948,14.969229,32.403258,23.225852,32.403312,23.225882
570,-3.5026906,15.201771,32.814845,23.282011,32.814899,23.282041
580,-3.8328711,15.434861,33.220227,23.335513,33.220282,23.335543
590,-4.167075,15.668473,33.619573,23.38652,33.619628,23.38655
600,-4.5052429,15.902583,34.013044,23.435181,34.0131,23.435211
610,-4.8473168,16.137169,34.400797,23.481635,34.400853,23.481665
620,-5.1932403,16.372209,34.782983,23.526011,34.78304,23.526041
630,-5.5429584,16.607683,35.159748,23.568429,35.159806,23.568459
640,-5.8964177,16.843572,35.531233,23.609001,35.531291,23.60903
650,-6.253566,17.079857,35.897574,23.647829,35.897632,23.647859
660,-6.6143525,17.316523,36.258902,23.685011,36.258961,23.685041
670,-6.9787277,17.553552,36.615343,23.720638,36.615402,23.720667
680,-7.3466434,17.790931,36.967021,23.754793,36.96708,23.754822
690,-7.7180526,18.028643,37.314052,23.787555,37.314112,23.787584
700,-8.0929094,18.266677,37.656552,23.818997,37.656613,23.819027
710,-8.4711689,18.505019,37.994631,23.84919,37.994692,23.849219
720,-8.8527876,18.743657,38.328395,23.878196,38.328457,23.878226
730,-9.2377228,18.982579,38.657948,23.906077,38.65801,23.906107
740,-9.6259329,19.221775,38.983389,23.93289,38.983451,23.932919
750,-10.017377,19.461234,39.304815,23.958687,39.304877,23.958717
760,-10.412016,19.700946,39.622318,23.983519,39.622381,23.983548
770,-10.809811,19.940901,39.935989,24.007432,39.936053,24.007461
780,-11.210723,20.181091,40.245916,24.030471,40.24598,24.030501
790,-11.614717,20.421508,40.552183,24.052677,40.552247,24.052707
800,-12.021755,20.662142,40.854872,24.074091,40.854936,24.07412
810,-12.431803,20.902987,41.154061,24.094747,41.154126,24.094777
820,-12.844825,21.144035,41.449829,24.114682,41.449894,24.114712
830,-13.260788,21.385278,41.742249,24.133929,41.742314,24.133958
840,-13.679659,21.626711,42.031393,24.152517,42.031459,24.152547
850,-14.101405,21.868327,42.317332,24.170478,42.317398,24.170508
860,-14.525995,22.110119,42.600132,24.187838,42.600199,24.187867
870,-14.953398,22.352081,42.879861,24.204623,42.879928,24.204653
880,-15.383582,22.594209,43.156582,24.220859,43.156649,24.220889
890,-15.81652,22.836497,43.430356,24.236569,43.430423,24.236599
900,-16.25218,23.078939,43.701243,24.251776,43.701311,24.251805
910,-16.690535,23.321531,43.969303,24.266499,43.969371,24.266529
920,-17.131557,23.564267,44.234592,24.28076,44.23466,24.28079
930,-17.575218,23.807145,44.497164,24.294578,44.497233,24.294608
940,-18.021491,24.050158,44.757073,24.30797,44.757142,24.308
950,-18.47035,24.293303,45.014372,24.320954,45.014441,24.320984
960,-18.92177,24.536575,45.26911,24.333546,45.26918,24.333575
970,-19.375724,24.779972,45.521337,24.345761,45.521407,24.345791
980,-19.832189,25.023489,45.7711,24.357615,45.77117,24.357644
990,-20.291138,25.267123,46.018446,24.369121,46.018517,24.36915
1000,-20.75255,25.510871,46.26342,24.380292,46.263491,24.380322
1010,-21.216399,25.754728,46.506066,24.391142,46.506138,24.391172
1020,-21.682663,25.998693,46.746427,24.401683,46.746499,24.401712
1030,-22.15132,26.242761,46.984544,24.411925,46.984616,24.411955
1040,-22.622347,26.48693,47.220459,24.421881,47.220531,24.421911
1050,-23.095722,26.731198,47.454209,24.431561,47.454282,24.431591
1060,-23.571424,26.97556,47.685834,24.440974,47.685907,24.441004
1070,-24.049432,27.220016,47.915372,24.450131,47.915445,24.450161
1080,-24.529725,27.464562,48.142858,24.459041,48.142931,24.45907
1090,-25.012282,27.709196,48.368329,24.467711,48.368402,24.467741
1100,-25.497084,27.953916,48.591818,24.476152,48.591892,24.476181
1110,-25.984112,28.198718,48.813361,24.48437,48.813435,24.4844
1120,-26.473345,28.443602,49.032989,24.492374,49.033063,24.492404
1130,-26.964765,28.688565,49.250735,24.500171,49.25081,24.5002
1140,-27.458354,28.933605,49.466631,24.507767,49.466706,24.507797
1150,-27.954092,29.17872,49.680706,24.515171,49.680781,24.5152
1160,-28.451962,29.423908,49.892991,24.522387,49.893067,24.522417
1170,-28.951946,29.669167,50.103515,24.529423,50.103591,24.529453
1180,-29.454027,29.914496,50.312307,24.536284,50.312383,24.536314
1190,-29.958186,30.159892,50.519394,24.542976,50.51947,24.543006
1200,-30.464409,30.405355,50.724803,24.549505,50.72488,24.549534
1210,-30.972677,30.650882,50.928561,24.555875,50.928638,24.555905
1220,-31.482975,30.896472,51.130694,24.562092,51.130771,24.562122
1230,-31.995286,31.142123,51.331227,24.568161,51.331304,24.56819
1240,-32.509594,31.387834,51.530184,24.574086,51.530262,24.574115
1250,-33.025884,31.633604,51.727591,24.579872,51.727668,24.579901
1260,-33.544141,31.879431,51.92347,24.585522,51.923548,24.585552
1270,-34.064348,32.125314,52.117845,24.591043,52.117923,24.591072
1280,-34.586493,32.371252,52.310738,24.596436,52.310816,24.596466
1290,-35.110558,32.617243,52.502171,24.601706,52.50225,24.601736
1300,-35.636531,32.863286,52.692167,24.606858,52.692246,24.606887
1310,-36.164397,33.109379,52.880745,24.611893,52.880824,24.611923
1320,-36.694141,33.355523,53.067928,24.616816,53.068007,24.616846
1330,-37.225751,33.601715,53.253734,24.621631,53.253814,24.62166
1340,-37.759212,33.847955,53.438184,24.626339,53.438264,24.626369
1350,-38.29451,34.094242,53.621298,24.630945,53.621378,24.630974
1360,-38.831633,34.340574,53.803093,24.635451,53.803174,24.63548
1370,-39.370568,34.586951,53.98359,24.63986,53.98367,24.639889
1380,-39.911301,34.833371,54.162805,24.644175,54.162886,24.644204
1390,-40.45382,35.079834,54.340758,24.648398,54.340839,24.648428
1400,-40.998112,35.326338,54.517464,24.652533,54.517546,24.652562
1410,-41.544165,35.572884,54.692942,24.656581,54.693024,24.65661
1420,-42.091967,35.81947,54.867209,24.660544,54.86729,24.660574
1430,-42.641505,36.066095,55.04028,24.664427,55.040361,24.664456
1440,-43.192768,36.312758,55.212171,24.668229,55.212253,24.668259
1450,-43.745745,36.559459,55.382899,24.671954,55.382981,24.671984
1460,-44.300422,36.806197,55.552479,24.675604,55.552561,24.675634
1470,-44.85679,37.052971,55.720926,24.679181,55.721009,24.67921
1480,-45.414837,37.29978,55.888255,24.682686,55.888338,24.682715
1490,-45.974552,37.546624,56.054481,24.686121,56.054564,24.686151
1500,-46.535923,37.793502,56.219617,24.689489,56.2197,24.689519
1510,-47.09894,38.040414,56.383678,24.692791,56.383762,24.692821
1520,-47.663593,38.287358,56.546678,24.696029,56.546762,24.696059
1530,-48.229871,38.534334,56.708631,24.699204,56.708714,24.699234
1540,-48.797762,38.781342,56.869548,24.702319,56.869632,24.702348
1550,-49.367258,39.028381,57.029444,24.705374,57.029528,24.705403
1560,-49.938348,39.275449,57.188331,24.708371,57.188416,24.7084
1570,-50.511021,39.522548,57.346222,24.711311,57.346307,24.711341
1580,-51.085269,39.769675,57.503129,24.714197,57.503214,24.714226
1590,-51.661081,40.016831,57.659064,24.717028,57.659149,24.717058
1600,-52.238447,40.264016,57.814039,24.719808,57.814124,24.719837
1610,-52.817358,40.511227,57.968066,24.722536,57.968151,24.722566
1620,-53.397805,40.758466,58.121155,24.725215,58.121241,24.725244
1630,-53.979778,41.005732,58.273319,24.727844,58.273405,24.727874
1640,-54.563269,41.253023,58.424568,24.730427,58.424654,24.730456
1650,-55.148267,41.50034,58.574913,24.732963,58.574999,24.732992
1660,-55.734764,41.747682,58.724365,24.735453,58.724451,24.735483
1670,-56.322751,41.995049,58.872934,24.7379,58.87302,24.737929
1680,-56.91222,42.24244,59.020631,24.740303,59.020717,24.740333
1690,-57.503161,42.489855,59.167465,24.742664,59.167552,24.742694
1700,-58.095566,42.737293,59.313447,24.744985,59.313533,24.745014
