temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.9965741,5.9965741,0,0,0,0
10,5.9965701,5.9965916,0.0021433592,0.0085626041,0.0021433674,0.0085626346
20,5.9964562,5.9970021,0.027298601,0.098569948,0.0272987,0.098570311
30,5.9957947,5.9994558,0.12203633,0.45287544,0.12203678,0.45287707
40,5.9935904,6.0072865,0.34240461,1.1659802,0.3424058,1.1659839
50,5.9884813,6.0235402,0.70117902,2.1090294,0.70118126,2.1090352
60,5.9791792,6.0497442,1.1760837,3.1380492,1.1760872,3.1380571
70,5.9646696,6.0863459,1.7382328,4.1821503,1.7382376,4.1821601
80,5.9442014,6.1333688,2.3645925,5.2212183,2.3645988,5.22123
90,5.9172174,6.1907459,3.0392052,6.2529604,3.0392129,6.252974
100,5.8832934,6.2583991,3.7510564,7.2758898,3.7510657,7.2759052
110,5.8420995,6.3362172,4.4919788,8.2847817,4.4919896,8.2847989
120,5.7933791,6.4240211,5.2553502,9.2715837,5.2553626,9.2716024
130,5.7369368,6.521546,6.0354547,10.227542,6.0354687,10.227562
140,5.6726312,6.628443,6.8272271,11.144868,6.8272427,11.14489
150,5.6003684,6.7442945,7.6261736,12.017613,7.6261906,12.017636
160,5.520097,6.8686335,8.4283531,12.841898,8.4283717,12.841922
170,5.431802,7.0009642,9.230366,13.615769,9.230386,13.615794
180,5.3354999,7.1407795,10.029331,14.338873,10.029353,14.338898
190,5.2312336,7.2875752,10.822851,15.012078,10.822874,15.012104
200,5.1190676,7.4408605,11.608965,15.637129,11.608989,15.637156
210,4.9990842,7.600165,12.386099,16.216352,12.386124,16.216379
220,4.8713797,7.7650437,13.153018,16.752413,13.153045,16.752441
230,4.7360611,7.9350789,13.908773,17.248152,13.908801,17.24818
240,4.5932438,8.1098819,14.652658,17.706445,14.652688,17.706473
250,4.4430492,8.2890924,15.384173,18.130121,15.384203,18.130149
260,4.2856028,8.472378,16.102982,18.521901,16.103013,18.52193
270,4.1210326,8.6594327,16.808889,18.884364,16.808922,18.884393
280,3.9494683,8.8499756,17.501812,19.219924,17.501846,19.219953
290,3.7710396,9.043749,18.181757,19.530822,18.181791,19.530851
298.15,3.6206332,9.2038991,18.726366,19.767406,18.726401,19.767435
300,3.5858761,9.2405168,18.848802,19.819128,18.848838,19.819157
310,3.3941061,9.4400626,19.503085,20.086742,19.503122,20.086771
320,3.1958564,9.6421885,20.144788,20.335403,20.144825,20.335432
330,2.9912516,9.8467128,20.774125,20.566699,20.774163,20.566728
340,2.7804143,10.053469,21.391339,20.782077,21.391378,20.782106
350,2.5634644,10.262306,21.99669,20.982854,21.99673,20.982883
360,2.3405191,10.473082,22.590452,21.170228,22.590493,21.170257
370,2.111693,10.685669,23.172909,21.345289,23.17295,21.345318
380,1.8770977,10.89995,23.744348,21.509027,23.74439,21.509057
390,1.6368418,11.115815,24.30506,21.662344,24.305103,21.662373
400,1.3910313,11.333165,24.855334,21.806058,24.855378,21.806087
410,1.139769,11.551907,25.395458,21.940915,25.395503,21.940944
420,0.883155,11.771956,25.925716,22.067594,25.925762,22.067624
430,0.62128661,11.993233,26.446388,22.186715,26.446434,22.186745
440,0.35425829,12.215667,26.957747,22.298842,26.957793,22.298872
450,0.082161829,12.439189,27.46006,22.404491,27.460107,22.40452
460,-0.19491362,12.663737,27.953587,22.504132,27.953635,22.504162
470,-0.47688148,12.889253,28.438583,22.598197,28.438632,22.598227
480,-0.76365767,13.115683,28.915294,22.68708,28.915343,22.68711
490,-1.0551605,13.342978,29.383957,22.771143,29.384007,22.771173
500,-1.3513107,13.571091,29.844804,22.850718,29.844854,22.850747
510,-1.6520313,13.799979,30.298059,22.926108,30.29811,22.926138
520,-1.9572473,14.0296,30.743938,22.997595,30.74399,22.997625
530,-2.2668862,14.259918,31.18265,23.065436,31.182702,23.065466
540,-2.5808771,14.490898,31.614398,23.129868,31.614451,23.129898
550,-2.8991516,14.722505,32.039376,23.191111,32.039429,23.191141
560,-3.2216427,14.95471,32.457773,23.249367,32.457827,23.249396
570,-3.5482857,15.187483,32.86977,23.304822,32.869824,23.304851
580,-3.8790173,15.420798,33.275543,23.357649,33.275598,23.357679
590,-4.2137763,15.654628,33.675261,23.408009,33.675317,23.408038
600,-4.5525029,15.88895,34.069088,23.456049,34.069144,23.456079
610,-4.895139,16.123742,34.457181,23.501907,34.457238,23.501937
620,-5.241628,16.358981,34.839692,23.545711,34.839749,23.545741
630,-5.5919147,16.594649,35.216768,23.58758,35.216826,23.587609
640,-5.9459457,16.830727,35.588551,23.627623,35.588609,23.627653
650,-6.3036686,17.067196,35.955176,23.665944,35.955235,23.665974
660,-6.6650325,17.30404,36.316777,23.702638,36.316836,23.702668
670,-7.0299878,17.541244,36.67348,23.737795,36.673539,23.737825
680,-7.3984861,17.778791,37.025408,23.771498,37.025468,23.771528
690,-7.7704804,18.016669,37.37268,23.803826,37.372741,23.803855
700,-8.1459246,18.254864,37.715412,23.83485,37.715472,23.834879
710,-8.5247739,18.493362,38.053712,23.864639,38.053773,23.864668
720,-8.9069845,18.732152,38.38769,23.893256,38.387752,23.893286
730,-9.2925136,18.971223,38.717448,23.920763,38.71751,23.920793
740,-9.6813197,19.210564,39.043086,23.947214,39.043148,23.947244
750,-10.073362,19.450164,39.364702,23.972662,39.364764,23.972692
760,-10.468601,19.690014,39.682388,23.997158,39.682451,23.997187
770,-10.866997,19.930104,39.996236,24.020746,39.996299,24.020776
780,-11.268513,20.170426,40.306332,24.043471,40.306396,24.043501
790,-11.673111,20.410971,40.612763,24.065375,40.612827,24.065404
800,-12.080756,20.651731,40.915609,24.086495,40.915674,24.086524
810,-12.491412,20.892699,41.214951,24.106868,41.215016,24.106898
820,-12.905044,21.133866,41.510866,24.12653,41.510931,24.126559
830,-13.321618,21.375227,41.803427,24.145511,41.803493,24.145541
840,-13.741101,21.616774,42.092709,24.163843,42.092775,24.163873
850,-14.163461,21.858502,42.37878,24.181556,42.378847,24.181585
860,-14.588666,22.100403,42.661709,24.198675,42.661776,24.198705
870,-15.016685,22.342473,42.941562,24.215228,42.941629,24.215258
880,-15.447488,22.584706,43.218402,24.231239,43.218469,24.231268
890,-15.881044,22.827096,43.492292,24.24673,43.49236,24.24676
900,-16.317324,23.069639,43.763292,24.261724,43.76336,24.261754
910,-16.7563,23.312329,44.031461,24.276243,44.031529,24.276272
920,-17.197944,23.555162,44.296855,24.290305,44.296923,24.290334
930,-17.642228,23.798134,44.559529,24.303929,44.559598,24.303958
940,-18.089126,24.04124,44.819537,24.317133,44.819607,24.317163
950,-18.53861,24.284475,45.076932,24.329935,45.077001,24.329965
960,-18.990656,24.527837,45.331763,24.34235,45.331833,24.34238
970,-19.445237,24.771321,45.58408,24.354393,45.584151,24.354423
980,-19.902329,25.014924,45.833931,24.36608,45.834002,24.36611
990,-20.361907,25.258641,46.081362,24.377424,46.081433,24.377453
1000,-20.823948,25.502471,46.326419,24.388438,46.326491,24.388467
1010,-21.288428,25.746409,46.569146,24.399134,46.569217,24.399164
1020,-21.755324,25.990453,46.809585,24.409526,46.809656,24.409556
1030,-22.224612,26.234599,47.047778,24.419624,47.04785,24.419653
1040,-22.696272,26.478844,47.283765,24.429438,47.283838,24.429468
1050,-23.17028,26.723187,47.517588,24.438981,47.51766,24.43901
1060,-23.646616,26.967623,47.749282,24.44826,47.749355,24.44829
1070,-24.125259,27.212151,47.978888,24.457287,47.978961,24.457317
1080,-24.606187,27.456768,48.20644,24.46607,48.206514,24.466099
1090,-25.089381,27.701471,48.431975,24.474617,48.432049,24.474647
1100,-25.57482,27.946259,48.655527,24.482938,48.655601,24.482967
1110,-26.062485,28.19113,48.87713,24.491039,48.877205,24.491068
1120,-26.552357,28.43608,49.096818,24.498928,49.096892,24.498958
1130,-27.044415,28.681107,49.314622,24.506614,49.314697,24.506643
1140,-27.538643,28.926211,49.530574,24.514102,49.530649,24.514131
1150,-28.035021,29.171389,49.744704,24.521399,49.744779,24.521429
1160,-28.533531,29.416638,49.957043,24.528512,49.957118,24.528542
1170,-29.034156,29.661958,50.167619,24.535447,50.167695,24.535477
1180,-29.536877,29.907347,50.376461,24.54221,50.376537,24.54224
1190,-30.041679,30.152802,50.583598,24.548806,50.583674,24.548836
1200,-30.548544,30.398322,50.789055,24.555241,50.789132,24.555271
1210,-31.057455,30.643906,50.99286,24.56152,50.992937,24.56155
1220,-31.568396,30.889552,51.195039,24.567648,51.195116,24.567677
1230,-32.08135,31.135259,51.395617,24.573629,51.395694,24.573659
1240,-32.596303,31.381024,51.594619,24.579469,51.594696,24.579499
1250,-33.113237,31.626848,51.792068,24.585172,51.792146,24.585201
1260,-33.632139,31.872727,51.987989,24.590741,51.988067,24.590771
1270,-34.152992,32.118662,52.182405,24.596182,52.182483,24.596211
1280,-34.675782,32.364651,52.375338,24.601497,52.375417,24.601527
1290,-35.200494,32.610692,52.566811,24.606692,52.566889,24.606721
1300,-35.727114,32.856784,52.756844,24.611769,52.756923,24.611798
1310,-36.255626,33.102927,52.94546,24.616731,52.945539,24.616761
1320,-36.786018,33.349118,53.132679,24.621583,53.132759,24.621613
1330,-37.318275,33.595358,53.318521,24.626328,53.318601,24.626358
1340,-37.852384,33.841645,53.503006,24.630969,53.503086,24.630998
1350,-38.388331,34.087977,53.686154,24.635508,53.686234,24.635537
1360,-38.926103,34.334354,53.867983,24.639949,53.868063,24.639978
1370,-39.465686,34.580776,54.048512,24.644294,54.048593,24.644323
1380,-40.007069,34.82724,54.22776,24.648546,54.227841,24.648576
1390,-40.550237,35.073746,54.405744,24.652708,54.405825,24.652738
1400,-41.095179,35.320294,54.582481,24.656783,54.582562,24.656813
1410,-41.641883,35.566882,54.757989,24.660772,54.75807,24.660802
1420,-42.190335,35.813509,54.932285,24.664679,54.932366,24.664708
1430,-42.740524,36.060175,55.105384,24.668504,55.105466,24.668534
1440,-43.292439,36.306879,55.277304,24.672252,55.277386,24.672281
1450,-43.846067,36.55362,55.44806,24.675923,55.448142,24.675952
1460,-44.401396,36.800397,55.617667,24.67952,55.617749,24.679549
1470,-44.958416,37.04721,55.78614,24.683044,55.786223,24.683074
1480,-45.517115,37.294058,55.953495,24.686498,55.953578,24.686528
1490,-46.077482,37.54094,56.119746,24.689884,56.119829,24.689914
1500,-46.639507,37.787855,56.284908,24.693203,56.284991,24.693233
1510,-47.203177,38.034804,56.448994,24.696457,56.449077,24.696487
1520,-47.768483,38.281784,56.612018,24.699648,56.612101,24.699677
1530,-48.335414,38.528796,56.773994,24.702777,56.774077,24.702806
1540,-48.903959,38.775839,56.934934,24.705846,56.935018,24.705875
1550,-49.474109,39.022913,57.094853,24.708856,57.094937,24.708886
1560,-50.045853,39.270016,57.253762,24.71181,57.253847,24.711839
1570,-50.619181,39.517149,57.411675,24.714707,57.41176,24.714737
1580,-51.194083,39.76431,57.568604,24.717551,57.568688,24.71758
1590,-51.77055,40.0115,57.72456,24.720341,57.724645,24.720371
1600,-52.348571,40.258717,57.879555,24.72308,57.87964,24.72311
1610,-52.928138,40.505961,58.033602,24.725768,58.033687,24.725798
1620,-53.50924,40.753232,58.186711,24.728408,58.186797,24.728437
1630,-54.091869,41.000529,58.338895,24.730999,58.33898,24.731029
1640,-54.676015,41.247852,58.490163,24.733544,58.490249,24.733573
1650,-55.261669,41.4952,58.640527,24.736043,58.640613,24.736072
1660,-55.848823,41.742573,58.789997,24.738497,58.790083,24.738527
1670,-56.437466,41.98997,58.938584,24.740908,58.938671,24.740937
1680,-57.027591,42.237391,59.086299,24.743276,59.086385,24.743306
1690,-57.619189,42.484835,59.233151,24.745603,59.233237,24.745632
1700,-58.212252,42.732303,59.37915,24.747889,59.379236,24.747919
