temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,3.97176,4.263,1.25335,1.46,-6.83171,-0.206646
200,15.9439,16.301,7.59283,8.033,-2.19061,-0.440174
298.15,26.4196,26.84,16.0144,16.61,-1.56646,-0.595563
300,26.5851,27.008,16.1784,16.777,-1.56568,-0.598626
400,33.8254,34.1,24.8944,25.598,-0.805368,-0.70361
500,38.4415,38.639,32.9767,33.727,-0.511064,-0.750322
600,41.4247,41.79,40.2681,41.066,-0.874177,-0.797925
700,43.4196,44.108,46.8133,47.69,-1.56065,-0.876672
800,44.8032,45.878,52.7069,53.7,-2.3427,-0.993119
900,45.7954,47.283,58.0443,59.188,-3.1462,-1.1437
1000,46.528,48.421,62.9091,64.231,-3.9095,-1.3219
1100,47.0828,49.363,67.3709,68.891,-4.61925,-1.52011
1200,47.5123,50.158,71.4868,73.221,-5.27482,-1.7342
1300,47.851,50.84,75.3037,77.263,-5.87915,-1.95929
1400,48.1227,51.43,78.8602,81.053,-6.4306,-2.19285
1500,48.3438,51.944,82.1881,84.619,-6.93087,-2.43093
