temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,3.93927,4.263,1.24328,1.46,-7.59396,-0.216717
200,15.77,16.301,7.519,8.033,-3.25767,-0.513996
298.15,26.1824,26.84,15.8554,16.61,-2.44992,-0.754648
300,26.3479,27.008,16.0178,16.777,-2.44417,-0.759177
400,33.6084,34.1,24.6674,25.598,-1.44155,-0.930649
500,38.2638,38.639,32.7054,33.727,-0.971165,-1.0216
600,41.2825,41.79,39.9676,41.066,-1.2144,-1.09837
700,43.3056,44.108,46.4932,47.69,-1.81918,-1.19682
800,44.7107,45.878,52.373,53.7,-2.54437,-1.32703
900,45.7193,47.283,57.7005,59.188,-3.30717,-1.48751
1000,46.4645,48.421,62.558,64.231,-4.04057,-1.67305
1100,47.0292,49.363,67.0142,68.891,-4.72784,-1.87683
1200,47.4665,50.158,71.1258,73.221,-5.36612,-2.09523
1300,47.8115,50.84,74.9393,77.263,-5.9569,-2.32374
1400,48.0883,51.43,78.493,81.053,-6.49755,-2.56003
1500,48.3136,51.944,81.8187,84.619,-6.9891,-2.80034
