temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,21.840226,21.840226,0,0,0,0
10,21.840226,21.840227,6.5419566e-05,0.00047713327,6.5419963e-05,0.00047713586
20,21.840216,21.840276,0.0029988014,0.012890306,0.0029988136,0.012890353
30,21.840136,21.840587,0.015034264,0.056568398,0.01503432,0.056568602
40,21.839859,21.841617,0.043937118,0.16397314,0.04393728,0.16397375
50,21.839161,21.844251,0.10180361,0.38666499,0.10180399,0.38666645
60,21.837676,21.849896,0.20365658,0.77199971,0.20365733,0.77200253
70,21.834896,21.860299,0.36290612,1.3387317,0.36290744,1.3387363
80,21.830198,21.877239,0.58800789,2.0753927,0.58800997,2.0753995
90,21.822906,21.902278,0.88191198,2.9531887,0.881915,2.9531979
100,21.812335,21.936663,1.2432828,3.9392697,1.2432869,3.9392812
110,21.797828,21.981326,1.6681657,5.0045534,1.668171,5.0045674
120,21.778777,22.036942,2.1513742,6.1263808,2.1513809,6.1263972
130,21.754625,22.103987,2.6873997,7.2881385,2.6874077,7.2881574
140,21.724871,22.182797,3.2709023,8.477724,3.2709119,8.4777453
150,21.689065,22.273603,3.8969206,9.685943,3.8969316,9.6859667
160,21.646806,22.376553,4.5609197,10.905291,4.5609324,10.905317
170,21.597734,22.491724,5.258766,12.129196,5.2587803,12.129224
180,21.54153,22.619132,5.9866756,13.351626,5.9866916,13.351656
190,21.477912,22.758733,6.7411637,14.566957,6.7411814,14.566989
200,21.406629,22.91043,7.5190035,15.769967,7.519023,15.770002
210,21.327464,23.074075,8.3171968,16.955892,8.317218,16.955928
220,21.240227,23.249476,9.1329538,18.120486,9.1329768,18.120524
230,21.144755,23.436401,9.9636808,19.260073,9.9637055,19.260113
240,21.040911,23.634584,10.806971,20.37157,10.806998,20.371611
250,20.928581,23.843731,11.660599,21.452479,11.660627,21.452522
260,20.807672,24.063525,12.522515,22.500869,12.522544,22.500914
270,20.678109,24.293635,13.390836,23.515333,13.390867,23.515379
280,20.539839,24.533716,14.263845,24.494939,14.263878,24.494986
290,20.392822,24.783416,15.139979,25.439171,15.140014,25.439219
298.15,20.266517,24.99379,15.855352,26.182442,15.855389,26.182491
300,20.237034,25.042381,16.017823,26.347878,16.017859,26.347927
310,20.072464,25.310256,16.896101,27.221216,16.896139,27.221266
320,19.899114,25.586688,17.773669,28.059593,17.773709,28.059644
330,19.716997,25.871333,18.649504,28.863629,18.649545,28.86368
340,19.526133,26.163849,19.522694,29.634104,19.522737,29.634157
350,19.326554,26.463906,20.392434,30.37193,20.392479,30.371983
360,19.118298,26.771182,21.258011,31.078112,21.258057,31.078165
370,18.90141,27.085367,22.118801,31.753723,22.118849,31.753777
380,18.67594,27.406159,22.974259,32.399882,22.974308,32.399937
390,18.441944,27.73327,23.823912,33.017733,23.823962,33.017788
400,18.199483,28.066423,24.667351,33.60843,24.667402,33.608485
410,17.948619,28.405352,25.504226,34.173123,25.504279,34.173179
420,17.689421,28.749802,26.334242,34.712951,26.334296,34.713007
430,17.421958,29.099532,27.157148,35.22903,27.157204,35.229086
440,17.146302,29.454307,27.972739,35.722449,27.972796,35.722506
450,16.862528,29.813909,28.780845,36.194266,28.780904,36.194323
460,16.570711,30.178124,29.581333,36.645503,29.581393,36.64556
470,16.270927,30.546753,30.374098,37.077144,30.374159,37.077202
480,15.963255,30.919605,31.159063,37.490136,31.159125,37.490193
