temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,21.641596,21.641596,0,0,0,0
10,21.641596,21.641597,6.6356878e-05,0.00048374153,6.635728e-05,0.00048374415
20,21.641585,21.641646,0.0030384121,0.013054212,0.0030384245,0.01305426
30,21.641505,21.641961,0.015212826,0.057176187,0.015212882,0.057176393
40,21.641225,21.643001,0.044400033,0.16548602,0.044400196,0.16548664
50,21.64052,21.645658,0.10276944,0.38989335,0.10276982,0.38989482
60,21.639022,21.651349,0.20544836,0.77814542,0.20544912,0.77814827
70,21.636217,21.661834,0.36595234,1.3492173,0.36595367,1.349222
80,21.631481,21.678906,0.59281746,2.0916945,0.59281956,2.0917013
90,21.624129,21.704144,0.88904905,2.9768061,0.88905209,2.9768153
100,21.613473,21.738808,1.2533536,3.9717643,1.2533578,3.971776
110,21.598848,21.783848,1.681813,5.0475482,1.6818184,5.0475624
120,21.57964,21.839952,2.1692703,6.1814805,2.169277,6.1814971
130,21.555285,21.907615,2.7102326,7.3567988,2.7102408,7.3568179
140,21.525275,21.987185,3.2993566,8.561117,3.2993662,8.5611385
150,21.489154,22.078902,3.9316543,9.7848576,3.9316655,9.7848815
160,21.446513,22.18292,4.6025434,11.020084,4.6025562,11.02011
170,21.396988,22.299318,5.3078245,12.25979,5.307839,12.259819
180,21.340255,22.428109,6.0436358,13.497554,6.043652,13.497585
190,21.276026,22.569243,6.8064075,14.72742,6.8064254,14.727453
200,21.204048,22.722613,7.5928257,15.943909,7.5928454,15.943944
210,21.1241,22.88806,8.3998071,17.142076,8.3998286,17.142113
220,21.035993,23.065379,9.2244823,18.317565,9.2245055,18.317604
230,20.939561,23.254323,10.064184,19.466648,10.064209,19.466689
240,20.834667,23.454613,10.916443,20.586238,10.916469,20.58628
250,20.721198,23.665941,11.778975,21.673874,11.779003,21.673917
260,20.59906,23.887978,12.649683,22.727687,12.649713,22.727732
270,20.468183,24.120378,13.526647,23.746353,13.526679,23.746399
280,20.328512,24.362785,14.408116,24.729032,14.40815,24.729079
290,20.180011,24.614837,15.292503,25.675311,15.292539,25.67536
298.15,20.052436,24.82714,16.014437,26.419562,16.014474,26.419611
300,20.022657,24.87617,16.178374,26.58514,16.178411,26.585189
310,19.856443,25.146419,17.06444,27.458774,17.064478,27.458824
320,19.681372,25.425226,17.949545,28.296719,17.949585,28.29677
330,19.497459,25.712237,18.832661,29.099684,18.832703,29.099736
340,19.304728,26.007106,19.712876,29.868536,19.712919,29.868588
350,19.103214,26.309497,20.589382,30.604262,20.589427,30.604315
360,18.892955,26.619085,21.46147,31.307939,21.461516,31.307993
370,18.674001,26.935553,22.328519,31.980705,22.328567,31.980759
380,18.446404,27.2586,23.189989,32.623734,23.190039,32.623789
390,18.210221,27.587933,24.045413,33.238223,24.045464,33.238278
400,17.965517,27.923273,24.89439,33.825369,24.894442,33.825425
410,17.712356,28.264353,25.736577,34.386365,25.736631,34.38642
420,17.450809,28.610917,26.571686,34.922381,26.57174,34.922437
430,17.180947,28.962721,27.399475,35.434566,27.399531,35.434622
440,16.902845,29.319533,28.219745,35.924035,28.219803,35.924091
450,16.616578,29.68113,29.032338,36.391868,29.032396,36.391925
460,16.322224,30.047301,29.837125,36.839107,29.837185,36.839164
470,16.019861,30.417846,30.634011,37.266754,30.634072,37.266811
480,15.70957,30.792574,31.422925,37.675768,31.422988,37.675826
