temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,15.2189,12.997,8.99213,6.987,17.0954,2.00513,18.1341,2.14013
200,21.7951,21.338,22.1395,19.144,2.14225,2.99548,3.4076,3.26548
250,22.8559,23.084,27.1287,24.108,-0.988166,3.02066,0.473885,3.35816
298.15,23.4469,24.209,31.2092,28.275,-3.14791,2.93418,-1.48529,3.33668
300,23.4645,24.247,31.3543,28.425,-3.22733,2.92927,-1.55702,3.33427
350,23.8431,25.113,35.0019,32.231,-5.05671,2.7709,-3.17522,3.2434
400,24.0937,25.784,38.2031,35.63,-6.5555,2.57313,-4.46118,3.11313
450,24.2678,26.335,41.0516,38.699,-7.84954,2.3526,-5.54273,2.9601
500,24.3935,26.842,43.6153,41.501,-9.1219,2.11432,-6.60719,2.78932
600,24.5587,27.886,48.0787,46.485,-11.9319,1.59372,-9.02724,2.40372
