temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,15.9548,12.997,9.83361,6.987,22.7572,2.84661,23.7959,2.98161
200,22.1028,21.338,23.3392,19.144,3.5843,4.19517,4.84965,4.46517
250,23.0667,23.084,28.3857,24.108,-0.0749567,4.27767,1.38709,4.61517
298.15,23.6007,24.209,32.4981,28.275,-2.51287,4.22305,-0.850255,4.62556
300,23.6165,24.247,32.6441,28.425,-2.60041,4.21909,-0.930101,4.62409
350,23.9574,25.113,36.3121,32.231,-4.60169,4.08112,-2.72019,4.55362
400,24.1825,25.784,39.5268,35.63,-6.21107,3.89685,-4.11674,4.43685
450,24.3387,26.335,42.3847,38.699,-7.58033,3.68568,-5.27352,4.29318
500,24.4514,26.842,44.9552,41.501,-8.90637,3.45416,-6.39166,4.12916
600,24.5992,27.886,49.4274,46.485,-11.7865,2.94244,-8.88177,3.75244
