temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,2.9443018,2.9443018,0,0,0,0
10,2.9442833,2.9443746,0.0091255982,0.033141305,0.0091256312,0.033141419
20,2.9438427,2.9459189,0.10380772,0.36811577,0.10380809,0.3681171
30,2.9414038,2.9545616,0.4385939,1.527291,0.43859544,1.5272961
40,2.9338263,2.9794761,1.1412458,3.5719306,1.1412495,3.5719411
50,2.917377,3.0274704,2.201868,6.060301,2.2018747,6.0603167
60,2.8888949,3.1007274,3.5305419,8.5692367,3.5305518,8.5692565
70,2.8462082,3.198122,5.0273404,10.863247,5.0273536,10.86327
80,2.7880596,3.3169799,6.6115039,12.856136,6.6115204,12.856161
90,2.7138791,3.4542218,8.2260297,14.543211,8.2260492,14.543237
100,2.6235637,3.6069247,9.8336101,15.954759,9.8336324,15.954786
110,2.5173081,3.7725343,11.411147,17.13146,11.411172,17.131488
120,2.3954866,3.948905,12.945154,18.113313,12.945181,18.113341
130,2.2585746,4.134269,14.428418,18.93549,14.428448,18.935519
140,2.1070983,4.3271812,15.857735,19.627385,15.857766,19.627414
150,1.9416023,4.5264628,17.232403,20.212954,17.232437,20.212984
160,1.7626297,4.7311506,18.553255,20.711499,18.553291,20.711528
170,1.5707108,4.9404546,19.822022,21.138503,19.82206,21.138532
180,1.3663555,5.1537238,21.040935,21.506387,21.040975,21.506416
190,1.1500501,5.3704188,22.212467,21.825137,22.212508,21.825167
200,0.92225557,5.5900899,23.339171,22.102819,23.339214,22.102848
210,0.68340759,5.8123602,24.423584,22.345971,24.423628,22.346001
220,0.43391667,6.0369121,25.468161,22.55993,25.468206,22.559959
230,0.17416933,6.2634761,26.475247,22.749068,26.475294,22.749098
240,-0.095470701,6.4918228,27.447056,22.916994,27.447104,22.917023
250,-0.37466115,6.7217553,28.385666,23.066697,28.385715,23.066727
260,-0.66307984,6.9531044,29.293016,23.200672,29.293066,23.200701
