temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,3.113831,3.113831,0,0,0,0
10,3.1138157,3.1138925,0.0076860816,0.028286816,0.0076861096,0.028286914
20,3.1134421,3.1151974,0.087762231,0.3088662,0.087762542,0.30886731
30,3.1113895,3.1224617,0.36907474,1.2913565,0.36907604,1.2913609
40,3.1049753,3.1438346,0.97148139,3.0994868,0.97148461,3.0994962
50,3.0908498,3.1860671,1.9043473,5.3924138,1.9043532,5.3924282
60,3.0660116,3.2519985,3.0997817,7.7854722,3.0997906,7.7854909
70,3.0282675,3.3412847,4.4716739,10.035564,4.4716859,10.035586
80,2.9762413,3.4518635,5.9452769,12.034466,5.945292,12.03449
90,2.9092106,3.5810485,7.4648656,13.757021,7.4648836,13.757046
100,2.8269199,3.7261334,8.9921347,15.218895,8.9921555,15.218922
110,2.7294265,3.8846621,10.502142,16.451561,10.502166,16.451589
120,2.6169869,4.0545164,11.979413,17.489684,11.979439,17.489713
130,2.489978,4.2339156,13.414905,18.36559,13.414933,18.365619
140,2.3488443,4.4213815,14.803837,19.107318,14.803867,19.107347
150,2.1940633,4.6156934,16.1442,19.738335,16.144233,19.738364
160,2.0261231,4.8158438,17.435754,20.277921,17.435789,20.277951
170,1.8455081,5.0209997,18.679362,20.741786,18.679398,20.741816
180,1.6526906,5.2304699,19.876552,21.142687,19.876589,21.142716
190,1.4481255,5.4436783,21.029225,21.490984,21.029265,21.491013
200,1.2322475,5.6601425,22.139475,21.795113,22.139516,21.795142
210,1.0054702,5.8794565,23.209458,22.061965,23.209501,22.061995
220,0.76818543,6.1012765,24.241323,22.297194,24.241367,22.297223
230,0.52076384,6.3253106,25.23716,22.505459,25.237205,22.505489
240,0.26355564,6.5513088,26.198971,22.690621,26.199018,22.690651
250,-0.0031085257,6.7790567,27.128661,22.855892,27.128708,22.855921
260,-0.2789165,7.0083693,28.028022,23.003959,28.028071,23.003989
270,-0.5635735,7.2390861,28.898739,23.137082,28.898789,23.137112
280,-0.85680107,7.4710675,29.742388,23.257169,29.742439,23.257199
290,-1.1583359,7.7041915,30.560439,23.365838,30.560491,23.365868
298.15,-1.4100578,7.8949578,31.209175,23.446924,31.209228,23.446953
300,-1.4679291,7.9383509,31.354267,23.46447,31.354319,23.4645
310,-1.7853448,8.1734514,32.125149,23.554244,32.125203,23.554274
320,-2.1103596,8.4094096,32.874279,23.636177,32.874334,23.636206
330,-2.4427616,8.6461517,33.602768,23.711142,33.602823,23.711172
340,-2.7823496,8.8836118,34.311651,23.7799,34.311708,23.779929
350,-3.1289325,9.1217312,35.001896,23.843108,35.001954,23.843137
360,-3.4823284,9.3604574,35.674405,23.901342,35.674463,23.901371
370,-3.8423643,9.5997431,36.33002,23.955105,36.330079,23.955135
380,-4.2088751,9.8395461,36.969529,24.004839,36.969589,24.004869
390,-4.5817037,10.079828,37.59367,24.050933,37.593731,24.050963
400,-4.9606996,10.320554,38.203133,24.09373,38.203195,24.09376
410,-5.3457196,10.561692,38.798566,24.133536,38.798628,24.133566
420,-5.7366262,10.803215,39.380575,24.17062,39.380638,24.17065
430,-6.1332882,11.045097,39.949732,24.205223,39.949796,24.205253
440,-6.5355798,11.287312,40.506573,24.23756,40.506637,24.237589
450,-6.9433803,11.529841,41.051603,24.267823,41.051667,24.267853
460,-7.3565741,11.772662,41.585297,24.296185,41.585362,24.296214
470,-7.77505,12.015759,42.108104,24.3228,42.10817,24.32283
480,-8.1987013,12.259113,42.620446,24.347809,42.620513,24.347839
490,-8.6274253,12.50271,43.122725,24.371337,43.122793,24.371367
500,-9.0611235,12.746535,43.615317,24.393499,43.615385,24.393528
510,-9.4997006,12.990576,44.098581,24.414397,44.09865,24.414426
520,-9.9430651,13.234819,44.572855,24.434125,44.572924,24.434155
530,-10.391129,13.479255,45.038459,24.452769,45.038529,24.452799
540,-10.843806,13.723871,45.4957,24.470406,45.49577,24.470436
550,-11.301016,13.96866,45.944865,24.487108,45.944935,24.487137
560,-11.762678,14.213611,46.386229,24.502938,46.3863,24.502968
570,-12.228715,14.458716,46.820054,24.517956,46.820126,24.517986
580,-12.699055,14.703967,47.246589,24.532217,47.246661,24.532247
590,-13.173624,14.949358,47.66607,24.545771,47.666143,24.5458
600,-13.652353,15.19488,48.078723,24.558663,48.078796,24.558692
610,-14.135176,15.440529,48.484762,24.570935,48.484836,24.570965
620,-14.622027,15.686297,48.884394,24.582627,48.884468,24.582656
630,-15.112843,15.93218,49.277814,24.593774,49.277889,24.593803
640,-15.607563,16.178171,49.66521,24.604409,49.665285,24.604439
650,-16.106128,16.424266,50.04676,24.614564,50.046836,24.614594
660,-16.60848,16.670461,50.422637,24.624267,50.422713,24.624297
670,-17.114562,16.91675,50.793003,24.633544,50.79308,24.633573
680,-17.624322,17.16313,51.158018,24.642419,51.158095,24.642449
690,-18.137705,17.409597,51.51783,24.650916,51.517907,24.650946
700,-18.654661,17.656147,51.872584,24.659055,51.872662,24.659085
710,-19.175141,17.902777,52.222419,24.666857,52.222498,24.666887
