temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,15.4639,12.855,5.30956,4.295,20.2949,1.01456
200,55.361,51.12,28.5088,24.88,8.29621,3.62879
298.15,81.9184,79.015,56.0506,50.95,3.67452,5.10063
300,82.2878,79.416,56.5585,51.44,3.61609,5.1185
400,97.2878,96.086,82.4943,76.779,1.25078,5.71535
500,105.868,106.131,105.209,99.388,-0.247727,5.82108
600,111.083,112.545,125.009,119.345,-1.29896,5.66389
700,114.443,116.926,142.402,137.041,-2.12362,5.36149
800,116.718,120.135,157.842,152.873,-2.84465,4.96898
900,118.322,122.662,171.687,167.174,-3.53811,4.51317
1000,119.493,124.771,184.217,180.21,-4.23009,4.00732
1100,120.372,126.608,195.649,192.189,-4.92521,3.46037
1200,121.048,128.252,206.153,203.277,-5.61671,2.87635
1300,121.579,129.737,215.864,213.602,-6.28797,2.26218
1400,122.003,131.081,224.89,223.267,-6.92538,1.62325
1500,122.347,132.29,233.32,232.353,-7.51605,0.966718
1600,122.63,133.361,241.225,240.925,-8.04681,0.300126
