temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,42.45678,42.45678,0,0,0,0
10,42.456776,42.456796,0.0019385681,0.0077435484,0.0019385756,0.0077435759
20,42.456676,42.457141,0.023237487,0.07799469,0.023237567,0.077994954
30,42.456159,42.458884,0.090817714,0.30955506,0.090818029,0.30955616
40,42.454568,42.46442,0.24629469,0.86747133,0.24629556,0.86747444
50,42.450764,42.477882,0.54236477,1.9173812,0.54236669,1.9173879
60,42.44309,42.504728,1.0273033,3.5526145,1.0273069,3.5526265
70,42.429473,42.550937,1.7351994,5.7865719,1.7352053,5.7865906
80,42.407581,42.622306,2.6840661,8.5734151,2.684075,8.5734415
90,42.374974,42.723978,3.8778246,11.831687,3.8778371,11.831722
100,42.32923,42.860187,5.3095629,15.463913,5.3095795,15.463957
110,42.268037,43.03417,6.9648469,19.370496,6.9648681,19.370548
120,42.189252,43.248199,8.8245633,23.458275,8.8245894,23.458336
130,42.090936,43.503664,10.867139,27.645036,10.86717,27.645105
140,41.971374,43.801197,13.070162,31.861274,13.070199,31.861351
150,41.829072,44.140798,15.411504,36.050289,15.411547,36.050374
160,41.662754,44.521962,17.87005,40.167327,17.870098,40.167419
170,41.471346,44.94379,20.426138,44.178256,20.426192,44.178354
180,41.253966,45.405089,23.061794,48.058066,23.061854,48.058169
190,41.009899,45.904455,25.760821,51.789373,25.760886,51.789481
200,40.738586,46.440343,28.508785,55.361025,28.508856,55.361137
210,40.439603,47.011123,31.29295,58.766856,31.293026,58.766973
220,40.112644,47.61512,34.102163,62.004614,34.102245,62.004734
230,39.757509,48.250657,36.926731,65.075047,36.926818,65.07517
240,39.374086,48.916073,39.758278,67.981156,39.758371,67.981282
250,38.962344,49.609748,42.589614,70.72758,42.589712,70.727708
260,38.522315,50.330112,45.414601,73.320107,45.414704,73.320238
270,38.054091,51.075658,48.228029,75.765287,48.228137,75.765419
280,37.557808,51.844949,51.025505,78.070125,51.025618,78.070259
290,37.033646,52.636617,53.803349,80.241854,53.803467,80.24199
298.15,36.58598,53.297476,56.050631,81.918418,56.050752,81.918555
300,36.481817,53.449367,56.558501,82.287754,56.558623,82.287892
310,35.90256,54.281977,59.288442,84.215028,59.288568,84.215166
320,35.296139,55.133296,61.991115,86.030699,61.991246,86.030838
330,34.662834,56.002242,64.664871,87.741551,64.665006,87.741691
340,34.002942,56.887799,67.308402,89.354082,67.308542,89.354223
350,33.31677,57.789016,69.920702,90.874476,69.920846,90.874618
360,32.604635,58.705001,72.501017,92.308591,72.501165,92.308734
370,31.866858,59.634919,75.048812,93.661951,75.048964,93.662095
380,31.103768,60.577988,77.563737,94.939749,77.563892,94.939893
390,30.315694,61.533478,80.045601,96.146855,80.04576,96.147
400,29.502966,62.500705,82.494346,97.287827,82.494509,97.287972
410,28.665917,63.479028,84.910028,98.366922,84.910194,98.367067
420,27.804876,64.46785,87.292797,99.388113,87.292967,99.388259
430,26.92017,65.46661,89.642884,100.3551,89.643057,100.35525
440,26.012126,66.474783,91.960585,101.27134,91.960761,101.27149
450,25.081065,67.491878,94.246252,102.14004,94.246432,102.14019
460,24.127306,68.517436,96.500281,102.96419,96.500464,102.96434
470,23.151164,69.551023,98.723105,103.74657,98.723292,103.74672
480,22.152947,70.592236,100.91519,104.48977,100.91538,104.48992
490,21.132961,71.640696,103.07701,105.19619,103.0772,105.19634
500,20.091506,72.696045,105.20908,105.86809,105.20927,105.86823
510,19.028877,73.757949,107.31191,106.50753,107.31211,106.50768
520,17.945363,74.826094,109.38602,107.11647,109.38622,107.11662
530,16.84125,75.900183,111.43195,107.69671,111.43215,107.69686
540,15.716816,76.979938,113.45023,108.24995,113.45043,108.25009
550,14.572336,78.065097,115.44138,108.77774,115.44159,108.77789
