temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,8.05016,5.678,3.19258,2.164,41.7781,1.02858
200,23.225,19.332,13.5711,10.267,20.1376,3.30412
298.15,33.3984,30.097,24.9208,20.142,10.9693,4.77884
300,33.541,30.254,25.1279,20.329,10.8648,4.79888
400,39.3398,36.692,35.6518,29.987,7.21618,5.66477
500,42.6533,40.799,44.8187,38.647,4.54493,6.17166
600,44.6623,43.538,52.7871,46.341,2.58226,6.44611
700,45.9538,45.434,59.7757,53.201,1.14408,6.57467
800,46.8267,46.791,65.9725,59.361,0.0763647,6.61151
900,47.4417,47.792,71.5254,64.932,-0.732915,6.59341
1000,47.8901,48.55,76.5483,70.008,-1.35916,6.54028
1100,48.2266,49.136,81.1292,74.664,-1.85085,6.46521
1200,48.4852,49.598,85.337,78.96,-2.24373,6.37703
1300,48.688,49.97,89.2262,82.945,-2.56547,6.28123
1400,48.85,50.272,92.8406,86.66,-2.82853,6.18055
1500,48.9814,50.521,96.2155,90.137,-3.04742,6.07849
