temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,16.399923,16.399923,0,0,0,0
10,16.39992,16.399936,0.001538302,0.0057618862,0.0015383077,0.0057619064
20,16.399846,16.400189,0.0171446,0.056781352,0.017144658,0.056781544
30,16.399468,16.401451,0.066105756,0.22416111,0.066105984,0.2241619
40,16.398312,16.405462,0.17876036,0.62717462,0.17876099,0.62717685
50,16.395562,16.415065,0.3900678,1.3476715,0.39006916,1.347676
60,16.390106,16.433424,0.72196191,2.3688375,0.72196434,2.3688449
70,16.380706,16.4632,1.1784797,3.6172454,1.1784836,3.6172559
80,16.366148,16.506266,1.7514769,5.0155205,1.7514823,5.0155342
90,16.345333,16.563814,2.4275643,6.5055876,2.4275715,6.5056045
100,16.317301,16.636558,3.1925756,8.0501613,3.1925848,8.0501812
110,16.281228,16.724921,4.0335691,9.6261725,4.0335803,9.6261956
120,16.236413,16.829134,4.9393385,11.218023,4.9393518,11.218049
130,16.182258,16.949292,5.9002668,12.813244,5.9002823,12.813273
140,16.118252,17.085372,6.9080007,14.400487,6.9080185,14.400519
150,16.043966,17.23724,7.9551549,15.969001,7.955175,15.969035
160,15.95904,17.404656,9.0351037,17.508793,9.0351261,17.50883
170,15.863175,17.58729,10.141853,19.010986,10.141877,19.011025
180,15.756132,17.784726,11.269967,20.468104,11.269994,20.468146
190,15.637721,17.996482,12.414532,21.874228,12.414561,21.874271
200,15.507801,18.222026,13.571123,23.224997,13.571155,23.225042
210,15.366272,18.460788,14.73579,24.517513,14.735824,24.51756
220,15.21307,18.712176,15.905029,25.750172,15.905065,25.750221
230,15.048166,18.97559,17.075755,26.92247,17.075793,26.92252
240,14.871559,19.250426,18.245278,28.0348,18.245318,28.034851
250,14.683272,19.536089,19.411268,29.088262,19.411311,29.088314
260,14.483352,19.832,20.571723,30.084493,20.571768,30.084545
270,14.271862,20.137595,21.724938,31.025518,21.724984,31.025571
280,14.048882,20.452334,22.869471,31.913629,22.869519,31.913683
290,13.814506,20.7757,24.004117,32.751286,24.004168,32.75134
298.15,13.615131,21.045281,24.920844,33.398425,24.920895,33.39848
300,13.568836,21.1072,25.12788,33.541035,25.127932,33.54109
310,13.311987,21.446369,26.239942,34.285449,26.239996,34.285505
320,13.044079,21.792766,27.33965,34.987082,27.339705,34.987138
330,12.765237,22.145977,28.426484,35.648429,28.426541,35.648486
340,12.475593,22.505609,29.500046,36.27191,29.500105,36.271967
350,12.175281,22.871296,30.560043,36.859845,30.560104,36.859902
360,11.864438,23.242695,31.606268,37.414447,31.60633,37.414504
370,11.543202,23.619481,32.638592,37.937815,32.638656,37.937872
380,11.211713,24.001353,33.656949,38.431931,33.657014,38.431989
390,10.87011,24.388028,34.66133,38.898662,34.661397,38.89872
400,10.518533,24.779241,35.651771,39.33976,35.65184,39.339818
410,10.157121,25.174744,36.628349,39.756866,36.628419,39.756924
420,9.7860116,25.574304,37.591172,40.151514,37.591243,40.151572
430,9.4053426,25.977704,38.540375,40.525136,38.540448,40.525195
440,9.015249,26.384741,39.476118,40.87907,39.476192,40.879128
450,8.6158645,26.795224,40.398576,41.21456,40.398652,41.214619
460,8.2073211,27.208974,41.307942,41.532767,41.308019,41.532826
470,7.7897487,27.625825,42.204418,41.834772,42.204496,41.834831
480,7.363275,28.045619,43.088217,42.121579,43.088296,42.121638
490,6.9280258,28.468209,43.959558,42.394126,43.959638,42.394185
500,6.4841246,28.893457,44.818665,42.653284,44.818746,42.653343
510,6.0316926,29.321233,45.665765,42.899864,45.665848,42.899923
520,5.5708486,29.751415,46.501089,43.134622,46.501173,43.134681
530,5.1017093,30.183888,47.324866,43.358261,47.324951,43.35832
540,4.624389,30.618545,48.137326,43.571437,48.137413,43.571496
550,4.1389997,31.055284,48.938699,43.774761,48.938786,43.77482
560,3.6456512,31.49401,49.729211,43.968803,49.7293,43.968862
570,3.1444509,31.934631,50.509088,44.154094,50.509177,44.154153
580,2.6355041,32.377064,51.278551,44.331131,51.278642,44.33119
590,2.1189139,32.821228,52.03782,44.500376,52.037912,44.500435
600,1.594781,33.267047,52.78711,44.662263,52.787202,44.662322
610,1.0632042,33.71445,53.526632,44.817195,53.526726,44.817254
620,0.52428023,34.163369,54.256595,44.965551,54.256689,44.96561
630,-0.021896463,34.61374,54.977201,45.107686,54.977296,45.107745
640,-0.57523327,35.065503,55.68865,45.24393,55.688747,45.243989
650,-1.1356396,35.5186,56.391138,45.374594,56.391235,45.374653
660,-1.7030268,35.972977,57.084855,45.499969,57.084953,45.500029
670,-2.2773081,36.428583,57.769986,45.620329,57.770085,45.620389
680,-2.8583985,36.885368,58.446715,45.73593,58.446815,45.735989
690,-3.446215,37.343286,59.115219,45.847011,59.11532,45.84707
700,-4.0406761,37.802294,59.775671,45.9538,59.775773,45.953859
710,-4.6417021,38.262349,60.428241,46.056508,60.428343,46.056568
720,-5.2492151,38.723411,61.073092,46.155337,61.073195,46.155396
730,-5.8631388,39.185443,61.710386,46.250473,61.71049,46.250532
740,-6.4833982,39.648409,62.34028,46.342095,62.340385,46.342154
750,-7.1099202,40.112274,62.962925,46.430368,62.963031,46.430428
760,-7.742633,40.577006,63.578472,46.515452,63.578578,46.515511
770,-8.3814665,41.042573,64.187064,46.597494,64.187171,46.597553
780,-9.0263516,41.508946,64.788843,46.676634,64.788951,46.676693
