temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,16.069,15.762,10.0473,9.505,1.94751,0.542283,2.7469,0.668283
200,22.1489,22.724,23.607,23.143,-2.53102,0.463983,-1.42206,0.715983
250,23.0986,24.018,28.6621,28.364,-3.8281,0.298086,-2.51659,0.613086
298.15,23.6243,24.869,32.7793,32.671,-5.00516,0.108325,-3.49457,0.483994
300,23.6398,24.897,32.9255,32.825,-5.04946,0.100507,-3.53121,0.478507
350,23.9753,25.568,36.5967,36.715,-6.22928,-0.118303,-4.50447,0.322697
400,24.1968,26.144,39.8136,40.167,-7.44798,-0.353435,-5.52019,0.150565
450,24.3504,26.668,42.6729,43.277,-8.69052,-0.604075,-6.56437,-0.0370753
500,24.4612,27.171,45.2445,46.113,-9.97322,-0.86847,-7.65457,-0.23847
600,24.6066,28.184,49.7184,51.156,-12.6931,-1.43763,-10.0107,-0.681631
