temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,2.9166784,2.9166784,0,0,0,0
10,2.9166483,2.9167798,0.013149453,0.042924415,0.013149497,0.042924557
20,2.9160919,2.9186046,0.12563432,0.41935076,0.12563475,0.41935222
30,2.9132881,2.9280219,0.49112748,1.6290586,0.49112915,1.6290639
40,2.9050142,2.9541283,1.2278523,3.704858,1.2278563,3.7048688
50,2.887539,3.0035281,2.3197827,6.2060826,2.3197896,6.2060985
60,2.8577396,3.0782587,3.6753191,8.7167906,3.6753293,8.7168106
70,2.8134893,3.1771094,5.1945726,11.006109,5.1945861,11.006132
80,2.7535726,3.2973566,6.7972999,12.990718,6.7973166,12.990743
90,2.6774552,3.4358953,8.4271116,14.667834,8.4271314,14.667861
100,2.5850641,3.5897924,10.047283,16.068967,10.047306,16.068995
110,2.4766181,3.7564929,11.635226,17.235519,11.635251,17.235548
120,2.3525112,3.9338561,13.177874,18.20787,13.177902,18.207898
130,2.2132349,4.1201214,14.668358,19.021358,14.668388,19.021387
140,2.059328,4.3138524,16.103746,19.705418,16.103778,19.705447
150,1.8913454,4.5138786,17.483555,20.28398,17.483589,20.284009
160,1.7098389,4.7192449,18.808788,20.776286,18.808824,20.776315
170,1.5153454,4.9291685,20.081313,21.197745,20.081351,21.197774
180,1.3083805,5.1430051,21.30347,21.560702,21.303509,21.560731
190,1.0894354,5.3602208,22.477818,21.875072,22.47786,21.875101
200,0.85897478,5.5803714,23.606983,22.148851,23.607026,22.148881
210,0.61743766,5.8030843,24.693555,22.388522,24.6936,22.388551
220,0.36523729,6.0280458,25.740039,22.599366,25.740084,22.599395
230,0.10276256,6.25499,26.748815,22.785711,26.748862,22.785741
240,-0.16962082,6.4836903,27.72213,22.951126,27.722178,22.951155
250,-0.45156886,6.7139527,28.662086,23.098566,28.662136,23.098596
260,-0.7427579,6.94561,29.570646,23.230496,29.570696,23.230525
270,-1.0428832,7.1785178,30.449633,23.348978,30.449685,23.349008
280,-1.3516577,7.4125506,31.300744,23.455752,31.300796,23.455782
290,-1.6688104,7.6475987,32.125549,23.552288,32.125603,23.552318
298.15,-1.9333087,7.839847,32.779325,23.624266,32.77938,23.624295
300,-1.9940858,7.8835664,32.925507,23.639835,32.925562,23.639865
310,-2.3272423,8.1203691,33.701972,23.719463,33.702028,23.719492
320,-2.6680511,8.3579323,34.456198,23.792085,34.456255,23.792115
330,-3.016296,8.5961901,35.189352,23.858492,35.189409,23.858522
340,-3.3717716,8.8350837,35.902515,23.919366,35.902574,23.919396
350,-3.734283,9.0745609,36.596697,23.975298,36.596756,23.975328
360,-4.1036454,9.3145749,37.272834,24.026804,37.272894,24.026834
370,-4.4796825,9.5550838,37.931801,24.074335,37.931862,24.074365
