temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,9.64313,7.802,3.26319,2.548,23.5982,0.715191
200,29.22,26.681,16.5356,14.096,9.51595,2.43959
298.15,38.5589,37.106,30.1885,26.924,3.91557,3.26451
300,38.674,37.244,30.4274,27.154,3.83946,3.27339
400,43.0631,42.561,42.2282,38.678,1.17982,3.55017
500,45.3486,45.544,52.1081,48.523,-0.429063,3.58508
600,46.6666,47.43,60.5027,57.006,-1.60959,3.49668
700,47.4891,48.748,67.7627,64.42,-2.58244,3.34274
800,48.0346,49.74,74.142,70.996,-3.42857,3.14597
900,48.4141,50.539,79.8228,76.902,-4.20452,2.92081
1000,48.6883,51.208,84.9387,82.262,-4.9206,2.67667
1100,48.8926,51.794,89.5892,87.171,-5.60177,2.4182
1200,49.0489,52.325,93.8504,91.701,-6.26103,2.1494
1300,49.1711,52.81,97.7814,95.908,-6.8906,1.87343
1400,49.2683,53.262,101.429,99.839,-7.49817,1.59009
1500,49.347,53.693,104.831,103.528,-8.09418,1.30302
1600,49.4115,54.107,108.018,107.007,-8.67815,1.01093
1700,49.4651,54.509,111.015,110.299,-9.25336,0.716143
1800,49.51,54.898,113.844,113.426,-9.81448,0.417798
1900,49.5481,55.278,116.522,116.404,-10.3655,0.117717
2000,49.5807,55.651,119.064,119.249,-10.9078,-0.184946
2100,49.6088,56.019,121.484,121.973,-11.443,-0.4892
