temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,9.04492,7.802,3.01957,2.548,15.9308,0.471567
200,28.4819,26.681,15.771,14.096,6.74957,1.67497
298.15,38.0643,37.106,29.1756,26.924,2.5826,2.25161
300,38.1833,37.244,29.4114,27.154,2.52213,2.25743
400,42.741,42.561,41.0962,38.678,0.422908,2.41822
500,45.1265,45.544,50.9159,48.523,-0.916783,2.39294
600,46.5058,47.43,59.2759,57.006,-1.94854,2.2699
700,47.368,48.748,66.5144,64.42,-2.83092,2.09436
800,47.9404,49.74,72.8793,70.996,-3.61811,1.88327
900,48.3387,50.539,78.5502,76.902,-4.3536,1.64817
1000,48.6267,51.208,83.6588,82.262,-5.04076,1.39684
1100,48.8415,51.794,88.304,87.171,-5.70054,1.13301
1200,49.0057,52.325,92.5611,91.701,-6.34356,0.860124
1300,49.1341,52.81,96.4889,95.908,-6.96053,0.580948
1400,49.2364,53.262,100.134,99.839,-7.55813,0.29506
1500,49.3191,53.693,103.534,103.528,-8.14611,0.00593786
1600,49.387,54.107,106.719,107.007,-8.72352,-0.287844
1700,49.4433,54.509,109.715,110.299,-9.29332,-0.584036
1800,49.4906,54.898,112.542,113.426,-9.84991,-0.883558
1900,49.5307,55.278,115.219,116.404,-10.3971,-1.18464
2000,49.5649,55.651,117.761,119.249,-10.9362,-1.48815
2100,49.5944,56.019,120.18,121.973,-11.4686,-1.79314
